YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,3.34,5.43,0.0,65.5,9.77,-271.04,101.51,3.36,2.69
2020,1,2,3.11,2.62,0.0,55.62,8.36,-271.02,101.76,4.77,3.88
2020,1,3,3.7,3.96,0.0,75.38,11.84,-268.13,101.63,5.7,5.01
2020,1,4,2.85,4.34,0.0,71.69,11.35,-267.09,101.25,4.9,5.12
2020,1,5,0.58,5.83,6.87,81.56,10.86,-268.98,101.44,9.07,8.02
2020,1,6,3.94,6.29,0.0,64.88,8.79,-270.45,101.86,3.73,3.59
2020,1,7,4.11,4.8,0.0,67.69,9.03,-270.16,102.0,5.38,4.3
2020,1,8,4.02,1.63,0.0,59.38,8.12,-271.4,101.74,3.97,3.3
2020,1,9,2.44,4.26,1.01,70.25,9.89,-269.82,101.38,4.08,3.67
2020,1,10,2.07,2.91,1.49,81.25,11.41,-270.6,100.98,4.7,4.11
2020,1,11,3.62,8.38,0.0,63.5,7.81,-270.85,101.32,5.59,4.95
2020,1,12,3.35,8.31,0.0,61.88,7.08,-269.73,101.99,4.81,4.36
2020,1,13,4.22,4.76,0.0,50.38,5.86,-270.25,101.98,6.09,4.94
2020,1,14,3.83,6.76,0.0,53.94,6.35,-269.06,101.88,10.0,8.36
2020,1,15,3.97,5.08,0.0,60.5,7.51,-270.0,102.26,9.56,8.23
2020,1,16,4.21,2.9,0.0,68.69,8.42,-269.29,102.33,2.74,2.69
2020,1,17,4.08,1.9,0.0,68.94,8.97,-270.63,102.09,6.63,5.6
2020,1,18,4.19,4.84,0.0,74.56,9.7,-268.42,101.64,2.73,3.94
2020,1,19,3.32,3.03,0.0,67.31,8.79,-267.36,101.55,3.92,3.16
2020,1,20,4.02,5.78,0.0,76.62,10.19,-269.75,101.83,4.27,3.04
2020,1,21,4.18,3.52,0.0,67.12,8.79,-270.3,101.73,3.52,2.85
2020,1,22,2.64,4.16,0.02,71.44,9.52,-268.3,101.5,5.36,4.51
2020,1,23,1.19,6.59,5.77,71.0,8.12,-270.13,101.85,10.3,9.53
2020,1,24,4.5,4.43,0.0,58.81,6.65,-270.67,101.99,6.82,5.62
2020,1,25,4.32,3.97,0.0,51.94,6.16,-269.18,101.97,11.61,9.73
