YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,5.26,0.06,8.2,84.44,17.94,-265.94,97.4,2.12,0.66
2020,1,2,6.03,0.03,1.61,76.44,15.81,-263.99,97.53,1.76,0.81
2020,1,3,5.92,0.05,5.99,77.0,16.91,-262.92,97.53,2.15,0.95
2020,1,4,4.16,0.04,1.95,76.94,16.66,-264.1,97.51,2.16,1.16
2020,1,5,3.81,0.03,6.39,83.44,17.4,-265.01,97.51,1.89,0.89
2020,1,6,4.87,0.03,3.42,84.69,17.4,-267.36,97.57,2.38,1.18
2020,1,7,5.3,0.07,1.47,73.12,16.72,-261.89,97.56,1.14,0.61
2020,1,8,5.06,0.05,3.17,78.19,17.4,-264.38,97.58,2.15,0.94
2020,1,9,5.97,0.03,6.5,84.0,17.88,-265.15,97.64,1.75,0.5
2020,1,10,6.22,0.03,0.94,73.56,17.03,-263.06,97.49,1.41,0.37
2020,1,11,4.62,0.09,2.25,70.62,17.64,-260.22,97.34,2.66,0.72
2020,1,12,5.74,0.02,2.2,73.0,17.94,-263.67,97.45,2.22,1.03
2020,1,13,5.03,0.03,0.72,67.31,15.93,-261.04,97.54,1.41,0.48
2020,1,14,7.48,0.08,0.32,64.12,15.99,-260.12,97.45,2.71,1.04
2020,1,15,6.35,0.12,0.29,66.0,16.54,-264.02,97.45,1.69,0.51
2020,1,16,5.26,0.12,0.92,63.5,16.3,-261.48,97.62,1.79,0.78
2020,1,17,5.61,0.15,0.53,58.69,15.93,-259.15,97.56,3.09,1.2
2020,1,18,7.15,0.09,0.1,53.94,15.81,-260.17,97.5,1.49,0.44
2020,1,19,5.44,0.05,4.0,59.38,16.3,-262.98,97.46,2.75,0.7
2020,1,20,6.1,0.04,5.54,77.31,18.07,-264.01,97.41,1.86,0.88
2020,1,21,5.67,0.06,6.46,72.88,17.58,-262.94,97.32,2.9,0.84
2020,1,22,4.02,0.02,7.41,88.31,18.62,-268.92,97.25,3.23,1.04
2020,1,23,3.72,0.04,7.23,84.88,17.82,-265.42,97.29,2.42,1.05
2020,1,24,3.94,0.03,5.66,85.5,18.13,-266.14,97.35,2.11,0.83
2020,1,25,2.5,0.05,10.66,81.44,18.37,-264.64,97.48,2.45,0.95
2020,1,26,5.03,0.04,5.04,92.12,19.17,-268.24,97.53,2.59,0.73
2020,1,27,5.93,0.05,3.83,93.0,18.55,-269.74,97.55,3.89,1.62
2020,1,28,4.73,0.03,5.11,90.0,17.4,-268.21,97.64,2.0,0.85
2020,1,29,3.32,0.03,4.86,82.81,17.33,-262.94,97.73,2.09,0.74
2020,1,30,6.17,0.03,1.84,77.25,17.4,-263.04,97.71,2.42,0.66
2020,1,31,6.17,0.05,0.68,68.81,16.6,-260.6,97.66,2.2,0.65
2020,2,1,7.52,0.09,0.44,64.94,15.32,-261.73,97.66,2.34,1.05
2020,2,2,6.3,0.11,0.79,59.69,14.34,-259.92,97.61,3.58,1.17
2020,2,3,5.9,0.08,4.49,64.88,15.62,-259.28,97.56,2.96,0.62
2020,2,4,6.06,0.03,4.13,71.25,16.54,-262.42,97.6,1.54,0.7
2020,2,5,4.81,0.04,9.67,78.56,17.15,-263.5,97.68,1.98,0.57
2020,2,6,5.42,0.07,5.75,83.88,18.07,-266.28,97.59,1.55,0.73
2020,2,7,3.47,0.04,7.25,97.25,18.43,-271.54,97.48,1.77,0.86
2020,2,8,3.61,0.04,9.85,92.25,17.76,-267.99,97.52,3.8,1.3
2020,2,9,3.19,0.05,6.98,88.56,17.03,-266.51,97.82,2.98,1.17
2020,2,10,5.84,0.06,5.14,83.81,17.09,-264.24,97.82,1.81,0.76
2020,2,11,6.29,0.08,5.26,81.88,18.07,-262.99,97.69,2.08,0.83
2020,2,12,3.96,0.02,4.12,82.88,18.43,-264.72,97.57,2.44,0.69
2020,2,13,6.83,0.15,3.18,80.19,16.3,-267.91,97.67,2.21,1.36
2020,2,14,6.97,0.17,1.63,72.44,16.36,-260.22,97.56,2.43,1.31
2020,2,15,6.08,0.04,1.03,70.19,17.27,-261.95,97.51,1.75,0.45
2020,2,16,7.06,0.09,1.57,74.81,17.21,-264.2,97.49,1.02,0.59
2020,2,17,5.87,0.05,0.17,68.25,16.72,-260.43,97.45,1.5,0.63
2020,2,18,4.15,0.05,1.23,69.62,17.09,-263.56,97.5,1.7,0.36
2020,2,19,5.65,0.05,5.33,74.0,17.94,-261.52,97.32,2.18,0.66
2020,2,20,2.89,0.03,17.7,87.94,18.37,-266.33,97.4,2.55,1.27
2020,2,21,4.12,0.11,9.05,91.62,18.01,-268.17,97.56,1.66,0.92
2020,2,22,3.82,0.13,3.85,84.94,18.43,-264.94,97.61,1.81,0.88
2020,2,23,5.14,0.05,4.85,84.5,18.8,-265.03,97.63,1.64,0.54
2020,2,24,5.75,0.05,1.13,82.12,18.43,-264.63,97.57,1.94,0.79
2020,2,25,4.73,0.09,10.86,82.44,18.49,-265.38,97.57,1.47,0.4
2020,2,26,5.66,0.07,4.02,82.44,18.49,-264.96,97.56,1.79,0.55
2020,2,27,4.16,0.11,24.47,81.44,18.37,-264.35,97.54,1.49,0.7
2020,2,28,4.45,0.14,9.84,89.62,19.53,-266.19,97.64,1.97,0.92
2020,2,29,4.63,0.1,6.11,94.31,18.62,-269.72,97.75,3.0,1.16
2020,3,1,5.96,0.13,13.96,88.69,18.68,-264.49,97.67,1.9,0.95
2020,3,2,2.04,0.09,32.76,93.69,19.17,-268.37,97.62,2.08,0.77
2020,3,3,6.09,0.12,7.14,89.31,18.07,-266.13,97.62,1.86,0.82
2020,3,4,4.42,0.03,5.32,90.62,18.01,-267.38,97.76,2.43,0.88
2020,3,5,5.42,0.1,8.75,90.38,18.19,-266.87,97.74,2.76,1.12
2020,3,6,4.08,0.12,8.1,94.06,18.86,-269.09,97.67,2.51,1.02
2020,3,7,6.16,0.17,0.4,84.56,17.94,-265.0,97.53,1.86,0.98
2020,3,8,2.12,0.13,1.47,88.38,18.68,-265.75,97.57,1.81,0.78
2020,3,9,5.01,0.05,1.0,88.88,18.62,-267.38,97.63,1.91,0.68
2020,3,10,4.6,0.13,9.46,87.81,18.86,-265.06,97.52,1.4,0.76
2020,3,11,3.95,0.12,11.82,96.12,19.1,-270.16,97.48,2.0,0.77
2020,3,12,4.78,0.09,3.15,91.38,18.74,-267.31,97.51,2.36,0.97
2020,3,13,5.55,0.09,4.24,87.31,18.55,-265.2,97.53,1.8,0.75
2020,3,14,4.91,0.11,28.49,91.12,19.59,-266.36,97.57,2.79,0.77
2020,3,15,3.51,0.08,16.81,88.94,18.25,-267.07,97.65,3.53,1.01
2020,3,16,5.4,0.03,1.61,90.44,18.25,-266.97,97.64,2.36,0.58
2020,3,17,5.94,0.05,1.02,88.19,17.52,-267.93,97.68,1.44,0.8
2020,3,18,6.16,0.15,1.33,85.06,18.43,-264.6,97.64,1.87,0.75
2020,3,19,5.57,0.05,1.83,89.12,18.68,-267.26,97.54,2.47,0.91
2020,3,20,4.15,0.03,9.08,91.75,18.55,-267.07,97.5,0.99,0.43
2020,3,21,4.19,0.05,3.1,91.56,17.82,-268.27,97.61,1.68,0.68
2020,3,22,5.11,0.15,0.65,85.06,17.82,-265.01,97.69,1.8,0.64
2020,3,23,5.9,0.16,0.45,85.81,18.19,-266.29,97.67,2.11,0.84
2020,3,24,4.11,0.09,16.63,96.69,18.55,-270.39,97.62,2.46,0.84
2020,3,25,3.75,0.04,45.93,93.69,18.68,-267.27,97.52,2.22,0.77
2020,3,26,5.75,0.03,2.22,90.38,18.07,-267.05,97.49,1.44,0.71
2020,3,27,3.73,0.04,3.78,89.31,17.94,-265.97,97.44,2.37,0.7
2020,3,28,5.04,0.03,3.57,91.38,18.74,-266.43,97.53,1.97,0.65
2020,3,29,6.16,0.03,0.27,88.0,18.62,-266.28,97.63,1.8,0.88
2020,3,30,6.28,0.04,0.01,86.06,18.31,-265.87,97.55,1.24,0.73
2020,3,31,6.25,0.09,0.02,85.38,18.55,-265.82,97.45,1.53,0.73
