YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,6.7,2.5,0.76,56.94,8.3,-264.1,93.23,3.33,3.55
2020,1,2,7.08,2.54,0.14,59.56,8.3,-262.84,93.32,4.3,4.58
2020,1,3,7.03,2.8,0.96,61.19,8.3,-262.85,93.48,5.31,5.39
2020,1,4,6.65,2.97,0.18,59.62,8.67,-261.62,93.28,4.47,5.28
2020,1,5,4.89,2.78,0.0,65.19,8.12,-263.7,93.46,4.78,5.7
2020,1,6,8.85,2.59,0.0,58.06,7.69,-263.2,93.38,3.26,3.96
2020,1,7,9.18,2.13,0.0,57.69,7.87,-262.39,93.27,4.95,5.68
2020,1,8,7.88,2.45,0.0,61.81,7.93,-262.42,93.47,6.02,6.08
2020,1,9,9.22,2.77,0.0,47.19,6.41,-261.85,93.39,3.11,4.23
2020,1,10,9.12,2.57,0.0,41.75,5.98,-259.7,93.21,3.77,3.68
2020,1,11,8.17,2.41,0.01,45.69,6.77,-260.05,93.06,2.68,2.94
2020,1,12,7.47,2.16,0.09,46.19,7.2,-262.1,93.1,2.55,3.28
2020,1,13,6.7,3.26,0.23,47.94,7.2,-260.38,93.05,3.7,3.9
2020,1,14,6.53,3.07,0.06,50.06,7.32,-261.48,93.05,5.8,5.45
2020,1,15,9.24,3.62,0.26,43.06,6.41,-260.16,93.02,5.54,5.78
2020,1,16,8.85,1.81,0.0,44.5,7.14,-263.0,92.99,3.3,4.16
2020,1,17,7.58,1.92,0.0,40.94,7.51,-262.62,92.95,2.79,3.76
2020,1,18,7.9,1.81,0.0,44.25,8.0,-264.74,92.93,2.96,4.02
2020,1,19,6.28,1.71,0.33,48.94,8.54,-262.78,93.09,3.53,4.34
2020,1,20,6.77,2.38,0.12,52.69,8.79,-261.67,93.15,2.87,3.35
2020,1,21,6.53,1.85,0.15,50.25,7.81,-259.7,93.1,3.73,4.27
2020,1,22,7.31,2.07,0.01,57.12,8.79,-262.98,93.19,3.79,4.7
2020,1,23,8.26,2.13,2.31,64.94,9.7,-264.5,93.42,4.27,4.35
2020,1,24,7.28,2.36,0.33,67.0,10.19,-264.56,93.39,2.48,3.43
2020,1,25,8.12,1.68,0.02,55.5,8.67,-262.87,93.46,3.52,4.06
2020,1,26,8.83,2.04,0.05,50.25,8.24,-261.64,93.49,5.11,5.02
2020,1,27,6.98,1.99,0.74,54.94,9.22,-262.46,93.28,3.7,3.91
2020,1,28,5.98,1.95,0.3,64.88,9.83,-264.94,93.25,3.88,3.91
2020,1,29,7.47,2.53,0.07,59.44,8.85,-263.39,93.33,2.93,3.68
2020,1,30,7.55,2.66,0.0,55.12,8.48,-262.32,93.33,1.76,3.12
2020,1,31,7.89,2.3,0.0,53.38,8.24,-262.66,93.29,2.69,3.98
2020,2,1,6.7,2.7,0.0,52.5,8.3,-261.95,93.24,3.98,4.26
2020,2,2,7.03,2.6,0.0,49.62,8.06,-262.45,93.35,4.17,4.35
2020,2,3,8.78,3.21,0.0,47.56,7.08,-261.27,93.3,3.37,4.16
2020,2,4,8.74,3.27,0.07,57.56,7.87,-262.08,93.39,3.83,4.7
2020,2,5,8.48,3.34,0.15,61.06,7.51,-262.58,93.23,2.34,4.04
2020,2,6,8.72,2.84,0.0,54.88,6.77,-261.75,93.44,3.97,4.32
2020,2,7,8.47,2.55,0.05,47.94,6.71,-259.47,93.41,2.85,3.05
2020,2,8,7.59,2.1,0.22,49.25,7.57,-261.07,93.26,3.88,4.02
2020,2,9,7.29,2.12,0.93,52.19,7.75,-262.42,93.34,3.99,4.42
2020,2,10,6.44,2.23,0.21,53.25,8.18,-261.75,93.24,4.47,4.44
2020,2,11,6.41,2.46,0.01,52.88,8.48,-261.47,93.13,3.77,3.91
2020,2,12,5.71,2.95,0.01,56.0,8.24,-262.44,93.15,6.64,6.14
2020,2,13,8.19,3.62,0.0,50.81,7.02,-261.87,93.15,4.38,4.82
2020,2,14,8.41,2.67,0.0,39.81,5.8,-259.91,93.07,4.14,4.59
2020,2,15,7.59,2.06,0.0,43.62,6.59,-259.65,93.05,5.05,4.9
2020,2,16,7.88,1.96,0.0,54.12,7.87,-262.06,93.0,3.65,4.38
2020,2,17,7.96,2.87,0.0,49.5,7.26,-260.92,93.08,6.37,5.88
2020,2,18,8.29,2.22,0.0,36.31,5.74,-260.59,92.95,4.36,4.41
2020,2,19,7.24,1.76,0.0,38.88,6.1,-259.49,93.02,3.87,3.96
2020,2,20,6.81,1.78,0.0,47.69,7.51,-261.97,93.02,3.77,4.31
2020,2,21,6.4,1.66,0.0,50.38,7.69,-262.96,93.22,3.38,4.33
2020,2,22,6.63,1.91,0.0,49.0,7.08,-261.23,93.34,4.13,4.23
2020,2,23,6.44,2.06,0.0,52.06,7.08,-260.6,93.37,3.78,4.88
2020,2,24,6.51,2.6,0.0,51.75,6.77,-262.33,93.37,2.7,4.1
