YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,5.57,0.53,0.02,84.06,17.21,-265.49,97.65,2.86,1.84
2020,1,2,5.66,0.56,0.0,83.0,16.42,-264.6,97.76,2.66,2.05
2020,1,3,6.44,0.59,0.0,81.81,16.11,-263.78,97.99,3.23,1.91
2020,1,4,6.47,0.6,0.0,79.94,16.17,-263.55,97.93,2.29,1.4
2020,1,5,6.21,0.61,0.0,78.25,16.05,-264.42,97.84,3.29,1.98
2020,1,6,6.35,0.6,0.0,81.12,16.17,-264.31,97.76,2.52,1.5
2020,1,7,6.44,0.59,0.0,79.81,16.3,-264.38,97.82,3.96,2.12
2020,1,8,6.76,0.57,0.0,76.75,15.81,-264.04,97.87,3.62,1.98
2020,1,9,6.6,0.6,0.0,78.88,15.99,-264.81,97.84,3.27,1.9
2020,1,10,6.64,0.63,0.0,77.12,15.14,-263.74,97.76,3.71,2.19
2020,1,11,3.95,0.57,0.0,75.81,15.32,-264.28,97.78,3.91,2.1
2020,1,12,5.03,0.61,0.0,76.5,15.38,-263.76,97.81,4.38,2.8
2020,1,13,5.93,0.6,0.0,75.94,15.38,-264.9,97.8,2.87,2.08
2020,1,14,6.3,0.55,0.0,77.75,15.75,-264.12,97.75,3.19,1.94
2020,1,15,5.24,0.55,0.0,74.44,15.99,-263.95,97.67,5.16,2.83
2020,1,16,1.84,0.45,4.57,78.56,16.97,-263.32,97.8,2.12,1.15
2020,1,17,2.24,0.45,8.79,82.06,17.76,-265.73,97.9,3.19,1.85
2020,1,18,4.03,0.44,4.17,79.38,17.64,-263.83,97.8,2.66,1.55
2020,1,19,2.72,0.55,3.4,83.0,18.13,-266.17,97.78,3.74,2.18
2020,1,20,4.12,0.42,1.91,81.88,17.88,-264.34,97.76,0.94,0.72
2020,1,21,4.37,0.39,0.65,81.19,17.64,-265.1,97.69,1.5,0.62
2020,1,22,4.65,0.45,0.01,76.06,17.03,-265.95,97.6,2.45,1.2
2020,1,23,5.15,0.41,0.0,71.12,16.85,-264.85,97.56,2.81,1.59
2020,1,24,4.84,0.26,0.0,81.38,17.21,-266.17,97.74,2.33,0.73
2020,1,25,3.39,0.52,1.32,76.75,17.03,-264.83,97.74,4.08,2.47
2020,1,26,4.97,0.38,0.79,75.25,16.54,-262.05,97.76,3.29,1.71
2020,1,27,5.88,0.42,0.69,76.94,17.7,-263.9,97.73,3.16,1.9
2020,1,28,6.04,0.45,0.0,69.75,16.11,-263.49,97.63,3.79,2.16
2020,1,29,4.76,0.55,0.02,71.62,16.72,-262.48,97.6,3.77,2.23
2020,1,30,5.43,0.45,0.0,71.56,16.11,-262.9,97.72,3.58,2.18
2020,1,31,4.71,0.42,0.0,72.75,16.72,-263.04,97.74,3.82,2.27
2020,2,1,3.79,0.3,1.81,82.75,18.31,-266.75,97.82,2.05,1.24
2020,2,2,4.14,0.36,1.93,80.81,17.82,-265.16,97.82,2.91,1.78
2020,2,3,5.44,0.52,0.47,76.19,16.91,-265.52,97.86,3.73,2.12
2020,2,4,6.79,0.47,0.0,67.69,14.95,-261.42,97.84,3.23,1.96
2020,2,5,7.44,0.6,0.0,64.19,13.67,-260.81,97.73,2.91,1.86
2020,2,6,7.16,0.57,0.0,62.75,13.79,-260.19,97.69,3.77,2.21
2020,2,7,6.33,0.53,0.0,66.62,15.01,-261.42,97.75,5.33,3.01
2020,2,8,6.05,0.56,0.62,67.25,15.38,-263.4,97.73,5.36,3.06
2020,2,9,5.68,0.62,4.92,70.94,14.89,-262.44,97.79,5.25,3.12
2020,2,10,7.25,0.59,9.97,67.56,13.92,-260.16,97.8,5.85,3.17
2020,2,11,6.86,0.59,0.0,64.0,14.28,-261.04,97.8,4.85,2.84
2020,2,12,6.77,0.52,0.0,65.62,15.08,-261.1,97.67,5.09,2.94
2020,2,13,6.33,0.59,0.0,67.31,15.93,-262.22,97.58,4.1,2.41
2020,2,14,4.61,0.61,0.87,70.56,16.3,-263.03,97.69,4.84,2.98
2020,2,15,5.86,0.56,0.85,66.12,14.59,-262.84,97.78,6.19,3.35
2020,2,16,6.07,0.54,0.0,60.94,14.16,-260.71,97.58,5.82,3.31
2020,2,17,5.52,0.51,0.0,64.44,15.14,-261.97,97.52,4.75,2.73
2020,2,18,5.7,0.42,0.0,68.94,16.36,-264.19,97.57,4.07,2.43
2020,2,19,3.41,0.54,1.36,72.94,17.52,-263.71,97.55,5.22,3.13
2020,2,20,5.68,0.52,0.36,67.56,15.99,-262.56,97.54,3.51,2.14
2020,2,21,5.0,0.58,0.08,67.56,16.3,-263.17,97.62,4.01,2.55
2020,2,22,4.44,0.38,0.48,68.75,16.78,-263.51,97.67,3.31,1.93
2020,2,23,3.3,0.38,20.45,77.0,17.58,-264.03,97.67,2.99,1.86
2020,2,24,3.59,0.32,1.93,83.0,18.68,-265.75,97.69,2.81,1.53
2020,2,25,4.13,0.37,1.2,87.06,18.13,-268.77,97.69,3.76,2.27
2020,2,26,4.44,0.44,0.39,77.56,17.7,-263.92,97.67,3.95,2.45
2020,2,27,5.52,0.59,0.01,69.88,16.91,-262.86,97.69,5.02,2.91
