YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,0.56,5.06,0.2,94.69,4.46,-270.27,102.23,2.41,1.96
2020,1,2,0.26,6.29,0.91,96.31,4.58,-271.69,101.31,5.97,4.7
2020,1,3,0.28,5.95,1.49,94.31,5.13,-268.7,100.32,6.9,6.55
2020,1,4,0.7,6.7,2.14,87.94,4.15,-266.09,100.97,7.03,6.9
2020,1,5,0.37,3.94,1.16,97.94,4.39,-265.79,102.06,4.97,4.48
2020,1,6,0.38,4.8,0.75,97.06,5.49,-269.73,101.4,1.82,1.66
2020,1,7,0.39,5.27,2.02,96.19,5.25,-269.49,101.02,9.27,7.53
2020,1,8,0.49,5.94,0.82,95.62,5.74,-268.38,100.73,8.72,7.8
2020,1,9,0.12,4.24,11.68,97.06,5.25,-268.12,100.39,7.08,5.66
2020,1,10,0.27,4.28,0.73,95.81,4.88,-268.1,100.55,7.46,6.48
2020,1,11,0.38,6.95,0.67,93.62,4.76,-268.2,101.35,13.07,10.1
2020,1,12,0.26,5.15,4.66,95.5,5.68,-271.3,100.43,10.23,8.83
2020,1,13,0.51,4.66,0.58,95.44,5.0,-271.13,100.63,6.45,5.07
2020,1,14,0.46,7.51,10.88,94.06,5.62,-268.68,99.27,12.11,9.8
2020,1,15,0.24,8.0,6.76,92.69,6.29,-268.03,99.56,12.78,9.84
2020,1,16,0.64,5.81,0.07,94.44,5.25,-269.6,101.33,5.08,3.65
2020,1,17,0.83,4.98,1.72,95.94,5.31,-270.77,100.74,2.57,2.66
2020,1,18,0.52,5.83,1.4,95.12,5.07,-269.85,100.69,3.41,2.86
2020,1,19,1.03,4.13,0.02,95.5,4.52,-269.86,102.57,3.21,2.27
2020,1,20,0.5,5.12,0.15,95.0,5.0,-269.92,103.37,4.88,3.52
2020,1,21,0.37,6.13,0.4,95.81,5.37,-270.71,102.67,2.62,2.48
2020,1,22,1.13,4.64,0.12,94.94,4.82,-268.05,102.44,8.41,5.95
2020,1,23,0.48,4.58,0.73,97.38,5.31,-268.19,102.15,5.98,3.97
2020,1,24,0.29,4.75,1.83,96.56,5.55,-271.63,101.12,2.31,1.83
2020,1,25,0.63,3.78,0.33,96.19,5.19,-270.31,101.03,2.48,2.8
2020,1,26,0.48,5.02,0.47,95.56,4.76,-271.58,100.7,2.24,1.43
2020,1,27,0.37,4.9,2.48,96.31,5.25,-269.79,99.66,2.77,2.87
2020,1,28,0.46,4.74,4.84,95.75,5.13,-270.92,98.06,4.62,4.3
2020,1,29,0.79,5.35,0.5,93.94,4.76,-270.02,98.67,3.06,2.02
2020,1,30,0.55,5.26,10.98,95.19,5.43,-268.72,98.91,9.29,7.64
