YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,0.32,4.63,0.06,96.75,3.78,-267.6,100.53,3.03,3.2
2020,1,2,0.17,5.44,0.17,97.88,4.58,-271.21,100.15,2.34,1.82
2020,1,3,0.1,7.52,2.13,95.75,4.52,-271.05,99.47,5.84,4.87
2020,1,4,0.37,5.38,0.28,93.0,3.85,-269.93,98.67,2.2,2.76
2020,1,5,0.3,3.48,0.04,87.38,2.62,-268.9,100.88,5.7,4.64
2020,1,6,0.28,3.97,4.99,97.25,3.91,-269.14,100.98,7.5,6.47
2020,1,7,0.19,4.51,1.46,98.69,4.33,-271.65,101.04,3.5,3.18
2020,1,8,0.11,7.66,4.34,95.69,4.39,-269.24,100.14,5.14,4.48
2020,1,9,0.4,5.0,0.13,96.31,4.33,-271.48,100.2,5.55,4.28
2020,1,10,0.26,1.98,0.41,98.12,3.91,-269.91,100.49,4.14,2.73
2020,1,11,0.41,3.48,0.42,96.62,3.05,-268.57,101.12,11.23,9.16
2020,1,12,0.18,8.09,6.86,95.94,4.64,-269.49,99.65,8.34,7.08
2020,1,13,0.38,4.3,0.83,97.38,4.21,-271.53,100.14,3.01,2.12
2020,1,14,0.25,5.74,2.48,96.81,4.03,-271.84,100.43,7.2,6.7
2020,1,15,0.09,8.16,2.79,94.94,5.0,-269.05,99.75,6.22,5.07
2020,1,16,0.31,6.64,2.46,94.81,5.0,-271.11,100.46,2.5,2.3
2020,1,17,0.31,5.3,0.31,96.38,4.27,-268.4,101.52,1.74,1.41
2020,1,18,0.11,5.49,0.64,95.69,3.66,-268.1,100.84,3.52,2.5
2020,1,19,0.4,5.71,0.9,95.75,4.46,-270.66,101.36,4.17,3.05
2020,1,20,0.43,5.95,0.22,94.69,4.09,-270.44,101.91,5.13,3.85
2020,1,21,0.42,7.02,1.83,93.12,4.64,-268.78,100.52,3.5,3.12
2020,1,22,0.47,5.74,0.08,90.56,3.54,-269.58,100.13,2.2,1.87
2020,1,23,0.61,4.28,0.69,95.12,3.36,-267.54,100.87,4.64,4.42
2020,1,24,0.32,4.91,1.1,97.69,4.7,-271.13,99.56,2.84,2.42
2020,1,25,0.8,5.4,0.22,93.5,3.78,-267.27,99.71,3.77,4.29
2020,1,26,0.22,5.46,1.82,97.0,4.46,-266.75,100.02,7.16,6.12
2020,1,27,0.33,2.34,2.8,98.12,4.58,-271.85,100.15,1.75,1.38
2020,1,28,0.3,3.83,1.25,95.38,3.6,-269.94,99.63,3.38,3.04
