YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,1.01,1.94,0.87,96.69,4.94,-267.81,99.38,3.88,1.94
2020,1,2,0.95,2.68,0.89,96.31,5.31,-268.93,99.04,2.35,2.55
2020,1,3,0.72,3.84,0.97,96.38,5.86,-268.82,99.1,3.14,3.57
2020,1,4,1.32,1.52,0.42,96.56,4.7,-266.63,99.79,3.88,2.4
2020,1,5,1.55,1.67,0.1,96.0,4.15,-266.17,99.71,4.88,2.48
2020,1,6,1.9,2.37,0.06,91.81,4.33,-261.64,99.06,3.72,2.38
2020,1,7,0.89,2.61,1.78,96.88,5.55,-267.99,99.3,1.53,1.85
2020,1,8,0.93,1.84,1.07,97.62,6.71,-269.41,99.2,2.52,1.2
2020,1,9,0.93,4.69,1.96,89.44,6.47,-268.22,98.27,6.66,6.48
2020,1,10,0.78,3.38,1.11,93.25,5.31,-267.83,98.83,10.09,7.48
2020,1,11,1.08,0.98,0.07,92.69,4.21,-266.01,99.49,5.03,2.67
2020,1,12,1.72,2.16,0.43,89.88,4.03,-264.88,99.13,2.45,1.68
2020,1,13,1.75,2.9,0.23,87.81,5.13,-265.18,98.28,6.52,4.86
2020,1,14,1.16,4.54,0.0,81.81,5.07,-266.45,97.8,2.84,3.01
2020,1,15,1.64,4.41,0.06,89.25,5.98,-264.7,98.21,4.18,4.24
2020,1,16,2.09,3.28,0.0,89.81,5.74,-263.67,98.61,5.27,3.38
2020,1,17,0.92,4.21,4.51,93.06,5.62,-267.14,98.59,5.09,3.59
2020,1,18,2.03,2.34,0.06,90.38,4.27,-265.73,99.09,7.4,4.67
2020,1,19,1.66,4.45,0.12,90.19,3.78,-268.22,99.79,5.2,4.01
2020,1,20,2.07,4.52,0.09,88.75,3.42,-265.86,100.21,5.62,5.3
2020,1,21,2.17,2.45,0.03,88.75,3.11,-264.78,99.96,3.38,2.32
2020,1,22,2.01,2.25,0.01,89.25,3.36,-264.46,99.39,3.77,1.67
2020,1,23,1.27,2.12,0.03,92.38,3.97,-268.62,98.78,1.85,1.72
2020,1,24,2.04,1.67,0.06,96.12,5.19,-263.77,98.48,5.91,3.39
2020,1,25,1.78,1.24,0.01,90.0,5.13,-264.05,98.23,5.81,2.64
2020,1,26,1.09,2.24,0.64,95.75,5.49,-265.81,98.12,4.7,2.58
2020,1,27,0.61,5.09,7.97,93.12,5.55,-271.2,97.52,6.41,5.84
2020,1,28,1.23,7.17,5.56,91.25,5.68,-270.52,97.27,4.34,3.42
2020,1,29,1.37,3.8,1.4,95.62,5.68,-267.46,98.04,4.48,4.58
2020,1,30,0.83,4.48,4.97,94.31,6.53,-265.3,97.86,3.77,4.13
2020,1,31,1.36,3.86,0.83,94.19,7.69,-269.46,98.02,2.9,2.27
2020,2,1,1.35,4.88,3.36,93.06,7.2,-268.54,97.9,5.27,5.12
2020,2,2,0.85,6.12,8.52,93.12,8.36,-267.77,98.29,7.37,6.09
2020,2,3,1.39,5.87,0.76,87.56,7.87,-267.61,98.47,5.43,4.16
2020,2,4,1.74,5.09,4.76,90.06,4.94,-264.95,98.88,7.85,7.05
2020,2,5,2.08,1.96,0.05,91.19,4.33,-266.91,99.68,5.52,2.58
2020,2,6,2.76,2.9,0.0,83.06,3.42,-265.33,99.04,2.98,2.5
2020,2,7,2.68,2.02,0.01,88.56,4.88,-259.63,98.58,4.55,2.28
2020,2,8,2.43,2.56,0.02,89.44,5.37,-262.26,98.55,4.28,2.9
2020,2,9,1.73,7.3,0.47,87.62,6.41,-266.94,98.18,13.64,10.85
2020,2,10,1.7,8.97,2.77,86.12,6.84,-270.16,97.94,7.48,5.67
2020,2,11,1.85,5.47,1.64,88.5,5.37,-266.78,98.32,8.18,6.55
2020,2,12,2.46,3.29,0.29,90.88,4.58,-267.01,98.59,2.4,3.87
2020,2,13,1.39,6.52,4.76,89.0,5.43,-262.57,97.67,9.61,8.36
2020,2,14,1.58,2.7,0.49,88.0,5.49,-266.21,98.69,7.49,5.59
2020,2,15,3.21,2.98,0.0,82.12,5.43,-260.53,98.51,6.48,4.1
