YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,5.5,3.52,0.0,28.81,4.76,-258.29,101.0,4.48,5.41
2020,1,2,5.03,3.27,0.0,31.94,5.07,-257.4,101.02,3.71,4.28
2020,1,3,4.94,3.23,0.0,32.06,5.13,-255.42,101.11,4.44,5.12
2020,1,4,4.89,3.45,0.0,30.0,4.7,-258.03,101.12,5.09,5.7
2020,1,5,5.31,3.29,0.0,28.25,4.15,-256.11,101.07,3.85,4.92
2020,1,6,5.55,3.53,0.0,27.81,3.91,-255.31,101.05,3.58,4.85
2020,1,7,4.58,3.42,0.0,24.75,3.48,-255.32,100.99,5.03,4.21
2020,1,8,5.62,3.11,0.0,27.0,4.09,-253.63,101.02,5.84,4.16
2020,1,9,5.39,3.8,0.0,22.88,3.66,-255.85,101.14,4.11,4.12
2020,1,10,5.57,3.96,0.0,23.81,3.91,-254.81,101.16,4.31,5.26
2020,1,11,5.54,3.35,0.0,26.56,4.76,-255.03,101.09,5.38,5.58
2020,1,12,5.48,3.05,0.0,29.06,5.37,-255.43,101.04,5.19,5.27
2020,1,13,5.86,3.19,0.0,26.69,4.7,-255.79,100.94,4.45,3.88
2020,1,14,5.67,2.94,0.0,28.81,4.88,-256.32,100.87,5.14,5.28
2020,1,15,5.51,3.36,0.0,23.81,3.97,-255.22,100.98,3.57,3.41
2020,1,16,5.91,3.12,0.0,20.75,3.6,-255.1,101.07,4.19,3.11
2020,1,17,5.67,3.62,0.0,18.12,3.36,-256.35,101.1,4.71,5.41
2020,1,18,5.5,3.39,0.0,25.75,4.7,-258.68,101.04,5.6,5.93
2020,1,19,5.86,2.9,0.0,28.06,5.31,-255.15,100.88,3.35,4.09
2020,1,20,5.08,1.86,0.0,30.56,5.37,-256.02,100.72,5.5,2.22
2020,1,21,4.84,1.3,0.0,29.69,5.74,-259.77,100.8,5.3,3.35
2020,1,22,3.27,1.79,0.0,32.88,6.23,-261.37,100.95,1.95,2.38
2020,1,23,2.39,1.79,0.02,34.94,6.53,-264.17,100.93,3.64,1.49
