YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,1.11,1.3,0.03,95.0,3.36,-267.52,99.14,5.69,2.7
2020,1,2,1.11,2.8,0.04,91.94,3.05,-267.67,98.56,1.98,2.84
2020,1,3,0.31,4.57,1.14,96.06,4.39,-268.95,97.84,5.2,3.86
2020,1,4,0.35,4.06,2.41,96.69,4.21,-269.45,98.35,6.21,6.22
2020,1,5,0.87,1.98,0.57,97.0,3.85,-268.66,99.15,3.23,1.76
2020,1,6,0.53,2.68,0.12,96.44,3.78,-268.02,98.58,3.01,2.55
2020,1,7,0.57,2.95,0.59,97.62,3.97,-267.62,98.38,1.95,2.66
2020,1,8,0.32,3.8,4.41,95.19,4.39,-269.92,98.35,3.45,3.59
2020,1,9,0.28,3.45,8.7,96.31,5.62,-269.11,97.62,3.77,3.16
2020,1,10,0.66,3.89,2.37,94.31,5.49,-268.31,97.59,2.4,2.73
2020,1,11,1.12,2.46,0.08,91.56,3.85,-267.85,98.83,4.38,2.14
2020,1,12,0.79,4.64,0.16,91.94,3.72,-268.8,98.18,3.55,3.54
2020,1,13,0.83,3.27,0.21,95.44,4.46,-269.96,97.85,3.2,2.55
2020,1,14,0.67,5.14,0.02,86.75,4.64,-267.85,97.14,3.84,2.73
2020,1,15,1.2,4.45,0.01,85.5,5.13,-267.55,97.53,3.33,2.69
2020,1,16,1.31,2.02,0.07,96.94,5.68,-266.81,98.49,4.98,2.85
2020,1,17,1.3,3.13,0.19,94.88,4.94,-269.04,97.79,3.37,1.99
2020,1,18,0.82,2.84,0.44,94.12,4.33,-268.75,98.19,2.25,3.05
2020,1,19,0.9,1.88,1.43,95.75,3.91,-269.47,99.21,1.66,1.77
2020,1,20,1.17,0.67,0.12,87.06,3.42,-265.98,100.28,3.47,2.05
2020,1,21,1.57,1.45,0.0,93.56,3.17,-265.42,99.87,2.8,1.48
2020,1,22,0.69,1.84,0.26,96.31,3.42,-268.41,99.25,4.09,2.78
2020,1,23,0.96,0.8,0.08,93.56,3.54,-267.58,98.98,3.63,2.15
2020,1,24,1.16,2.02,0.03,93.5,3.17,-268.42,98.17,1.32,2.27
2020,1,25,0.67,1.78,0.13,94.12,3.17,-268.87,97.98,2.05,1.27
2020,1,26,0.87,2.3,0.12,96.81,3.91,-268.54,97.67,2.83,1.98
