YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,1.91,2.04,5.81,87.31,9.58,-263.26,96.86,4.73,3.09
2020,1,2,2.36,2.64,11.24,86.31,9.95,-264.83,96.91,3.46,2.64
2020,1,3,2.25,1.74,1.33,83.31,9.77,-262.63,96.76,2.91,1.88
2020,1,4,3.49,1.42,0.0,79.06,8.54,-261.91,96.71,5.71,1.9
2020,1,5,3.57,1.77,0.0,74.5,6.9,-258.99,96.88,3.93,1.77
2020,1,6,4.42,1.52,0.0,67.5,6.35,-256.86,96.95,5.09,2.68
2020,1,7,4.32,1.58,0.0,64.56,7.32,-255.71,96.7,4.92,3.05
2020,1,8,2.59,2.32,5.55,86.06,10.86,-263.45,96.45,3.7,3.62
2020,1,9,3.89,2.26,0.17,74.62,7.2,-259.63,96.82,4.27,2.19
2020,1,10,4.66,1.49,0.0,70.19,5.19,-258.49,96.97,4.74,1.83
2020,1,11,4.8,1.16,0.0,67.12,5.07,-255.22,96.98,5.16,2.19
2020,1,12,4.8,1.03,0.0,52.75,4.88,-254.93,96.72,4.1,2.08
2020,1,13,4.76,1.58,0.0,55.69,6.59,-254.24,96.39,4.5,1.87
2020,1,14,3.7,1.34,0.0,67.81,8.54,-258.24,96.45,4.67,1.83
2020,1,15,3.55,1.78,0.0,67.06,8.42,-257.75,96.49,4.38,1.09
2020,1,16,2.79,3.27,0.4,69.88,9.46,-260.94,96.38,5.34,5.88
2020,1,17,3.39,1.17,0.32,72.12,8.67,-262.66,96.58,3.59,1.8
2020,1,18,3.33,1.23,0.0,74.0,8.42,-257.8,96.67,4.63,2.62
2020,1,19,3.58,1.99,0.0,71.69,7.02,-260.05,96.82,4.72,1.65
2020,1,20,4.66,1.11,0.0,67.19,6.1,-256.32,96.83,5.86,2.84
2020,1,21,3.98,1.59,0.17,66.25,8.54,-255.83,96.77,6.36,4.14
2020,1,22,2.17,1.59,2.5,81.25,10.93,-260.41,96.89,2.81,1.53
2020,1,23,4.77,1.88,0.34,71.62,8.3,-259.14,96.91,4.39,1.66
2020,1,24,5.21,1.31,0.0,53.69,5.49,-256.75,96.84,3.39,1.8
2020,1,25,5.11,1.47,0.0,53.25,5.98,-257.27,96.71,3.53,2.65
2020,1,26,5.17,1.45,0.0,57.25,6.1,-257.12,96.64,4.09,1.62
2020,1,27,4.24,2.13,0.0,54.75,7.39,-254.06,96.36,5.3,3.63
2020,1,28,4.54,3.18,0.0,56.5,8.06,-259.69,96.22,3.9,4.03
2020,1,29,3.65,2.09,0.12,65.75,7.51,-259.62,96.66,4.18,2.41
2020,1,30,4.83,1.91,0.0,63.75,6.04,-257.9,96.8,2.91,1.57
2020,1,31,5.29,1.24,0.0,53.69,5.25,-256.69,96.62,5.26,2.3
2020,2,1,5.2,1.86,0.0,56.56,5.49,-255.56,96.78,7.23,2.68
2020,2,2,5.24,1.77,0.0,57.81,5.37,-255.64,96.98,4.8,1.27
2020,2,3,4.85,1.61,0.26,61.25,6.84,-254.79,96.86,5.63,3.5
2020,2,4,2.39,1.84,3.3,80.75,10.38,-260.77,96.58,4.38,3.55
2020,2,5,4.85,1.5,0.11,70.69,8.73,-260.23,96.66,4.2,2.35
2020,2,6,4.29,1.21,0.01,65.56,8.67,-256.09,96.58,4.47,2.9
2020,2,7,4.32,1.95,0.16,73.56,9.77,-262.16,96.69,6.51,3.61
2020,2,8,5.02,2.61,0.01,59.75,5.86,-257.92,97.0,5.55,2.39
2020,2,9,5.65,1.86,0.0,57.25,4.88,-253.7,97.1,4.8,2.06
2020,2,10,5.49,1.3,0.0,51.75,4.76,-252.58,96.95,5.5,3.22
2020,2,11,5.45,1.54,0.0,51.0,5.8,-252.26,96.94,5.34,2.26
2020,2,12,5.49,1.46,0.0,50.81,6.04,-253.63,97.02,5.32,2.99
2020,2,13,5.52,1.74,0.0,46.5,6.59,-255.45,96.8,2.95,2.87
2020,2,14,5.61,1.99,0.0,53.12,6.71,-254.45,96.53,3.53,2.7
2020,2,15,5.78,1.56,0.0,50.5,6.35,-256.4,96.57,4.27,3.05
2020,2,16,6.07,1.43,0.0,39.81,4.82,-255.83,96.77,5.34,2.73
2020,2,17,6.03,1.65,0.0,39.44,4.64,-254.33,96.86,3.86,2.84
2020,2,18,6.08,1.4,0.0,36.44,4.7,-253.57,96.7,3.77,1.8
2020,2,19,5.47,1.8,0.0,33.81,4.7,-251.81,96.57,7.8,3.59
2020,2,20,4.9,3.21,0.0,40.56,6.59,-254.37,96.48,5.84,2.78
2020,2,21,4.28,3.41,0.01,49.38,8.61,-256.7,96.66,6.39,6.35
2020,2,22,4.74,1.41,0.0,55.88,9.03,-255.32,96.85,5.09,2.7
2020,2,23,4.32,1.7,1.59,57.88,8.85,-254.33,96.67,3.71,3.02
2020,2,24,4.77,1.41,2.37,62.12,8.91,-257.25,96.43,6.66,2.82
2020,2,25,5.04,1.79,0.05,51.75,6.84,-257.52,96.51,4.38,2.4
2020,2,26,5.43,1.43,0.0,44.94,6.47,-257.93,96.61,5.27,3.57
2020,2,27,5.6,1.58,0.0,49.38,7.02,-254.76,96.62,6.38,2.31
2020,2,28,5.53,2.0,0.0,45.69,7.14,-254.39,96.45,6.45,3.97
2020,2,29,4.84,2.11,0.03,45.12,7.63,-255.78,96.32,3.95,2.51
2020,3,1,4.55,2.23,2.91,43.81,8.18,-254.85,96.32,3.75,2.51
2020,3,2,5.18,2.61,0.16,49.75,9.03,-257.14,96.31,3.42,3.7
2020,3,3,5.75,2.26,0.0,41.44,7.2,-255.95,96.19,4.05,2.41
2020,3,4,5.66,1.57,0.0,41.94,7.02,-255.93,96.16,3.53,2.54
2020,3,5,5.82,1.45,0.02,35.62,6.04,-255.44,96.1,5.01,1.83
2020,3,6,5.47,2.81,0.82,35.88,6.04,-255.74,96.07,4.38,4.66
2020,3,7,5.9,1.76,0.08,42.19,6.77,-256.09,96.44,3.72,2.88
