YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,3.48,1.27,0.0,55.12,4.09,-262.02,89.72,4.37,3.38
2020,1,2,3.4,1.74,0.0,46.5,3.17,-258.98,90.08,3.71,2.8
2020,1,3,3.43,1.14,0.01,40.44,2.93,-260.59,90.3,4.77,2.64
2020,1,4,0.84,1.62,0.91,53.06,4.27,-262.31,89.93,3.72,2.4
2020,1,5,3.77,2.34,0.08,55.44,3.78,-261.24,89.54,4.56,4.46
2020,1,6,3.89,1.81,0.0,42.44,2.62,-260.18,90.27,3.3,2.88
2020,1,7,3.9,1.45,0.0,42.88,2.62,-259.27,90.63,4.91,2.98
2020,1,8,3.96,1.62,0.0,37.19,2.38,-256.03,90.16,4.38,2.69
2020,1,9,3.13,3.15,0.03,45.31,3.17,-256.31,89.71,8.27,7.34
2020,1,10,2.83,1.86,0.39,66.31,3.78,-263.91,89.72,5.89,3.31
2020,1,11,0.58,2.38,7.83,76.12,3.66,-267.9,89.72,5.34,4.99
2020,1,12,3.16,1.35,0.64,64.44,2.87,-262.24,90.15,4.41,2.35
2020,1,13,3.01,1.66,0.01,54.12,2.81,-261.46,89.98,4.96,2.91
2020,1,14,2.15,2.21,0.27,68.56,3.36,-265.75,90.52,3.92,4.12
2020,1,15,3.85,1.55,0.01,65.12,3.17,-260.1,90.95,3.2,1.34
2020,1,16,3.5,1.4,0.0,58.31,2.99,-261.84,90.95,4.65,2.32
2020,1,17,3.76,1.13,0.0,58.25,3.17,-261.08,90.85,5.8,3.02
2020,1,18,2.27,1.52,0.0,62.31,3.97,-261.24,90.02,5.56,3.05
2020,1,19,2.88,1.34,0.04,73.94,4.46,-258.38,90.03,5.95,2.98
2020,1,20,2.92,1.24,0.9,78.0,4.27,-264.64,90.37,3.66,3.38
2020,1,21,3.43,1.24,0.0,66.94,3.66,-262.1,90.26,6.67,3.28
2020,1,22,3.54,2.0,0.41,67.69,3.72,-257.7,90.22,5.46,3.28
2020,1,23,2.27,3.54,0.45,60.19,3.66,-258.92,89.73,6.3,6.02
2020,1,24,4.39,1.98,0.05,49.31,2.69,-257.7,89.99,5.86,2.82
2020,1,25,4.34,2.06,0.0,50.12,2.56,-258.45,90.26,5.12,2.05
2020,1,26,4.27,1.41,0.01,53.0,2.81,-259.78,90.38,4.04,3.27
2020,1,27,4.43,1.41,0.0,45.38,2.38,-258.78,90.54,6.16,3.07
2020,1,28,4.54,0.96,0.0,42.75,2.38,-259.72,90.62,4.13,2.61
2020,1,29,3.14,1.39,0.0,38.62,2.26,-257.8,90.2,5.65,3.41
2020,1,30,4.03,2.73,0.0,41.5,2.81,-259.1,90.15,6.23,5.73
2020,1,31,4.66,2.59,0.0,37.81,2.5,-254.74,90.0,6.16,4.39
2020,2,1,4.56,3.95,0.0,39.0,2.69,-251.77,89.6,7.11,7.62
2020,2,2,4.02,2.62,0.13,45.38,2.87,-263.6,89.98,6.44,5.81
2020,2,3,4.73,2.02,0.0,35.56,1.95,-258.58,90.35,4.73,3.73
2020,2,4,4.87,2.91,0.0,31.56,2.01,-251.22,89.83,3.66,3.27
2020,2,5,4.83,2.77,0.0,37.62,2.75,-255.71,90.22,6.38,5.34
2020,2,6,4.95,2.07,0.0,32.88,2.69,-254.56,90.38,5.85,4.15
2020,2,7,4.8,2.7,0.0,39.31,3.36,-254.17,90.18,5.17,2.66
2020,2,8,4.1,5.4,0.0,47.88,5.0,-256.02,89.75,3.62,6.04
2020,2,9,4.86,5.28,0.0,36.31,3.42,-257.48,89.67,10.0,9.87
2020,2,10,4.84,3.09,0.0,32.94,2.38,-260.93,89.63,8.0,6.63
2020,2,11,5.17,4.77,0.0,33.38,1.83,-258.89,89.47,6.8,7.2
2020,2,12,5.06,2.67,0.0,24.81,0.98,-258.36,90.23,3.09,3.12
2020,2,13,5.19,2.52,0.0,27.69,1.59,-253.93,90.64,7.1,4.57
2020,2,14,5.09,2.55,0.0,32.94,2.5,-253.67,90.41,6.76,4.02
2020,2,15,4.75,2.2,0.0,43.19,2.26,-261.41,91.2,5.8,3.14
2020,2,16,5.06,1.94,0.0,25.19,1.65,-253.93,90.72,7.8,3.91
2020,2,17,4.19,2.39,0.0,33.19,2.26,-257.42,90.53,7.48,5.92
2020,2,18,4.79,1.94,0.0,47.62,3.72,-258.52,90.96,6.14,3.62
2020,2,19,4.13,2.21,0.0,38.25,3.54,-259.13,90.55,6.96,3.93
2020,2,20,2.6,3.8,0.72,49.56,5.31,-260.17,89.72,11.81,10.1
2020,2,21,5.44,1.86,0.0,48.62,4.39,-257.77,90.0,4.59,3.23
2020,2,22,5.13,2.01,0.0,31.75,3.17,-254.26,90.12,6.13,3.26
2020,2,23,5.54,2.5,0.0,37.5,3.6,-256.66,90.41,7.3,3.73
2020,2,24,4.07,1.39,0.0,35.62,4.21,-255.88,90.29,4.09,2.83
2020,2,25,3.92,3.91,0.34,43.25,6.04,-258.6,89.68,11.95,10.29
2020,2,26,3.19,5.09,2.12,44.62,5.37,-256.61,89.36,10.18,9.79
2020,2,27,5.17,2.11,0.04,47.12,3.48,-259.2,90.36,4.63,3.9
2020,2,28,6.06,1.29,0.0,37.62,3.11,-255.67,90.21,5.2,3.21
2020,2,29,5.91,1.05,0.0,26.12,2.62,-256.13,89.76,8.67,4.6
2020,3,1,5.83,1.77,0.0,29.06,3.11,-253.62,89.64,6.05,3.71
2020,3,2,5.81,4.1,0.0,33.0,3.42,-258.09,89.58,7.88,8.04
2020,3,3,5.62,3.23,0.0,44.69,3.36,-261.96,90.09,5.83,5.95
2020,3,4,5.64,2.04,0.0,42.56,3.11,-260.25,90.39,4.6,4.47
2020,3,5,6.22,1.2,0.0,33.31,2.87,-257.52,90.36,4.76,2.65
2020,3,6,6.23,1.53,0.0,25.88,2.5,-256.49,90.17,5.77,2.73
