YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,2.34,1.1,0.0,78.19,3.85,-262.71,91.81,4.13,2.36
2020,1,2,2.38,1.05,0.0,63.38,3.05,-262.7,91.91,5.09,2.73
2020,1,3,2.07,0.61,0.0,56.75,3.17,-265.63,91.65,1.98,1.72
2020,1,4,1.16,0.98,0.0,94.5,4.76,-265.38,91.28,2.79,2.43
2020,1,5,2.38,3.12,0.0,79.62,3.54,-264.69,91.49,7.11,6.23
2020,1,6,2.51,3.48,0.0,73.31,2.5,-267.2,91.6,5.52,6.32
2020,1,7,1.89,1.04,0.0,73.81,3.17,-262.61,91.39,4.87,2.63
2020,1,8,2.48,1.89,0.0,87.94,3.97,-265.14,91.64,4.89,4.05
2020,1,9,2.45,0.54,0.0,61.56,3.23,-265.8,91.64,1.61,1.4
2020,1,10,1.78,0.8,0.0,69.81,3.54,-266.13,91.43,1.42,1.3
2020,1,11,2.45,1.18,0.01,91.75,4.27,-265.23,91.43,3.92,1.72
2020,1,12,2.48,1.29,0.0,88.44,4.03,-264.18,91.42,3.76,1.72
2020,1,13,2.38,0.77,0.0,81.38,3.91,-264.35,91.36,1.98,1.36
2020,1,14,2.24,0.94,0.0,88.38,4.39,-266.58,91.46,2.54,2.35
2020,1,15,2.16,0.52,0.0,80.56,4.03,-265.41,91.69,1.88,1.76
2020,1,16,2.2,0.81,0.0,84.31,4.09,-266.6,91.74,2.43,1.92
2020,1,17,2.12,0.91,0.01,83.25,4.33,-266.85,91.48,2.55,2.53
2020,1,18,1.02,1.15,5.93,98.0,4.82,-269.16,91.05,1.41,1.39
2020,1,19,2.39,2.73,1.32,89.81,4.03,-267.14,91.24,6.12,4.61
2020,1,20,1.56,3.55,0.23,86.25,3.72,-269.27,92.21,3.08,3.34
2020,1,21,2.46,1.27,0.0,85.19,4.15,-263.27,92.55,4.55,2.48
2020,1,22,2.63,0.72,0.0,81.5,4.7,-265.78,92.15,2.01,1.9
2020,1,23,2.7,0.7,0.0,82.69,4.7,-264.74,91.77,1.27,0.91
2020,1,24,1.99,1.11,0.8,88.62,4.94,-265.06,91.56,1.6,1.66
