YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,2.89,2.7,1.52,91.19,2.93,-266.81,91.15,5.47,4.25
2020,1,2,2.9,1.92,1.38,94.56,3.3,-269.29,91.23,4.88,4.51
2020,1,3,2.58,1.4,2.09,95.12,3.54,-267.63,90.8,3.57,3.24
2020,1,4,2.65,2.06,1.62,93.06,2.99,-269.6,90.6,8.24,6.05
2020,1,5,2.15,2.88,2.31,93.25,2.81,-270.91,91.13,6.31,4.57
2020,1,6,2.82,2.55,0.0,92.94,2.93,-268.17,91.62,4.79,4.37
2020,1,7,1.39,0.89,5.67,94.31,3.17,-267.18,91.38,3.9,2.85
2020,1,8,1.43,1.38,8.95,97.5,4.52,-267.71,89.6,9.39,6.5
2020,1,9,2.86,3.29,1.88,94.0,3.91,-268.55,90.19,14.42,11.02
2020,1,10,2.82,1.22,0.95,93.19,3.42,-267.65,90.77,4.1,3.27
2020,1,11,2.2,0.95,0.89,91.0,3.36,-263.64,90.64,3.75,2.24
2020,1,12,1.7,0.81,0.46,93.44,3.72,-268.24,90.27,2.45,1.46
2020,1,13,2.72,0.91,2.47,94.75,3.66,-268.35,90.35,3.98,3.41
2020,1,14,2.67,0.91,1.55,93.88,3.66,-268.36,91.05,4.55,2.98
2020,1,15,1.95,1.65,5.32,94.75,3.78,-267.59,90.8,8.59,6.18
2020,1,16,2.99,1.84,0.16,93.44,3.05,-268.2,91.16,5.98,4.54
2020,1,17,2.77,0.93,0.13,94.06,3.17,-266.5,91.0,1.46,1.1
2020,1,18,0.81,1.41,0.16,91.0,2.62,-268.78,90.49,2.21,1.51
2020,1,19,2.99,1.23,0.81,90.25,3.17,-267.22,90.52,4.52,3.03
2020,1,20,2.81,1.87,2.23,95.19,3.85,-269.55,90.46,5.2,4.41
2020,1,21,2.75,3.83,2.82,91.88,2.87,-265.63,91.12,9.17,7.52
2020,1,22,2.29,1.05,0.0,92.31,2.99,-263.1,91.71,3.69,2.7
2020,1,23,1.34,0.64,1.47,94.5,4.27,-266.23,91.27,3.05,1.24
2020,1,24,2.57,2.31,0.8,95.94,4.09,-266.35,91.43,5.04,4.57
2020,1,25,2.97,2.24,0.0,86.12,2.69,-266.87,91.81,7.06,5.45
2020,1,26,2.68,0.98,0.06,79.88,2.81,-265.08,91.64,3.55,2.85
2020,1,27,1.19,1.55,2.27,89.31,2.93,-269.24,91.5,5.87,4.28
2020,1,28,1.06,3.15,16.61,97.56,4.03,-267.49,90.76,3.16,2.66
2020,1,29,2.94,1.62,45.32,98.38,4.46,-271.88,89.8,5.24,3.61
2020,1,30,3.61,2.52,2.43,95.06,4.27,-268.79,89.34,3.58,3.67
2020,1,31,3.13,4.91,1.45,91.56,3.17,-270.85,89.74,3.46,2.51
2020,2,1,3.28,3.65,1.21,93.38,3.17,-270.48,90.6,4.11,3.13
2020,2,2,3.36,2.02,0.05,92.31,3.11,-267.92,91.22,7.08,5.41
2020,2,3,3.37,1.9,2.44,90.25,3.48,-263.48,90.91,7.16,5.41
2020,2,4,3.61,2.25,1.31,88.62,2.87,-267.15,91.1,8.8,6.49
2020,2,5,3.31,3.3,2.66,92.5,2.81,-263.74,90.43,8.83,7.2
