YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,6.98,1.24,0.48,67.5,13.98,-261.27,92.47,5.43,2.55
2020,1,2,5.86,1.48,2.61,74.19,15.38,-264.45,92.56,4.28,3.6
2020,1,3,5.86,1.5,2.53,74.44,15.01,-265.12,92.67,2.46,2.69
2020,1,4,6.08,1.51,0.4,75.06,14.65,-264.89,92.62,1.8,2.35
2020,1,5,6.38,1.17,2.0,75.0,14.53,-264.4,92.49,1.46,1.31
2020,1,6,5.89,1.23,0.35,72.0,14.4,-261.7,92.46,4.11,2.4
2020,1,7,5.62,1.6,1.66,79.69,15.69,-266.0,92.57,3.57,3.41
2020,1,8,5.46,1.64,1.75,78.38,15.32,-264.92,92.6,3.43,3.72
2020,1,9,5.98,1.3,0.63,77.06,15.56,-264.31,92.49,2.54,2.81
2020,1,10,6.62,1.2,0.12,71.38,14.47,-261.84,92.47,3.94,1.5
2020,1,11,7.01,1.23,0.09,64.25,13.12,-259.26,92.47,5.21,2.33
2020,1,12,5.81,1.01,0.33,70.44,14.16,-263.76,92.51,2.95,1.27
2020,1,13,4.31,0.95,8.59,82.81,15.75,-266.67,92.52,3.52,1.81
2020,1,14,5.78,1.31,4.23,77.94,15.26,-263.24,92.44,2.23,2.02
2020,1,15,5.74,1.57,1.34,76.25,15.2,-262.85,92.48,2.73,1.81
2020,1,16,6.06,1.31,2.0,73.75,14.89,-261.96,92.52,3.09,2.63
2020,1,17,7.16,1.3,0.06,62.0,12.94,-262.36,92.49,4.65,3.5
2020,1,18,7.37,1.27,0.01,49.19,10.5,-262.85,92.45,4.1,3.69
2020,1,19,7.39,1.33,0.0,49.25,10.56,-261.38,92.47,4.28,2.63
2020,1,20,7.29,1.25,0.0,50.56,11.29,-260.69,92.45,4.16,3.02
2020,1,21,7.45,1.43,0.0,50.44,11.35,-259.39,92.36,5.07,4.39
2020,1,22,7.02,1.33,0.0,51.88,11.84,-262.16,92.34,4.34,3.85
2020,1,23,5.88,1.19,0.02,56.25,12.88,-261.01,92.41,4.56,2.86
2020,1,24,4.45,1.58,0.26,67.88,14.95,-264.62,92.52,2.96,3.04
2020,1,25,4.49,1.4,10.09,82.25,16.6,-268.27,92.58,3.54,3.44
2020,1,26,3.73,1.68,6.39,88.94,16.54,-269.28,92.63,5.84,4.95
2020,1,27,2.93,1.82,3.95,79.31,15.69,-264.27,92.61,3.7,3.71
2020,1,28,4.15,1.85,3.02,77.31,15.01,-264.33,92.58,4.05,4.06
2020,1,29,5.22,1.28,5.44,81.69,15.01,-268.05,92.63,3.2,1.95
2020,1,30,4.91,1.63,1.05,76.12,15.14,-263.27,92.62,2.26,2.55
2020,1,31,5.67,1.57,2.59,76.75,15.44,-265.28,92.53,2.09,1.95
2020,2,1,5.49,1.34,8.17,84.0,16.17,-264.67,92.54,2.4,1.64
2020,2,2,4.47,1.14,0.77,72.56,14.83,-261.66,92.61,4.91,3.32
2020,2,3,6.57,1.67,1.13,72.88,15.2,-263.1,92.6,1.88,1.87
2020,2,4,6.71,1.38,1.99,79.25,15.08,-266.44,92.61,1.75,1.43
2020,2,5,6.81,1.39,0.69,74.31,14.34,-266.6,92.6,3.3,2.18
2020,2,6,7.03,1.68,0.2,66.94,13.31,-261.13,92.67,1.5,2.03
2020,2,7,7.45,1.77,0.05,64.19,13.0,-259.44,92.65,2.37,2.48
2020,2,8,7.43,2.02,0.11,64.62,13.18,-260.47,92.73,2.45,2.69
2020,2,9,7.58,1.68,0.26,62.94,13.06,-260.81,92.68,4.26,3.64
2020,2,10,7.64,1.56,0.03,56.88,12.33,-258.65,92.54,3.97,3.05
2020,2,11,7.64,1.42,0.01,52.69,12.02,-257.7,92.4,3.76,1.46
2020,2,12,6.78,1.73,0.07,57.38,13.12,-258.99,92.4,4.0,3.11
2020,2,13,5.71,1.86,5.71,69.12,14.89,-264.03,92.5,4.59,4.16
2020,2,14,5.83,2.05,1.94,65.19,14.28,-262.74,92.53,3.81,3.53
2020,2,15,4.86,2.14,8.83,70.69,14.77,-263.62,92.56,3.98,4.08
2020,2,16,5.22,2.04,1.39,67.81,14.28,-261.9,92.54,1.92,2.67
2020,2,17,6.78,1.92,0.35,66.31,14.89,-260.7,92.46,1.56,2.42
2020,2,18,6.47,2.11,0.9,67.31,15.32,-261.32,92.51,2.06,3.14
2020,2,19,6.58,1.84,1.16,67.06,15.26,-262.46,92.51,1.81,2.38
2020,2,20,7.34,1.9,0.07,59.5,14.16,-259.98,92.37,3.1,2.59
2020,2,21,6.96,2.26,0.07,58.75,13.73,-259.7,92.38,2.15,2.3
2020,2,22,5.94,2.23,0.38,63.31,14.16,-261.71,92.47,1.5,2.73
2020,2,23,5.87,2.2,0.82,63.0,14.4,-261.99,92.42,2.94,3.02
2020,2,24,7.44,1.9,0.05,60.75,13.61,-259.8,92.41,2.32,2.85
2020,2,25,6.55,1.6,0.02,52.19,12.76,-259.49,92.33,2.65,2.43
2020,2,26,4.84,1.83,1.0,64.94,15.08,-265.77,92.42,2.45,2.84
2020,2,27,5.62,1.94,0.35,68.94,15.5,-263.55,92.49,2.75,3.05
2020,2,28,6.96,2.09,0.03,60.0,13.79,-259.65,92.47,1.85,2.76
2020,2,29,7.38,1.75,0.08,58.5,13.85,-259.56,92.36,3.27,2.07
2020,3,1,7.32,1.62,0.11,56.12,13.98,-259.95,92.28,3.98,2.07
2020,3,2,5.63,2.24,2.26,63.75,15.38,-261.88,92.43,2.88,3.57
2020,3,3,6.11,1.9,0.41,67.0,15.5,-264.38,92.52,1.62,2.53
2020,3,4,6.24,2.08,1.87,67.88,15.2,-263.31,92.6,2.35,2.06
2020,3,5,5.45,1.91,0.22,67.94,14.89,-263.83,92.54,3.19,2.81
2020,3,6,7.27,1.84,0.45,56.69,13.43,-258.95,92.43,4.38,3.45
2020,3,7,6.68,2.11,0.24,63.94,14.77,-262.74,92.41,1.99,2.58
2020,3,8,5.97,2.23,1.82,74.06,16.42,-265.87,92.38,1.27,2.6
2020,3,9,5.67,2.15,1.17,70.69,15.93,-264.27,92.3,1.62,2.75
2020,3,10,4.87,2.12,0.12,61.62,14.71,-262.01,92.29,1.12,2.27
2020,3,11,5.61,2.55,1.31,66.38,15.69,-262.06,92.29,0.88,2.39
2020,3,12,6.04,2.52,0.23,63.38,14.77,-261.42,92.34,1.41,2.91
2020,3,13,6.79,2.34,0.53,62.62,15.01,-261.66,92.4,1.34,2.6
2020,3,14,6.47,2.36,0.45,63.81,15.01,-261.67,92.46,1.46,2.95
2020,3,15,6.63,2.09,0.05,56.62,14.04,-260.24,92.3,2.09,2.07
2020,3,16,6.61,2.21,0.16,60.0,15.01,-261.32,92.25,3.0,2.78
2020,3,17,6.2,2.16,2.07,61.44,14.65,-261.68,92.34,3.02,3.32
2020,3,18,6.14,2.6,4.46,64.75,14.95,-261.2,92.43,2.05,3.68
2020,3,19,5.76,2.5,3.2,66.38,14.89,-262.1,92.5,1.17,2.51
2020,3,20,6.33,2.62,2.23,63.88,14.71,-262.87,92.49,1.82,2.88
2020,3,21,7.14,3.05,0.28,56.81,13.0,-259.52,92.44,1.54,3.47
2020,3,22,7.07,2.81,0.16,54.75,12.63,-259.38,92.47,1.84,2.56
2020,3,23,6.52,2.73,0.15,52.75,12.51,-260.39,92.45,1.23,2.48
2020,3,24,6.44,3.0,1.27,54.75,13.18,-259.31,92.31,1.84,2.89
2020,3,25,6.35,2.73,5.66,67.62,15.01,-263.76,92.19,2.92,3.87
2020,3,26,5.12,2.07,8.28,74.94,16.3,-264.97,92.2,3.28,2.81
2020,3,27,5.18,2.04,6.82,86.44,17.03,-268.66,92.49,2.01,2.5
2020,3,28,4.89,1.48,1.68,70.5,14.83,-263.23,92.54,4.28,3.27
2020,3,29,5.93,1.77,1.99,71.62,14.83,-263.1,92.47,3.39,1.68
2020,3,30,6.67,2.19,0.29,63.56,14.4,-261.85,92.38,2.0,1.53
2020,3,31,6.49,2.43,0.8,75.06,16.11,-264.63,92.48,1.75,2.02
2020,4,1,6.35,2.42,0.74,74.19,16.11,-264.66,92.51,3.32,4.08
2020,4,2,6.75,2.12,0.43,69.94,15.56,-262.49,92.42,1.84,2.77
2020,4,3,6.79,2.7,0.79,65.5,15.2,-260.79,92.39,2.35,3.1
2020,4,4,6.37,2.87,0.25,64.44,14.77,-261.23,92.46,2.02,3.38
2020,4,5,6.38,2.64,0.69,63.19,14.65,-260.93,92.56,1.22,1.98
2020,4,6,6.1,2.41,8.81,70.38,15.56,-262.85,92.54,1.49,2.18
2020,4,7,6.65,2.34,1.1,66.31,15.01,-262.2,92.52,1.25,2.33
2020,4,8,7.09,2.76,0.62,63.62,14.47,-261.54,92.51,1.7,2.59
2020,4,9,6.05,3.12,0.69,61.0,13.79,-260.09,92.47,1.76,2.26
2020,4,10,6.06,3.49,0.23,59.19,13.73,-258.86,92.43,3.7,3.12
2020,4,11,6.67,3.45,0.06,59.56,13.85,-258.43,92.38,3.2,3.27
2020,4,12,6.46,3.38,11.69,65.44,15.26,-259.62,92.34,3.84,3.27
2020,4,13,5.57,2.71,1.55,76.94,16.48,-264.99,92.41,4.12,3.8
2020,4,14,5.67,2.41,0.62,65.94,15.2,-260.73,92.41,3.35,2.49
2020,4,15,5.52,2.66,0.63,66.19,15.01,-261.36,92.48,2.46,2.7
2020,4,16,6.34,2.61,4.61,69.56,14.83,-264.62,92.45,3.3,3.66
2020,4,17,5.57,2.6,8.21,69.81,14.95,-261.49,92.3,3.07,3.12
2020,4,18,4.58,2.73,10.13,75.88,15.75,-262.92,92.37,2.53,3.41
2020,4,19,4.95,2.18,4.67,74.81,15.26,-261.99,92.46,3.49,2.55
2020,4,20,4.26,1.45,4.49,76.5,15.14,-264.89,92.56,3.96,2.93
2020,4,21,3.87,1.19,13.19,73.62,14.89,-262.32,92.5,3.1,1.94
2020,4,22,4.63,1.7,6.2,78.81,14.95,-265.13,92.57,2.24,2.27
2020,4,23,4.01,1.28,10.73,76.94,15.26,-263.4,92.49,3.33,1.69
2020,4,24,4.18,2.01,12.0,78.5,15.56,-264.21,92.48,2.45,2.39
2020,4,25,5.32,2.45,1.59,82.25,15.14,-266.71,92.56,1.71,1.96
2020,4,26,5.69,2.34,0.51,68.5,14.1,-259.99,92.51,4.35,3.48
2020,4,27,6.5,3.16,1.4,69.06,14.1,-260.98,92.62,2.84,3.29
2020,4,28,6.46,2.82,20.11,73.38,14.4,-262.42,92.68,5.11,5.01
2020,4,29,6.34,2.86,7.31,78.44,15.32,-263.13,92.66,3.48,3.52
2020,4,30,6.17,3.3,1.09,71.75,14.53,-262.97,92.66,3.66,4.27
2020,5,1,6.63,3.16,1.1,75.81,15.26,-264.08,92.65,4.09,3.77
2020,5,2,6.1,3.35,0.62,66.94,13.06,-261.0,92.62,5.28,4.77
2020,5,3,5.75,2.73,2.76,64.06,12.51,-259.6,92.54,2.88,3.09
2020,5,4,6.03,2.62,1.74,69.69,14.4,-259.66,92.57,3.35,2.48
2020,5,5,6.14,2.97,2.34,72.44,15.26,-261.33,92.59,3.27,3.02
2020,5,6,6.69,3.66,0.31,66.56,13.61,-261.27,92.56,3.78,3.52
2020,5,7,6.37,3.91,0.09,63.88,13.43,-260.54,92.5,4.09,3.69
2020,5,8,6.66,3.41,0.03,61.56,13.12,-259.78,92.49,4.38,4.09
2020,5,9,6.28,3.48,0.17,64.25,13.79,-261.66,92.49,4.25,4.01
2020,5,10,6.35,3.49,3.42,75.81,14.59,-266.13,92.55,5.64,4.65
2020,5,11,6.54,3.47,4.42,69.31,14.28,-261.62,92.59,4.17,3.78
2020,5,12,6.78,2.88,2.29,67.38,14.1,-260.99,92.59,3.52,3.43
2020,5,13,6.93,2.84,0.24,69.62,14.4,-262.61,92.61,4.27,4.16
2020,5,14,7.02,2.38,0.54,65.0,13.85,-258.66,92.58,2.4,2.72
2020,5,15,6.17,2.97,2.23,72.56,15.32,-262.02,92.57,3.34,3.66
2020,5,16,5.22,3.13,0.31,64.5,13.06,-260.09,92.58,2.67,3.4
2020,5,17,5.61,3.0,0.01,59.5,11.54,-259.56,92.72,3.59,3.8
2020,5,18,6.74,2.56,0.05,60.06,11.41,-258.56,92.71,3.26,4.22
2020,5,19,6.94,2.6,0.1,55.19,11.41,-256.53,92.7,4.0,3.6
2020,5,20,6.36,3.52,0.06,63.5,13.43,-260.45,92.69,4.04,4.0
2020,5,21,5.95,3.77,0.08,67.69,14.04,-261.7,92.7,3.65,3.17
2020,5,22,5.45,3.65,0.1,63.38,12.45,-260.71,92.76,4.79,4.91
2020,5,23,6.12,2.89,0.05,61.75,12.51,-259.96,92.77,3.9,3.44
2020,5,24,6.67,2.61,0.07,61.88,12.76,-259.44,92.69,3.61,2.83
2020,5,25,6.67,3.25,0.08,61.25,13.24,-258.5,92.6,4.02,4.23
