YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,2.0,3.3,1.94,79.25,6.96,-269.67,96.37,3.02,3.35
2020,1,2,1.21,3.01,7.31,82.12,7.02,-269.35,96.23,2.95,2.16
2020,1,3,1.38,5.52,1.41,82.44,6.71,-269.54,96.3,4.79,5.1
2020,1,4,1.4,5.45,12.19,87.62,6.77,-268.89,96.05,6.36,6.31
2020,1,5,1.6,4.81,11.89,87.75,7.87,-270.94,96.11,2.9,2.77
2020,1,6,3.17,4.99,1.75,71.06,6.41,-267.32,96.19,4.97,5.16
2020,1,7,1.71,6.32,4.42,74.44,6.35,-267.76,96.01,4.21,4.66
2020,1,8,0.88,5.58,27.7,90.56,7.32,-272.06,95.72,6.76,5.89
2020,1,9,0.99,2.81,14.83,89.31,6.96,-271.02,95.88,2.41,2.53
2020,1,10,2.5,2.3,0.59,75.19,5.8,-268.85,96.24,4.71,4.48
2020,1,11,3.15,2.11,0.01,75.25,5.98,-268.22,96.96,2.86,2.45
2020,1,12,1.92,3.1,1.11,85.81,7.2,-269.76,96.97,2.54,2.48
2020,1,13,2.67,1.93,0.88,80.5,7.02,-269.74,96.89,3.42,2.38
2020,1,14,3.1,1.38,0.03,70.56,6.59,-268.85,97.09,2.42,2.33
2020,1,15,2.53,1.79,0.19,60.38,5.74,-267.85,96.84,5.79,4.02
2020,1,16,1.62,3.95,2.48,66.81,6.84,-266.55,96.22,10.78,8.83
2020,1,17,1.96,2.06,3.06,67.94,5.92,-269.29,96.01,8.85,7.48
2020,1,18,1.58,1.7,3.73,79.75,6.47,-270.67,96.2,3.44,3.33
2020,1,19,1.2,4.54,19.7,89.19,7.51,-269.65,96.3,7.2,6.56
2020,1,20,1.68,3.35,9.6,86.44,7.08,-270.38,96.74,4.95,4.4
2020,1,21,2.18,4.05,4.78,84.94,5.86,-269.85,96.52,2.47,2.8
2020,1,22,2.95,2.77,0.03,65.94,4.52,-266.88,96.69,3.75,3.84
2020,1,23,2.32,4.35,4.16,76.5,6.16,-268.06,96.56,8.13,6.47
2020,1,24,2.85,5.98,10.9,73.62,5.0,-266.6,96.52,6.02,5.76
2020,1,25,4.03,1.93,0.0,56.0,3.66,-266.12,97.41,5.45,4.01
2020,1,26,4.04,1.3,0.0,68.94,5.13,-267.92,97.48,2.08,2.31
2020,1,27,3.3,0.88,0.0,70.0,5.55,-268.4,97.07,2.08,1.54
2020,1,28,3.44,2.15,1.56,72.94,6.23,-267.88,96.45,4.88,3.51
2020,1,29,2.53,3.16,4.93,86.06,7.39,-269.47,96.62,2.77,2.13
2020,1,30,1.87,5.31,5.03,86.62,7.69,-268.67,96.63,4.27,3.77
2020,1,31,3.16,6.92,5.61,74.44,6.29,-268.27,96.23,7.25,7.9
2020,2,1,2.36,2.59,0.94,74.31,5.8,-267.38,96.56,6.61,5.7
2020,2,2,3.84,1.27,0.0,64.44,5.62,-268.16,96.91,2.94,3.04
2020,2,3,3.6,1.14,0.0,72.31,6.23,-267.6,96.81,2.14,2.2
2020,2,4,2.66,2.76,0.58,83.44,7.14,-266.96,96.48,5.9,4.43
2020,2,5,4.09,3.51,0.14,79.88,7.32,-264.78,96.17,4.29,4.13
2020,2,6,4.27,4.96,0.4,71.06,7.08,-264.77,96.1,5.57,4.98
2020,2,7,1.33,7.08,16.7,85.44,7.14,-270.42,96.04,5.23,5.7
2020,2,8,2.07,7.98,14.45,79.12,5.74,-268.72,96.19,7.7,7.25
2020,2,9,2.61,3.66,0.44,73.69,3.97,-268.71,97.0,2.21,1.66
2020,2,10,2.36,3.45,0.28,73.94,3.85,-267.79,97.08,5.22,5.16
2020,2,11,2.4,2.3,2.25,74.38,4.88,-265.05,96.86,6.22,4.34
2020,2,12,1.22,3.69,4.19,91.88,8.12,-269.81,96.78,2.87,3.15
2020,2,13,2.79,2.53,0.15,77.0,7.14,-267.96,96.89,6.16,5.62
2020,2,14,2.97,2.6,0.14,75.38,6.84,-266.89,96.95,5.87,5.15
2020,2,15,3.98,3.08,0.03,65.19,6.47,-266.69,96.25,8.09,6.19
2020,2,16,3.63,2.19,0.52,74.75,7.14,-267.72,96.12,5.24,3.55
2020,2,17,4.07,2.23,0.27,78.75,6.71,-268.23,96.44,3.46,3.55
2020,2,18,2.59,2.48,0.18,66.44,6.35,-264.66,96.29,7.92,6.0
2020,2,19,2.89,2.51,7.82,82.94,6.9,-271.46,96.07,8.38,6.56
2020,2,20,3.47,3.41,0.75,84.88,7.57,-269.3,96.41,5.56,5.27
2020,2,21,3.47,5.39,3.38,79.75,7.2,-266.86,96.07,2.98,3.68
2020,2,22,2.72,5.31,6.62,84.62,7.57,-269.81,96.23,4.2,4.75
2020,2,23,2.37,2.73,1.23,80.62,7.08,-268.92,96.46,3.43,1.38
2020,2,24,3.91,2.39,0.09,75.62,6.96,-265.34,96.02,4.3,3.2
2020,2,25,3.43,1.95,1.58,87.69,7.93,-269.85,96.07,1.49,2.02
2020,2,26,4.63,2.87,0.1,86.56,7.87,-267.46,96.63,2.52,3.11
2020,2,27,4.77,1.68,0.0,73.06,7.02,-265.13,96.72,2.9,3.02
2020,2,28,4.98,1.13,0.0,61.69,6.59,-268.1,96.32,2.62,2.2
2020,2,29,3.03,5.66,11.38,80.88,7.32,-269.46,95.84,10.38,8.78
2020,3,1,3.65,3.75,8.45,81.69,6.65,-269.41,96.23,7.01,5.91
2020,3,2,4.27,2.87,0.55,81.31,7.26,-268.51,96.73,5.17,4.53
2020,3,3,5.68,1.83,0.0,73.19,6.77,-264.64,96.82,3.91,2.35
2020,3,4,5.66,2.23,0.0,56.75,6.96,-263.66,96.31,10.24,6.56
2020,3,5,4.84,2.51,0.0,55.0,7.08,-264.35,95.91,9.1,5.35
2020,3,6,1.98,4.12,15.77,78.81,7.93,-265.02,95.67,10.03,9.05
2020,3,7,5.21,2.07,0.94,82.62,8.12,-267.99,96.52,4.89,3.69
2020,3,8,5.87,1.9,0.0,66.31,7.32,-264.78,96.76,5.34,3.43
2020,3,9,4.92,2.59,0.0,57.5,7.75,-263.46,96.15,8.67,5.27
2020,3,10,4.46,2.37,0.0,79.81,8.36,-268.38,96.28,6.88,3.54
2020,3,11,5.82,1.67,0.0,73.62,8.73,-265.17,96.13,6.02,3.62
2020,3,12,3.18,5.76,0.96,60.31,8.97,-264.36,95.46,16.24,14.42
2020,3,13,2.63,6.54,10.16,72.75,8.36,-267.33,94.71,25.09,20.94
2020,3,14,3.47,1.19,0.83,77.56,8.24,-269.35,95.71,2.35,2.52
2020,3,15,4.84,1.95,0.01,79.06,8.48,-266.99,96.34,2.32,2.83
2020,3,16,5.59,2.82,0.0,78.44,8.42,-266.6,96.16,3.05,3.26
2020,3,17,2.65,4.55,7.42,87.5,7.81,-267.93,95.76,5.1,5.28
2020,3,18,2.8,6.03,7.93,80.62,6.65,-270.68,95.78,5.88,5.8
2020,3,19,3.11,6.44,6.83,77.62,6.29,-269.07,95.9,4.91,6.01
2020,3,20,2.75,3.38,10.06,80.62,5.68,-269.67,95.89,6.91,6.23
2020,3,21,4.81,3.05,1.68,77.75,5.92,-267.12,95.91,5.01,4.91
2020,3,22,6.09,2.02,0.01,76.44,6.59,-268.45,96.42,3.08,3.31
2020,3,23,5.43,1.52,0.0,64.19,6.59,-263.64,96.06,4.91,3.04
2020,3,24,5.49,3.12,0.02,76.0,8.48,-266.17,95.64,4.09,3.68
2020,3,25,5.8,2.12,0.06,80.38,7.69,-266.26,96.01,3.42,2.84
2020,3,26,5.68,1.45,0.01,66.5,7.45,-265.23,95.76,6.45,4.02
2020,3,27,4.74,2.14,0.03,67.75,8.3,-266.51,95.56,7.02,4.62
2020,3,28,4.83,3.8,1.8,82.75,8.42,-268.51,96.02,6.52,6.25
2020,3,29,5.78,6.31,0.8,82.38,8.06,-269.09,95.98,2.36,3.76
