YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,0.32,3.62,0.36,95.31,3.6,-270.93,101.38,2.21,1.53
2020,1,2,0.78,3.66,0.03,85.31,2.93,-267.75,101.09,2.87,2.05
2020,1,3,0.53,4.2,0.19,89.06,3.42,-267.7,100.33,4.95,2.97
2020,1,4,0.5,5.85,4.41,94.38,4.15,-270.93,99.71,5.0,3.64
2020,1,5,1.09,3.7,0.04,89.69,3.11,-267.09,101.1,7.2,5.66
2020,1,6,0.35,3.41,0.54,94.06,3.36,-269.02,101.25,3.02,2.91
2020,1,7,0.59,1.96,0.07,89.88,3.11,-268.21,100.9,3.47,2.48
2020,1,8,0.43,3.97,4.31,93.88,4.03,-267.66,100.86,4.7,3.55
2020,1,9,0.44,3.42,4.21,95.69,4.64,-269.95,100.37,4.64,3.74
2020,1,10,0.36,4.77,1.37,89.5,5.0,-270.35,99.9,2.84,2.1
2020,1,11,0.36,3.52,1.6,91.62,4.58,-269.56,100.93,5.16,5.17
2020,1,12,0.92,4.69,0.05,88.88,3.78,-268.84,100.7,4.39,3.73
2020,1,13,0.56,3.95,0.75,93.56,4.39,-269.31,100.45,4.1,4.35
2020,1,14,0.85,4.58,0.01,86.19,3.23,-267.7,100.29,3.73,4.48
2020,1,15,0.83,5.33,0.0,73.88,3.17,-266.14,100.42,2.34,2.45
2020,1,16,1.2,2.92,0.04,89.62,4.03,-264.57,101.19,5.39,4.66
2020,1,17,1.33,3.93,0.08,92.81,3.72,-267.31,101.04,6.32,4.45
2020,1,18,0.51,2.98,0.42,92.88,4.09,-268.12,100.63,5.8,4.92
2020,1,19,0.99,1.74,0.24,93.5,3.97,-268.25,101.51,3.57,2.41
2020,1,20,0.67,2.94,0.18,91.44,3.6,-268.68,102.67,5.79,4.5
2020,1,21,1.33,5.38,0.13,86.62,3.36,-266.51,102.03,3.88,3.09
2020,1,22,0.73,5.48,0.76,93.06,3.85,-269.26,101.02,5.25,4.21
2020,1,23,0.5,3.55,0.18,92.81,3.54,-267.43,101.46,2.64,1.55
2020,1,24,1.22,4.02,0.01,87.38,2.93,-267.34,100.63,1.89,3.06
2020,1,25,0.64,3.66,0.39,91.19,3.23,-270.48,100.46,2.96,2.91
2020,1,26,0.47,2.33,0.09,89.12,3.05,-270.11,100.39,1.48,1.63
2020,1,27,0.79,2.76,0.21,95.19,3.72,-268.35,99.8,4.2,2.38
2020,1,28,0.49,5.04,1.79,91.5,3.66,-269.14,98.43,6.22,4.07
2020,1,29,0.54,5.76,5.49,93.62,3.91,-269.35,98.3,1.66,2.52
2020,1,30,0.53,5.41,4.51,94.81,4.15,-270.42,99.1,2.85,1.9
2020,1,31,0.84,6.01,4.98,92.0,5.13,-265.54,98.51,8.39,7.3
2020,2,1,0.54,4.81,5.24,91.25,6.59,-266.45,98.72,5.41,5.6
2020,2,2,1.01,5.93,1.86,89.69,5.43,-268.22,98.7,9.4,7.48
2020,2,3,1.31,3.71,1.87,90.25,4.7,-270.25,98.92,2.47,3.81
2020,2,4,1.12,3.85,2.72,93.44,4.82,-269.39,98.46,7.23,5.49
2020,2,5,1.94,4.48,0.44,81.94,2.99,-267.85,100.44,3.24,5.16
2020,2,6,0.73,4.84,1.48,93.81,3.91,-268.2,100.63,3.34,3.4
2020,2,7,2.07,2.2,0.64,72.69,2.62,-266.25,101.21,4.64,3.35
2020,2,8,1.98,2.52,0.0,71.25,2.44,-264.4,101.14,5.09,2.77
2020,2,9,2.04,5.32,0.0,82.56,3.42,-264.53,100.18,9.96,8.38
2020,2,10,0.73,9.05,9.0,87.06,4.94,-265.81,97.68,8.69,7.16
2020,2,11,0.98,7.51,5.28,87.62,4.09,-268.97,97.74,9.13,7.85
2020,2,12,1.19,7.36,0.74,80.25,3.72,-269.42,98.89,2.12,2.2
2020,2,13,1.78,4.85,0.07,80.81,3.48,-266.77,99.67,6.56,6.33
2020,2,14,0.51,2.45,2.18,90.75,3.91,-266.96,99.75,5.77,4.37
2020,2,15,1.4,3.04,0.09,87.69,3.54,-264.95,100.98,8.32,5.0
2020,2,16,1.31,7.2,0.0,76.31,4.33,-264.02,100.02,6.59,6.41
2020,2,17,1.25,5.65,0.04,70.81,4.82,-267.2,99.71,8.75,9.02
2020,2,18,1.43,5.11,1.26,85.69,4.64,-266.02,100.09,3.94,4.89
2020,2,19,1.94,4.42,1.89,84.75,4.21,-266.26,99.84,3.31,3.7
2020,2,20,1.41,3.38,0.41,87.38,3.97,-267.0,100.31,5.45,4.67
2020,2,21,1.38,5.34,2.75,84.81,3.85,-266.19,100.05,7.8,7.15
2020,2,22,1.46,6.41,0.17,77.31,4.03,-263.25,100.2,8.66,6.38
2020,2,23,1.22,5.8,11.39,88.5,5.19,-268.96,99.02,8.32,6.91
2020,2,24,1.17,5.83,2.85,86.12,4.21,-268.22,99.52,8.31,7.35
2020,2,25,1.65,4.86,5.12,92.56,5.74,-263.42,98.24,4.63,3.95
2020,2,26,1.4,3.71,2.19,91.69,4.64,-267.76,97.78,2.83,2.52
2020,2,27,1.71,3.8,1.03,87.88,3.66,-267.09,98.47,4.14,5.02
2020,2,28,1.98,2.95,0.48,86.75,3.54,-266.63,99.25,8.6,6.47
2020,2,29,1.71,5.28,0.49,80.81,3.66,-265.79,99.04,6.48,5.55
2020,3,1,2.39,4.98,1.27,80.19,4.88,-265.74,98.51,5.09,3.25
2020,3,2,0.84,2.29,4.54,95.38,4.82,-268.42,98.11,5.79,2.99
2020,3,3,1.12,3.6,2.28,93.31,5.19,-261.93,98.23,4.88,4.82
2020,3,4,2.28,2.96,0.22,83.19,4.15,-265.67,99.3,3.84,4.26
2020,3,5,2.81,2.44,0.01,79.81,3.6,-262.69,99.22,6.14,3.4
2020,3,6,1.02,4.11,1.94,87.44,4.15,-265.89,98.39,2.66,3.56
2020,3,7,0.77,3.8,1.08,90.56,4.52,-268.35,99.12,3.43,2.32
2020,3,8,2.39,2.87,0.67,81.31,4.03,-265.68,100.2,5.87,4.84
2020,3,9,2.34,2.61,0.02,78.5,3.91,-260.5,99.75,5.08,4.09
2020,3,10,2.77,3.83,1.0,79.75,4.64,-264.38,99.41,6.7,4.95
2020,3,11,3.16,5.91,4.39,79.38,5.13,-264.33,98.98,5.85,7.31
2020,3,12,1.8,6.09,2.16,81.25,5.68,-259.77,99.1,9.87,9.13
2020,3,13,2.78,5.88,0.9,76.44,4.15,-265.52,99.34,5.65,5.43
2020,3,14,3.61,4.07,0.4,70.19,2.75,-264.23,100.54,8.04,6.99
2020,3,15,4.31,3.81,0.0,57.25,2.08,-261.24,101.16,6.2,4.77
2020,3,16,3.78,4.66,0.0,60.19,3.11,-259.46,100.65,4.91,6.33
2020,3,17,4.06,1.7,0.1,78.31,5.31,-258.45,101.04,7.69,4.45
2020,3,18,3.72,3.04,0.01,77.25,5.68,-261.82,101.04,5.59,4.3
2020,3,19,1.8,2.88,0.18,85.38,6.23,-263.38,100.79,4.73,4.89
2020,3,20,2.32,1.51,1.89,86.69,4.88,-268.92,100.82,3.45,1.87
2020,3,21,3.83,4.38,0.45,72.81,3.11,-264.85,101.08,4.34,5.22
2020,3,22,4.07,4.52,0.35,67.88,2.26,-267.27,101.71,4.47,4.67
2020,3,23,4.76,3.23,0.0,64.81,2.01,-265.13,102.25,2.87,4.11
2020,3,24,4.98,2.43,0.0,63.25,2.08,-263.24,102.27,2.22,2.55
2020,3,25,4.82,3.57,0.0,61.81,2.26,-262.17,101.99,3.36,4.62
2020,3,26,3.96,3.59,0.0,67.38,2.99,-259.34,101.48,4.55,2.53
