YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,1.88,1.12,0.0,64.0,2.81,-267.48,92.05,2.02,1.56
2020,1,2,1.82,1.32,0.01,80.88,3.17,-266.13,91.87,2.98,1.86
2020,1,3,0.99,1.33,0.86,73.5,3.6,-268.66,91.75,3.84,1.73
2020,1,4,1.4,1.09,2.22,97.94,4.21,-268.74,92.14,3.6,1.39
2020,1,5,1.95,1.1,0.08,82.0,3.11,-268.1,92.3,2.86,2.09
2020,1,6,1.98,1.23,0.0,60.19,2.87,-265.6,91.88,2.06,1.42
2020,1,7,1.87,1.15,0.18,85.0,3.78,-268.6,91.92,4.59,2.67
2020,1,8,1.89,1.2,0.0,47.5,2.44,-265.71,91.99,1.36,1.11
2020,1,9,1.88,1.26,0.0,51.62,2.81,-265.92,91.35,2.76,1.98
2020,1,10,1.81,1.45,0.47,80.88,3.91,-266.99,91.4,4.13,3.06
2020,1,11,2.07,0.92,0.23,86.69,3.91,-268.51,92.06,2.29,2.07
2020,1,12,2.15,0.98,0.0,51.06,2.5,-266.3,91.78,1.65,1.48
2020,1,13,1.61,0.96,0.0,65.0,2.87,-267.39,91.27,4.35,3.16
2020,1,14,2.06,1.62,0.0,72.62,3.36,-264.73,90.97,2.49,1.72
2020,1,15,1.95,1.47,0.01,73.81,3.6,-264.98,91.31,4.02,2.69
2020,1,16,2.19,1.27,0.01,74.88,3.78,-265.49,91.75,2.08,1.49
2020,1,17,1.96,1.28,5.2,83.31,3.85,-263.45,91.34,2.95,2.17
2020,1,18,1.75,1.33,4.34,90.06,3.66,-268.64,91.68,5.09,3.38
2020,1,19,1.69,1.69,0.44,94.75,3.05,-268.85,92.16,3.53,2.55
2020,1,20,2.33,1.77,0.02,87.5,2.38,-264.73,92.75,1.32,1.26
2020,1,21,2.23,1.54,0.0,84.19,2.75,-263.35,92.57,3.35,2.07
2020,1,22,2.34,1.1,0.0,71.31,2.93,-265.8,92.16,3.01,2.09
2020,1,23,2.31,1.66,0.01,75.5,2.87,-265.17,91.68,2.45,1.75
2020,1,24,2.09,1.07,0.01,73.38,3.48,-265.2,91.46,3.39,2.27
2020,1,25,2.01,0.96,0.0,75.69,3.6,-265.88,91.2,2.97,2.25
2020,1,26,2.17,1.01,0.49,83.44,4.09,-265.45,91.01,2.85,2.05
2020,1,27,2.06,1.15,1.13,86.69,4.27,-266.98,90.58,5.9,2.62
2020,1,28,0.59,4.43,14.37,89.12,4.21,-268.35,89.84,8.09,7.45
2020,1,29,1.05,4.01,12.64,94.94,4.09,-270.53,90.54,7.44,7.24
2020,1,30,2.5,1.76,2.38,81.62,3.78,-264.55,90.82,4.75,2.34
2020,1,31,2.44,2.18,1.6,89.12,5.62,-268.77,90.93,4.54,2.63
2020,2,1,1.37,2.59,2.62,87.94,5.37,-264.79,90.74,6.9,4.35
2020,2,2,1.44,4.02,12.48,90.38,5.92,-267.89,91.03,7.16,6.31
2020,2,3,1.84,5.19,6.55,87.38,6.41,-271.44,91.13,4.02,2.5
2020,2,4,0.9,5.72,20.17,89.62,4.03,-262.91,90.77,12.03,8.52
2020,2,5,2.48,1.86,3.56,90.06,3.11,-266.01,92.08,3.73,3.31
2020,2,6,2.71,1.38,0.0,64.44,2.26,-263.27,91.94,2.2,1.54
2020,2,7,3.21,0.91,0.0,51.81,2.38,-265.78,91.58,2.59,2.14
2020,2,8,2.82,1.18,0.0,64.19,2.93,-263.17,91.51,4.25,2.94
2020,2,9,3.02,2.46,0.09,71.38,3.6,-263.46,91.21,9.77,5.62
2020,2,10,1.81,8.1,4.73,81.0,5.37,-270.19,90.39,6.31,4.44
2020,2,11,2.4,5.9,10.4,90.0,4.58,-267.97,90.61,7.45,6.27
2020,2,12,2.72,3.05,1.63,86.56,3.48,-268.62,91.17,5.52,4.93
2020,2,13,2.73,3.33,10.06,78.88,3.85,-263.35,90.49,9.75,7.46
2020,2,14,3.12,2.67,7.17,88.69,4.39,-269.22,91.3,10.34,7.79
2020,2,15,3.38,1.46,0.0,68.19,3.6,-264.56,91.5,3.58,2.16
2020,2,16,2.32,2.2,0.01,66.56,4.27,-265.42,91.16,4.3,2.48
2020,2,17,2.56,1.88,4.56,76.56,4.76,-265.57,91.17,5.23,3.15
2020,2,18,3.58,2.34,1.64,85.31,3.85,-266.7,91.81,3.05,1.98
2020,2,19,2.32,3.01,4.69,87.69,3.66,-267.75,91.5,6.06,6.03
2020,2,20,3.32,1.64,0.05,75.38,3.72,-262.29,91.36,7.78,3.86
2020,2,21,3.54,1.59,1.55,72.88,3.48,-267.23,91.89,8.43,4.7
2020,2,22,3.83,1.39,0.02,60.44,3.85,-262.52,92.01,3.76,2.44
2020,2,23,3.09,2.95,0.15,68.0,4.58,-262.74,91.81,5.57,4.17
2020,2,24,3.91,2.54,0.55,80.31,5.92,-264.13,91.31,3.76,2.62
2020,2,25,1.78,3.12,2.66,83.88,4.94,-266.95,90.05,2.82,2.98
2020,2,26,2.3,4.61,13.24,90.94,3.6,-267.7,89.71,5.5,5.65
2020,2,27,2.13,4.45,8.88,88.31,3.42,-263.78,89.77,11.58,8.94
2020,2,28,4.1,1.99,1.63,75.31,2.93,-264.3,90.84,6.61,5.35
2020,2,29,2.27,3.47,8.85,78.75,4.33,-267.17,89.8,5.92,6.29
2020,3,1,3.8,2.57,2.43,79.94,4.46,-264.45,89.51,6.66,5.5
2020,3,2,1.16,2.45,8.54,84.94,4.09,-266.95,88.61,6.01,4.48
2020,3,3,3.37,2.4,6.98,86.06,3.6,-269.17,89.65,6.62,5.66
2020,3,4,4.14,1.2,0.59,78.44,3.3,-265.56,90.42,3.28,2.52
2020,3,5,1.19,2.62,9.97,82.19,4.27,-267.53,89.28,5.54,3.52
2020,3,6,3.17,4.14,6.05,87.69,4.09,-269.37,89.44,8.32,6.77
2020,3,7,3.67,1.63,2.13,86.88,3.6,-268.56,90.93,2.2,1.88
2020,3,8,4.36,1.37,0.02,68.62,3.11,-260.81,91.04,2.77,1.83
2020,3,9,2.54,1.72,8.85,90.62,4.15,-267.62,90.78,1.91,2.14
2020,3,10,1.89,2.59,13.19,88.44,4.27,-266.45,91.0,4.48,2.95
2020,3,11,4.52,2.38,1.19,87.31,6.04,-266.55,91.27,3.94,2.77
2020,3,12,4.23,2.56,1.93,85.75,6.47,-264.87,91.0,4.38,3.52
2020,3,13,4.02,1.91,2.88,82.0,4.58,-267.42,91.18,3.57,2.81
2020,3,14,2.66,1.02,0.6,82.25,4.09,-268.15,91.11,2.78,2.26
2020,3,15,4.14,1.99,0.01,75.56,4.09,-259.52,90.97,4.9,2.22
2020,3,16,5.17,1.55,0.01,67.0,4.39,-259.96,91.3,6.63,4.18
2020,3,17,5.26,1.07,0.01,70.5,5.43,-263.83,92.06,1.59,1.03
2020,3,18,5.28,1.02,0.0,72.12,5.8,-262.43,91.89,1.69,1.36
2020,3,19,5.36,0.92,0.01,69.62,5.55,-260.34,91.56,4.01,2.88
2020,3,20,4.74,1.62,7.1,83.12,5.49,-269.38,91.26,3.66,3.29
2020,3,21,4.99,1.84,0.51,87.12,5.8,-265.21,90.89,4.45,3.84
2020,3,22,3.34,3.0,0.31,86.62,4.46,-262.24,91.04,4.27,3.85
2020,3,23,5.26,2.61,0.01,81.12,3.17,-261.92,91.48,2.95,3.2
2020,3,24,5.77,2.34,0.0,72.88,2.62,-262.67,91.37,4.66,4.35
2020,3,25,4.43,2.0,0.05,76.19,2.93,-264.99,90.86,5.71,4.98
2020,3,26,4.81,1.96,0.03,73.25,3.11,-264.13,90.46,3.95,3.63
2020,3,27,5.13,1.16,0.02,80.81,4.52,-259.15,90.55,2.2,1.38
2020,3,28,5.46,1.2,0.28,80.56,5.31,-263.54,90.84,2.37,1.75
2020,3,29,3.83,2.34,4.91,89.62,4.64,-266.07,90.87,4.4,3.89
2020,3,30,2.28,4.08,2.32,88.94,3.3,-265.77,91.03,3.65,4.55
2020,3,31,5.21,2.78,0.05,79.0,2.81,-262.95,91.21,3.11,3.77
2020,4,1,4.9,1.14,0.01,70.69,3.17,-260.52,90.87,3.52,2.21
2020,4,2,6.05,1.36,0.22,75.25,4.46,-264.17,90.48,2.04,1.77
2020,4,3,5.71,1.23,0.01,76.25,4.21,-263.16,90.77,2.33,2.38
2020,4,4,6.06,1.53,0.0,74.75,4.52,-259.36,91.26,1.23,1.16
2020,4,5,6.03,1.58,0.0,66.94,4.7,-259.31,91.32,3.81,2.02
2020,4,6,6.4,1.31,0.0,58.56,4.58,-258.29,91.59,5.71,3.61
2020,4,7,6.46,1.56,0.0,61.31,5.43,-262.71,91.91,3.05,2.57
2020,4,8,6.6,1.3,0.0,62.88,5.49,-260.52,91.76,3.25,2.38
2020,4,9,6.02,1.53,0.0,61.06,5.74,-264.85,91.58,2.84,2.49
2020,4,10,6.57,1.35,0.0,61.5,5.98,-262.34,91.52,1.09,1.37
2020,4,11,6.49,1.23,0.01,60.38,6.1,-263.76,91.47,1.97,1.69
2020,4,12,5.82,0.86,2.58,67.81,6.65,-264.57,91.13,3.24,1.66
2020,4,13,5.94,1.7,3.21,76.12,6.59,-263.42,90.81,6.31,5.33
2020,4,14,6.46,2.81,0.15,72.62,3.91,-264.07,91.16,2.48,3.13
2020,4,15,6.92,1.4,0.01,68.25,4.7,-255.42,91.29,3.9,2.52
2020,4,16,6.21,1.12,0.01,63.62,6.04,-259.86,91.22,3.88,2.75
2020,4,17,6.35,0.91,0.14,66.5,7.39,-264.1,90.98,1.61,1.41
2020,4,18,5.84,1.34,1.71,78.19,8.18,-267.49,90.99,3.03,2.79
2020,4,19,5.03,1.95,3.1,83.0,8.48,-264.24,90.64,5.99,5.0
2020,4,20,3.24,1.79,0.61,81.0,7.93,-263.74,90.25,2.69,2.35
2020,4,21,2.68,1.66,0.16,79.38,7.02,-263.74,90.27,2.45,1.36
2020,4,22,5.86,1.76,0.0,60.88,5.25,-258.15,90.69,4.05,1.91
2020,4,23,6.95,1.42,0.0,60.31,5.8,-262.18,91.07,2.44,2.25
2020,4,24,6.12,1.75,0.04,68.75,6.9,-263.7,90.86,2.31,2.55
2020,4,25,3.97,1.27,0.92,76.06,7.63,-266.35,90.43,1.54,1.73
2020,4,26,4.17,1.01,3.61,80.12,7.08,-267.85,90.35,2.16,1.36
2020,4,27,4.87,1.35,1.18,71.06,6.77,-263.33,90.4,3.0,2.73
2020,4,28,2.73,1.41,21.35,88.69,7.02,-267.43,90.21,2.38,1.82
2020,4,29,4.46,2.27,5.19,80.88,5.86,-265.38,90.39,3.1,3.19
2020,4,30,1.63,1.85,8.23,84.31,6.23,-266.99,90.18,4.37,2.38
2020,5,1,3.61,2.87,11.49,80.88,5.98,-263.93,90.04,5.48,4.92
2020,5,2,4.72,3.09,16.59,86.69,6.35,-266.1,90.54,8.78,7.07
2020,5,3,6.53,1.32,0.75,74.88,5.74,-262.37,91.04,2.87,2.6
2020,5,4,6.65,1.73,0.66,76.25,7.69,-262.87,91.01,4.67,4.32
2020,5,5,2.75,0.77,17.54,91.75,8.36,-269.02,90.84,2.16,1.39
2020,5,6,4.55,1.67,2.7,80.94,6.47,-265.26,91.26,3.36,3.84
2020,5,7,7.35,1.52,0.0,61.0,5.55,-259.86,91.47,1.75,1.86
2020,5,8,6.39,1.34,0.71,68.62,8.67,-263.73,91.17,2.26,2.5
2020,5,9,6.49,1.32,7.8,74.31,9.34,-264.05,90.7,2.62,1.91
2020,5,10,4.2,0.8,4.86,77.69,9.22,-264.72,90.12,3.17,2.08
