YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,3.97,3.84,0.0,61.31,12.88,-261.5,99.02,2.64,4.44
2020,1,2,4.92,3.34,0.0,62.0,12.94,-261.34,99.06,2.75,4.48
2020,1,3,5.42,2.26,0.0,60.31,12.82,-259.3,98.88,5.05,4.2
2020,1,4,5.27,2.44,0.0,61.81,13.37,-260.57,98.68,4.38,4.16
2020,1,5,5.54,2.48,0.0,56.69,12.21,-260.09,98.67,5.33,3.86
2020,1,6,5.57,2.28,0.0,55.75,11.6,-258.99,98.67,4.15,3.91
2020,1,7,5.44,1.85,0.0,51.56,10.8,-257.96,98.59,3.29,2.64
2020,1,8,5.46,2.59,0.0,52.88,11.66,-258.74,98.58,3.66,4.39
2020,1,9,5.41,2.45,0.0,52.88,12.08,-260.23,98.53,4.12,2.95
2020,1,10,5.36,1.98,0.0,52.69,11.84,-258.76,98.43,4.33,4.16
2020,1,11,4.69,1.59,0.03,47.69,11.11,-259.17,98.4,4.29,3.27
2020,1,12,4.74,1.53,0.05,52.81,12.45,-261.07,98.35,2.51,2.51
2020,1,13,5.06,2.07,0.05,55.62,12.88,-260.13,98.41,6.77,5.54
2020,1,14,5.03,1.54,0.0,50.94,11.29,-259.74,98.51,4.05,3.7
2020,1,15,5.01,1.3,0.0,48.62,10.5,-258.47,98.54,4.76,2.33
2020,1,16,4.34,1.1,0.0,47.06,10.25,-259.4,98.57,2.4,1.37
2020,1,17,4.83,1.41,0.0,56.31,12.08,-259.62,98.63,4.19,2.26
2020,1,18,5.04,2.16,0.0,51.0,11.05,-258.81,98.58,4.32,3.55
2020,1,19,4.99,2.13,0.0,49.94,10.93,-258.88,98.62,3.23,3.4
2020,1,20,5.09,2.16,0.0,53.62,11.47,-258.96,98.72,4.44,4.32
2020,1,21,5.09,1.98,0.0,49.75,10.99,-259.0,98.8,5.12,4.6
2020,1,22,5.26,1.25,0.0,47.75,11.29,-257.99,98.7,4.35,3.41
2020,1,23,4.57,0.92,0.0,54.0,13.18,-259.81,98.54,5.35,2.54
2020,1,24,4.17,2.3,0.0,58.0,14.16,-259.6,98.47,3.63,3.03
2020,1,25,3.8,3.15,0.0,62.81,14.83,-260.7,98.37,3.47,3.62
2020,1,26,4.88,2.54,0.0,56.56,12.88,-260.52,98.3,3.58,3.89
2020,1,27,5.34,2.05,0.0,50.19,10.5,-258.92,98.33,7.08,5.03
2020,1,28,5.53,1.66,0.0,57.12,11.11,-258.99,98.43,4.15,2.3
2020,1,29,5.4,1.83,0.0,55.19,10.19,-258.64,98.69,5.3,3.98
2020,1,30,4.97,3.47,0.0,48.25,8.91,-259.52,98.72,5.37,4.66
2020,1,31,5.23,2.84,0.0,48.62,8.79,-257.97,98.75,6.33,5.02
2020,2,1,5.32,2.08,0.0,49.31,9.52,-257.99,98.72,5.76,4.8
