YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,3.23,2.2,0.0,63.19,3.85,-260.59,101.79,7.84,4.12
2020,1,2,3.46,1.91,0.0,66.62,4.21,-259.96,101.92,5.15,1.62
2020,1,3,3.54,2.88,0.0,54.12,3.3,-259.44,101.82,4.55,2.95
2020,1,4,3.36,1.47,0.0,51.94,3.23,-259.75,101.59,6.85,3.26
2020,1,5,2.5,1.88,0.01,65.19,5.07,-261.35,101.39,4.38,2.13
2020,1,6,3.39,2.5,0.03,68.62,4.82,-262.25,101.41,5.45,4.09
2020,1,7,3.48,1.76,0.01,70.56,4.64,-259.57,101.53,5.17,3.4
2020,1,8,2.38,2.27,0.18,66.5,4.46,-262.08,101.38,3.42,3.52
2020,1,9,3.07,1.56,0.06,62.5,4.58,-262.92,101.27,6.38,2.77
2020,1,10,2.14,2.53,1.55,82.25,6.23,-264.67,101.04,3.3,2.07
2020,1,11,1.89,2.52,3.5,90.25,6.41,-268.74,100.91,2.34,2.38
2020,1,12,2.08,2.5,2.44,81.56,5.86,-265.66,100.97,3.59,2.79
2020,1,13,2.64,4.66,1.44,77.06,5.8,-265.77,100.94,3.24,4.3
2020,1,14,3.4,2.96,0.07,74.69,5.55,-262.64,101.27,7.48,6.22
2020,1,15,3.52,1.99,0.0,69.06,4.82,-262.42,101.52,4.7,4.35
2020,1,16,3.67,1.76,0.0,68.44,4.64,-262.0,101.65,4.0,2.59
2020,1,17,3.7,2.31,0.0,64.75,4.27,-261.35,101.67,3.38,3.23
2020,1,18,3.36,1.79,0.0,57.56,4.21,-260.31,101.65,6.18,2.77
2020,1,19,3.6,2.24,0.01,52.31,3.78,-261.87,100.91,5.58,5.14
2020,1,20,2.9,3.8,0.01,68.06,5.19,-262.1,100.65,7.05,5.88
2020,1,21,3.19,5.69,0.0,63.5,5.07,-259.95,101.01,2.26,3.15
2020,1,22,3.58,5.2,0.02,77.69,6.41,-262.88,101.22,1.17,3.02
