YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,2.83,0.15,0.0,77.12,4.27,-260.45,99.99,5.08,1.62
2020,1,2,0.51,0.2,45.73,95.0,9.46,-259.94,99.31,6.06,3.29
2020,1,3,0.54,0.1,11.68,98.5,11.66,-267.27,99.35,7.04,3.33
2020,1,4,3.71,0.18,0.56,80.12,5.86,-260.47,100.2,5.13,3.72
2020,1,5,3.85,0.15,0.0,81.19,4.21,-259.45,100.87,5.61,1.88
2020,1,6,3.39,0.09,0.02,89.12,6.47,-258.31,100.34,6.09,2.31
2020,1,7,3.94,0.16,0.1,78.0,5.55,-261.68,100.5,2.1,2.18
2020,1,8,4.01,0.27,0.0,72.94,4.15,-256.27,101.17,6.76,2.54
2020,1,9,2.74,0.16,0.0,77.75,5.68,-258.91,101.07,4.3,1.56
2020,1,10,1.91,0.19,3.15,86.38,9.89,-268.04,100.61,2.68,1.1
2020,1,11,0.61,0.29,20.39,93.62,12.33,-262.1,99.84,9.16,5.86
2020,1,12,3.18,0.23,3.05,84.75,7.87,-261.56,100.59,3.15,1.07
2020,1,13,1.44,0.17,31.6,98.44,10.86,-267.49,100.67,4.16,1.2
2020,1,14,0.63,0.14,20.55,97.94,13.55,-268.88,100.45,3.41,1.46
2020,1,15,1.46,0.13,3.12,95.06,12.7,-266.19,100.36,2.55,1.16
2020,1,16,1.91,0.18,1.31,80.44,8.54,-264.24,100.97,2.9,2.73
2020,1,17,3.4,0.2,0.02,67.62,5.25,-263.68,101.17,2.49,1.14
2020,1,18,1.03,0.2,6.85,91.38,7.93,-266.27,100.55,2.95,2.07
2020,1,19,4.19,0.26,0.25,64.88,3.6,-262.18,100.72,1.61,1.34
2020,1,20,3.66,0.22,0.08,71.62,2.38,-263.52,101.22,1.98,1.55
2020,1,21,3.94,0.18,0.0,75.56,2.32,-262.56,101.36,2.41,1.8
2020,1,22,3.08,0.12,0.0,78.12,3.05,-260.32,100.81,4.93,1.42
2020,1,23,1.15,0.16,16.24,93.94,5.62,-265.87,100.1,4.7,2.53
2020,1,24,4.14,0.16,1.63,83.94,6.1,-262.43,99.78,2.23,1.62
2020,1,25,4.21,0.17,0.01,83.5,4.39,-263.34,100.24,1.99,1.19
2020,1,26,1.44,0.24,0.45,88.75,5.0,-262.03,100.06,4.3,1.43
2020,1,27,1.84,0.41,0.28,85.19,5.98,-263.32,99.78,3.23,1.88
2020,1,28,4.22,0.47,0.02,71.25,5.0,-257.58,99.89,5.37,1.74
2020,1,29,0.86,0.31,0.7,86.31,5.68,-262.19,99.76,4.98,3.07
2020,1,30,4.36,0.14,0.01,86.0,5.86,-261.19,100.11,4.79,1.37
2020,1,31,1.4,0.12,0.09,90.69,6.35,-267.1,100.08,3.0,1.41
2020,2,1,1.66,0.19,0.22,88.0,5.74,-264.08,100.05,4.53,2.72
2020,2,2,3.94,0.16,0.0,83.31,5.68,-257.51,100.06,4.8,1.49
2020,2,3,4.48,0.14,0.01,85.75,7.69,-258.12,99.94,5.06,1.4
2020,2,4,1.49,0.17,1.95,92.81,10.68,-263.57,99.73,2.73,1.88
2020,2,5,1.14,0.23,33.09,96.81,12.63,-268.73,99.13,3.91,2.09
2020,2,6,1.06,0.29,44.97,92.75,9.34,-257.44,98.27,6.27,2.83
2020,2,7,4.36,0.39,1.13,76.38,3.78,-265.85,99.66,4.82,2.58
2020,2,8,3.86,0.3,1.17,82.56,4.7,-259.91,100.63,4.55,2.06
2020,2,9,3.88,0.21,0.07,83.12,5.98,-259.92,100.89,2.79,1.48
2020,2,10,0.68,0.23,35.15,96.25,9.58,-264.67,100.16,5.45,3.19
2020,2,11,1.26,0.22,51.5,94.88,11.9,-262.74,99.94,5.36,3.0
2020,2,12,2.37,0.27,2.9,91.69,11.54,-258.93,99.6,6.27,3.7
2020,2,13,1.37,0.3,18.63,86.0,7.75,-258.07,99.94,6.48,3.33
2020,2,14,4.82,0.22,0.0,73.06,3.42,-261.19,101.09,1.44,1.72
2020,2,15,5.28,0.14,0.0,75.81,3.97,-254.67,100.96,5.11,1.12
2020,2,16,2.08,0.18,1.93,90.31,6.35,-263.52,100.27,4.2,1.33
2020,2,17,2.0,0.16,1.04,90.62,8.12,-260.57,99.99,2.46,1.3
2020,2,18,1.36,0.16,43.28,96.38,11.54,-264.08,100.06,4.29,2.17
2020,2,19,0.91,0.17,4.41,89.19,7.08,-268.85,100.65,0.84,0.84
2020,2,20,0.77,0.23,30.22,91.75,6.04,-265.12,100.63,3.74,2.97
2020,2,21,5.62,0.2,0.01,76.38,3.36,-262.24,101.38,1.7,1.65
2020,2,22,5.55,0.37,0.0,69.69,3.48,-255.49,101.18,3.43,1.81
2020,2,23,2.48,0.19,0.0,78.94,4.82,-261.8,100.56,3.29,1.19
2020,2,24,1.28,0.16,11.57,94.56,8.06,-263.6,99.48,2.81,1.12
2020,2,25,3.08,0.25,0.62,89.12,8.12,-264.66,99.32,3.42,1.56
2020,2,26,2.19,0.21,0.28,85.31,5.55,-263.53,99.91,4.66,3.02
2020,2,27,5.78,0.18,0.0,75.75,3.36,-261.77,100.67,1.92,1.74
2020,2,28,5.4,0.19,0.0,81.44,4.33,-256.8,100.48,5.41,2.67
2020,2,29,5.51,0.35,0.0,71.06,4.88,-259.1,100.65,5.98,2.27
2020,3,1,4.46,0.16,0.03,85.06,6.53,-259.7,100.46,5.01,1.59
2020,3,2,2.47,0.15,22.29,97.81,9.52,-265.34,99.71,3.55,1.27
2020,3,3,1.8,0.23,27.89,96.62,12.21,-267.27,99.39,6.41,2.91
2020,3,4,0.91,0.19,34.29,94.56,8.91,-268.1,99.74,4.78,2.91
2020,3,5,1.56,0.26,23.9,93.38,7.51,-266.4,99.81,3.34,2.08
2020,3,6,6.37,0.2,0.05,78.94,5.43,-262.65,100.75,2.7,2.35
2020,3,7,6.12,0.2,0.18,76.94,4.39,-258.44,101.29,3.37,1.22
2020,3,8,6.08,0.14,0.0,77.44,5.68,-260.81,101.39,4.1,1.19
2020,3,9,3.82,0.15,0.18,86.19,8.12,-262.07,101.17,2.29,1.91
2020,3,10,2.86,0.12,4.76,92.56,10.44,-263.73,100.72,2.69,1.89
2020,3,11,2.6,0.11,1.75,90.06,11.6,-262.86,100.11,2.75,1.48
2020,3,12,5.64,0.12,0.5,86.0,11.9,-264.99,99.73,3.45,1.65
2020,3,13,2.63,0.09,1.4,89.62,12.15,-262.92,100.23,3.38,1.17
2020,3,14,4.59,0.12,0.05,87.88,11.54,-262.06,100.57,3.49,1.45
2020,3,15,4.02,0.16,1.17,85.44,11.29,-256.83,100.67,4.67,2.84
2020,3,16,4.7,0.19,0.27,86.0,10.68,-258.75,100.49,2.19,0.83
2020,3,17,3.74,0.2,0.33,87.06,12.02,-264.46,100.4,4.41,1.38
2020,3,18,3.46,0.12,0.05,88.0,12.57,-263.55,100.44,2.57,1.63
2020,3,19,3.64,0.14,0.01,86.69,13.24,-263.33,100.43,2.66,2.09
2020,3,20,3.73,0.13,3.82,89.12,13.55,-264.06,100.5,2.81,2.12
2020,3,21,2.44,0.12,1.27,85.0,9.4,-261.51,100.75,1.28,1.02
2020,3,22,3.41,0.08,5.27,89.19,8.42,-263.26,100.51,4.73,1.56
2020,3,23,2.54,0.15,6.85,93.25,13.0,-263.42,100.12,3.99,2.52
2020,3,24,4.1,0.18,7.13,87.75,13.85,-265.27,99.6,3.93,2.2
2020,3,25,6.08,0.17,2.31,82.0,11.23,-261.11,99.48,2.92,1.41
2020,3,26,6.75,0.1,0.02,80.0,11.11,-256.96,99.64,5.64,1.41
2020,3,27,5.58,0.12,0.0,82.38,13.73,-261.84,99.53,4.12,1.72
2020,3,28,5.07,0.16,0.17,83.38,14.1,-261.69,99.59,2.35,1.8
2020,3,29,4.06,0.12,1.07,78.12,11.17,-263.9,100.08,2.43,1.09
2020,3,30,4.19,0.12,0.42,76.94,8.85,-263.08,100.22,4.79,1.88
