YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,1.64,0.98,0.01,92.0,3.36,-267.71,99.59,2.59,1.7
2020,1,2,2.23,0.84,0.0,93.25,3.85,-263.0,100.23,2.99,1.39
2020,1,3,0.79,0.51,1.99,97.75,5.37,-267.38,99.91,3.39,1.42
2020,1,4,0.35,0.55,4.14,98.81,5.43,-267.99,99.34,5.57,3.56
2020,1,5,1.89,1.34,0.56,82.38,3.11,-267.04,99.76,5.77,3.81
2020,1,6,1.11,0.81,0.11,90.81,3.48,-266.95,100.4,4.28,2.06
2020,1,7,1.95,0.67,1.41,84.62,3.36,-265.74,100.51,5.87,3.05
2020,1,8,1.86,1.24,0.05,85.56,3.11,-266.71,100.38,6.72,4.2
2020,1,9,2.64,0.97,0.0,65.19,1.77,-266.45,102.69,8.72,5.12
2020,1,10,0.84,0.82,0.0,94.5,4.58,-264.99,102.28,2.81,1.98
2020,1,11,1.99,1.0,0.14,95.81,7.26,-264.11,101.31,5.59,3.66
2020,1,12,2.1,1.31,3.93,85.19,7.14,-257.11,100.77,12.43,7.68
2020,1,13,0.77,0.6,0.03,92.69,4.27,-266.67,101.87,3.05,1.88
2020,1,14,1.22,0.53,0.39,88.81,4.33,-267.2,101.46,2.62,1.23
2020,1,15,2.47,0.73,0.06,85.88,4.46,-265.53,100.94,4.12,2.22
2020,1,16,1.86,1.55,2.63,82.75,4.03,-263.66,100.24,6.62,4.7
2020,1,17,2.94,1.7,0.07,66.31,1.4,-266.41,102.23,5.54,3.45
2020,1,18,1.24,0.75,7.91,81.19,1.95,-261.48,101.71,7.17,3.79
2020,1,19,2.04,1.12,1.34,89.25,3.48,-264.44,99.7,4.22,3.01
2020,1,20,2.82,1.38,0.0,78.56,1.65,-266.17,101.26,3.41,2.17
2020,1,21,2.67,0.88,0.0,85.06,1.71,-263.24,101.93,1.81,0.95
2020,1,22,2.81,0.77,0.0,84.19,2.26,-261.56,101.98,1.93,1.14
2020,1,23,2.5,0.81,0.0,84.94,2.99,-262.77,101.78,3.16,1.33
2020,1,24,2.68,0.78,0.04,82.12,3.42,-264.57,101.71,5.53,1.96
2020,1,25,0.63,1.27,24.42,97.81,5.0,-264.97,100.54,6.86,3.67
2020,1,26,2.52,0.88,0.09,90.25,4.09,-265.49,99.71,3.41,1.75
2020,1,27,1.89,1.04,0.01,90.5,3.78,-265.95,99.45,2.05,1.2
2020,1,28,1.48,1.08,0.0,87.0,3.23,-266.35,99.88,1.55,1.3
2020,1,29,3.27,1.05,0.0,78.56,2.56,-265.84,100.7,1.99,1.23
2020,1,30,3.32,0.69,0.0,67.5,1.95,-264.02,101.53,4.55,2.66
2020,1,31,2.18,0.75,0.82,81.94,3.11,-265.1,101.52,1.83,0.76
2020,2,1,0.85,0.53,0.22,95.12,4.03,-268.27,100.21,3.8,1.54
2020,2,2,2.55,0.79,0.13,90.06,3.6,-267.43,99.09,2.16,1.15
2020,2,3,2.21,0.7,0.0,87.19,3.97,-263.61,99.84,5.51,1.9
2020,2,4,1.49,0.5,0.24,97.69,4.76,-268.1,99.91,5.03,2.14
2020,2,5,1.24,0.78,0.96,81.62,3.66,-268.06,100.56,2.49,1.41
2020,2,6,0.62,0.99,9.6,96.81,4.09,-271.05,99.45,4.74,2.78
2020,2,7,1.02,1.42,8.0,91.06,4.27,-259.72,97.93,12.86,8.35
2020,2,8,3.31,1.27,0.0,76.31,2.38,-266.76,100.98,3.69,2.47
2020,2,9,2.17,0.92,0.46,81.94,2.93,-265.14,102.14,4.09,1.52
2020,2,10,0.61,0.95,8.1,98.06,4.7,-269.8,101.13,4.62,2.5
2020,2,11,0.69,0.59,6.63,97.44,4.76,-269.17,100.31,4.62,2.43
2020,2,12,3.15,1.02,2.13,80.81,3.42,-266.95,100.92,4.39,1.84
2020,2,13,0.57,0.75,17.29,97.69,4.15,-269.17,99.68,3.56,1.83
2020,2,14,4.01,1.59,0.01,78.5,1.77,-263.38,101.43,3.57,3.13
2020,2,15,4.16,0.96,0.0,74.38,1.46,-262.74,102.32,5.36,3.27
2020,2,16,2.35,0.93,0.0,90.0,3.3,-265.13,101.11,2.13,1.57
2020,2,17,4.11,0.85,0.01,86.75,3.36,-265.07,101.4,3.43,1.03
2020,2,18,0.81,1.01,2.63,94.75,4.03,-267.5,101.26,4.66,3.38
2020,2,19,4.24,1.23,0.1,82.0,3.23,-264.61,101.23,4.91,3.8
2020,2,20,3.34,1.01,0.0,72.25,2.08,-266.13,101.97,3.65,2.66
2020,2,21,4.52,0.98,0.0,68.19,1.59,-263.42,101.97,4.34,2.55
2020,2,22,4.56,0.97,0.0,80.25,2.75,-260.96,101.27,4.05,1.48
2020,2,23,4.51,0.88,0.0,79.56,3.54,-262.09,101.05,6.01,1.88
2020,2,24,4.37,0.68,0.01,90.12,4.76,-260.44,100.64,4.27,1.62
2020,2,25,2.1,0.42,3.88,95.06,5.55,-265.91,100.18,2.8,1.09
2020,2,26,1.87,0.72,1.31,94.19,5.43,-268.94,100.23,4.86,3.16
2020,2,27,3.31,1.87,20.81,78.25,3.91,-263.15,98.92,5.53,3.88
2020,2,28,4.27,1.53,0.06,69.94,2.32,-268.13,99.93,3.84,3.37
2020,2,29,3.46,1.21,0.03,74.0,2.2,-266.04,100.11,3.89,2.81
2020,3,1,4.78,1.15,0.0,71.94,2.08,-263.7,100.9,5.06,2.95
2020,3,2,4.33,1.09,0.22,85.69,4.33,-260.22,100.49,6.41,3.62
2020,3,3,3.22,0.76,5.67,90.31,6.16,-263.56,99.41,6.52,3.39
2020,3,4,4.19,1.27,0.54,79.62,4.64,-267.82,99.52,4.76,3.62
2020,3,5,5.16,0.87,0.0,72.81,3.6,-263.95,100.77,4.84,2.66
2020,3,6,2.57,1.06,0.54,84.25,4.09,-265.17,100.27,6.05,3.61
2020,3,7,5.02,1.53,0.29,69.94,2.69,-265.2,101.02,3.69,3.21
2020,3,8,4.37,0.83,0.0,74.69,3.48,-259.12,101.8,3.7,1.12
2020,3,9,5.2,0.84,0.0,81.44,5.55,-258.37,101.51,4.15,2.02
2020,3,10,3.14,0.9,0.14,86.69,6.77,-263.69,100.66,3.44,2.29
2020,3,11,4.07,0.68,0.0,69.75,4.03,-262.98,100.85,6.66,3.61
2020,3,12,2.22,0.77,3.05,83.0,4.58,-264.22,101.08,3.48,1.95
2020,3,13,1.96,1.17,11.69,90.12,6.59,-260.3,100.23,5.13,3.53
2020,3,14,5.21,1.03,0.0,72.88,3.85,-263.92,101.43,1.39,1.53
2020,3,15,5.53,0.84,0.0,67.56,3.17,-262.34,102.02,3.03,1.56
2020,3,16,5.36,0.91,0.0,70.06,2.5,-262.62,102.39,3.21,1.39
2020,3,17,2.26,0.68,4.26,93.75,4.88,-263.1,101.2,4.93,1.84
2020,3,18,5.47,0.68,0.0,70.25,3.54,-258.92,101.99,6.2,2.67
2020,3,19,1.72,0.78,19.09,94.75,4.88,-268.12,101.46,4.88,3.01
