YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,0.88,1.65,8.55,96.56,3.05,-263.62,76.8,3.91,3.23
2020,1,2,1.06,1.2,0.23,97.75,2.2,-263.45,77.39,1.62,1.95
2020,1,3,1.29,1.17,0.01,91.25,2.26,-258.95,77.98,3.52,2.12
2020,1,4,1.07,1.81,1.36,94.12,2.26,-257.99,77.98,8.11,4.12
2020,1,5,1.4,1.07,0.62,90.19,1.71,-263.04,78.16,4.72,2.27
2020,1,6,0.67,1.43,1.51,97.94,2.14,-260.68,78.27,2.71,2.22
2020,1,7,1.52,1.13,0.13,96.94,2.69,-261.59,77.77,1.96,0.95
2020,1,8,1.38,1.19,1.08,96.88,2.08,-264.04,76.81,2.45,2.11
2020,1,9,1.5,1.07,0.45,97.5,1.59,-262.0,77.05,1.98,1.3
2020,1,10,1.26,1.6,2.63,94.69,1.34,-257.65,77.47,5.12,2.9
2020,1,11,1.36,1.16,3.79,97.62,2.14,-262.89,76.89,1.73,1.55
2020,1,12,1.44,1.54,4.02,95.62,1.95,-264.83,76.67,5.21,3.19
2020,1,13,1.54,1.54,1.38,96.56,1.46,-262.54,76.63,4.4,3.75
2020,1,14,1.5,1.2,1.82,96.44,1.46,-262.39,76.72,2.05,2.03
2020,1,15,2.43,1.61,1.31,96.69,1.22,-256.43,77.4,5.11,2.23
2020,1,16,0.94,1.47,0.75,96.38,2.5,-262.57,76.84,2.64,1.25
2020,1,17,2.38,1.29,1.8,97.31,1.71,-259.92,77.44,1.86,1.91
2020,1,18,1.43,1.2,0.2,97.06,1.71,-257.08,78.34,1.36,1.19
2020,1,19,2.61,1.03,0.03,96.62,2.38,-258.45,78.66,2.89,2.02
2020,1,20,1.95,1.05,0.03,91.88,2.87,-262.13,78.01,2.23,1.41
2020,1,21,1.43,1.09,0.77,94.31,2.93,-263.27,77.36,1.56,0.77
2020,1,22,1.95,1.11,0.07,97.62,2.14,-264.04,77.74,2.42,1.27
2020,1,23,1.87,0.95,0.03,98.62,2.93,-259.79,78.08,2.16,1.49
2020,1,24,1.49,0.95,2.06,96.94,3.23,-259.62,77.69,1.62,0.88
2020,1,25,1.42,1.18,0.16,97.38,2.5,-260.37,77.81,1.15,1.32
2020,1,26,1.53,0.74,5.99,97.19,3.3,-260.21,77.59,2.27,1.52
2020,1,27,1.6,1.19,0.22,97.44,2.26,-262.3,77.97,2.07,1.77
2020,1,28,1.16,0.94,5.57,96.62,2.87,-262.07,77.74,1.52,0.85
2020,1,29,2.17,1.01,1.0,98.12,2.56,-262.72,78.02,2.61,1.11
2020,1,30,2.15,0.97,0.22,91.81,1.89,-260.96,78.28,4.77,2.93
2020,1,31,1.61,1.12,0.05,96.5,2.87,-257.92,78.39,3.3,1.65
2020,2,1,1.92,1.88,0.06,89.5,3.42,-263.77,78.06,4.55,2.18
2020,2,2,1.0,1.49,5.0,93.5,2.69,-260.7,76.98,6.73,3.12
2020,2,3,3.23,1.92,0.45,90.25,1.22,-263.91,77.17,5.01,3.27
2020,2,4,3.12,1.11,0.45,94.44,1.34,-263.24,77.73,2.19,1.38
2020,2,5,1.73,1.23,2.28,96.56,2.2,-262.23,77.34,1.69,1.61
2020,2,6,1.56,1.73,7.01,97.44,3.6,-267.03,77.18,2.66,2.37
2020,2,7,1.63,1.52,3.99,97.69,3.72,-264.17,77.37,2.93,2.21
2020,2,8,1.8,1.47,1.63,97.31,2.32,-266.12,77.15,4.8,3.14
2020,2,9,2.84,1.05,0.11,98.19,1.77,-262.46,77.96,4.32,2.97
2020,2,10,2.96,1.24,0.13,95.44,1.65,-261.99,78.0,3.34,2.4
2020,2,11,3.41,1.59,0.1,96.25,2.01,-257.93,77.74,3.44,2.51
2020,2,12,3.45,1.16,0.13,96.94,2.14,-262.81,77.75,2.54,1.47
2020,2,13,3.8,1.24,0.01,91.44,2.2,-257.02,77.48,4.28,1.7
2020,2,14,2.7,1.58,0.47,94.94,2.08,-263.87,77.37,4.9,2.42
2020,2,15,2.53,1.19,1.0,95.5,2.14,-262.34,77.56,1.32,2.05
2020,2,16,2.08,1.46,3.56,95.88,2.32,-258.89,77.33,3.29,3.11
2020,2,17,2.44,1.26,0.41,96.06,1.53,-262.08,77.73,2.8,2.09
2020,2,18,4.1,0.9,0.03,93.31,1.4,-261.1,77.99,1.71,1.31
2020,2,19,4.27,0.82,0.04,91.5,1.4,-259.27,78.31,3.62,2.77
2020,2,20,3.92,1.26,0.0,79.5,1.71,-256.0,78.45,2.63,1.62
2020,2,21,4.12,1.16,0.04,76.69,2.08,-257.77,78.19,2.57,1.54
2020,2,22,4.12,1.27,0.04,85.56,2.44,-257.87,77.85,1.34,1.36
2020,2,23,3.02,2.02,2.73,87.81,2.69,-259.42,77.59,7.12,4.27
2020,2,24,3.03,1.82,0.4,90.56,1.83,-265.1,78.12,3.25,2.48
2020,2,25,4.38,0.88,0.04,88.81,1.83,-262.52,78.71,3.98,2.66
2020,2,26,3.67,1.2,0.07,89.75,2.62,-259.63,78.54,1.69,1.51
2020,2,27,4.44,1.31,0.01,87.5,2.69,-259.88,78.61,2.47,1.89
2020,2,28,4.23,1.43,0.0,80.62,2.99,-259.71,78.14,3.8,1.56
2020,2,29,2.92,1.75,0.24,79.94,2.56,-265.27,77.24,5.9,4.84
2020,3,1,3.89,1.18,0.26,83.19,1.95,-263.22,77.54,2.42,2.03
2020,3,2,3.38,1.41,0.07,89.31,2.32,-256.85,77.69,2.4,2.03
2020,3,3,4.72,1.46,0.15,86.69,2.93,-261.57,77.82,2.15,2.57
2020,3,4,3.73,1.87,0.06,86.69,2.87,-262.48,77.92,7.23,5.55
2020,3,5,4.68,1.49,0.0,81.88,3.17,-257.94,78.22,3.23,2.17
2020,3,6,4.42,1.41,0.01,76.94,3.66,-262.7,77.69,3.63,2.48
2020,3,7,2.62,1.06,4.46,88.25,4.27,-266.24,76.98,2.97,2.01
2020,3,8,3.02,1.16,0.2,80.81,2.81,-264.74,77.38,1.85,1.92
2020,3,9,3.26,1.28,1.21,82.25,2.93,-264.7,77.77,2.16,2.11
2020,3,10,5.29,1.47,0.06,83.88,2.69,-261.52,78.09,2.24,2.12
2020,3,11,5.03,2.03,0.05,79.88,3.17,-261.37,77.67,4.89,4.48
2020,3,12,5.62,1.07,0.13,71.5,2.26,-262.22,77.7,4.87,2.76
2020,3,13,4.65,1.27,0.02,70.62,2.5,-259.43,76.77,7.76,4.82
