YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,1.73,3.38,0.03,88.06,3.91,-266.6,92.89,3.66,2.97
2020,1,2,1.93,3.05,0.06,91.94,3.91,-268.97,93.75,7.68,5.07
2020,1,3,2.27,4.17,0.13,70.88,2.44,-265.54,94.99,12.67,9.72
2020,1,4,1.79,3.4,0.03,82.69,3.3,-262.84,94.63,13.55,9.66
2020,1,5,2.22,4.93,0.0,68.06,2.81,-267.17,95.52,11.48,9.59
2020,1,6,2.15,3.59,0.0,72.31,2.56,-261.77,95.21,10.05,8.11
2020,1,7,1.98,2.65,0.01,72.94,2.32,-264.82,95.43,6.67,3.38
2020,1,8,1.83,5.82,0.0,79.81,2.08,-262.2,94.47,10.02,9.21
2020,1,9,1.64,3.1,0.12,83.5,2.32,-264.04,94.42,8.64,7.3
2020,1,10,2.11,2.89,1.56,76.94,1.1,-264.91,95.94,4.95,4.41
2020,1,11,1.86,5.29,0.11,78.88,1.04,-261.65,95.04,7.12,6.73
2020,1,12,2.32,2.24,0.01,91.31,1.59,-261.6,94.67,6.1,3.18
2020,1,13,1.97,2.74,0.0,90.38,2.2,-263.13,94.5,7.63,6.07
2020,1,14,1.86,3.5,0.29,84.69,1.22,-266.51,95.12,5.49,5.24
2020,1,15,2.36,3.44,0.1,77.38,0.73,-267.08,96.3,8.23,7.08
2020,1,16,2.17,6.38,0.0,78.06,1.16,-256.67,96.24,12.0,9.86
2020,1,17,1.45,7.42,1.56,81.31,2.2,-261.43,94.5,13.38,12.17
2020,1,18,2.56,6.48,0.01,64.25,0.79,-263.12,95.97,8.35,7.44
2020,1,19,2.37,2.88,0.0,72.5,0.67,-264.13,96.81,5.65,3.55
2020,1,20,2.58,3.27,0.0,77.0,1.04,-260.38,96.52,8.41,6.01
2020,1,21,1.74,2.87,0.0,93.81,3.11,-260.65,94.59,7.12,5.07
2020,1,22,2.08,2.64,1.76,97.25,4.15,-266.8,94.39,6.04,2.98
2020,1,23,1.85,3.57,1.16,85.06,2.62,-265.66,95.34,5.39,4.47
2020,1,24,1.82,1.12,0.24,88.0,2.14,-264.64,95.27,5.76,2.74
2020,1,25,2.12,1.78,0.02,91.94,3.36,-259.48,94.78,8.0,4.34
2020,1,26,2.24,3.95,0.01,83.94,3.3,-264.99,94.86,5.39,4.44
2020,1,27,1.68,1.0,0.05,87.06,2.87,-268.02,95.27,4.28,2.78
2020,1,28,1.86,1.2,1.14,89.25,3.48,-264.83,95.13,4.56,2.7
2020,1,29,2.2,0.93,0.01,82.06,2.99,-265.12,95.2,4.7,2.67
2020,1,30,2.33,3.25,0.7,88.75,3.66,-263.01,94.73,11.23,8.7
2020,1,31,2.64,3.2,0.11,79.75,3.05,-266.2,95.05,7.46,6.43
2020,2,1,2.68,5.03,0.15,76.69,4.33,-259.2,94.26,8.24,6.43
2020,2,2,2.79,4.34,0.0,75.81,3.72,-262.04,94.37,7.52,5.53
2020,2,3,2.06,3.98,0.0,59.94,1.89,-268.21,95.11,5.33,4.52
2020,2,4,2.94,2.52,0.0,57.0,1.71,-265.86,95.71,7.27,4.54
2020,2,5,3.16,3.38,0.0,64.19,2.08,-265.38,94.55,4.99,4.78
2020,2,6,2.37,3.95,0.16,83.75,2.62,-263.91,93.74,4.08,4.27
2020,2,7,2.78,2.2,0.03,75.88,1.59,-266.35,94.78,5.47,4.55
2020,2,8,2.71,4.4,2.43,82.88,2.38,-261.22,94.5,5.82,6.06
2020,2,9,2.35,3.86,0.85,77.06,2.26,-265.36,95.32,6.37,6.53
2020,2,10,2.32,4.74,0.04,74.44,2.32,-262.93,95.23,5.31,6.02
2020,2,11,3.0,3.96,0.0,67.19,2.14,-261.07,94.91,3.16,4.45
2020,2,12,2.48,5.8,1.4,63.81,1.46,-253.91,95.35,14.05,11.96
2020,2,13,2.7,1.87,0.0,66.44,0.61,-262.11,96.02,9.15,6.42
2020,2,14,3.02,3.78,0.0,75.12,2.62,-248.96,94.36,5.12,3.95
2020,2,15,3.28,3.52,0.0,72.06,2.93,-262.24,94.86,8.05,6.22
2020,2,16,3.2,1.98,0.0,69.25,2.99,-261.49,94.5,7.73,3.9
2020,2,17,2.83,3.75,0.01,78.31,2.69,-266.41,95.0,4.98,5.09
2020,2,18,2.51,2.92,0.18,75.5,1.71,-266.71,96.23,4.22,4.8
