YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,0.67,1.85,4.97,81.5,2.87,-265.45,81.02,3.86,2.5
2020,1,2,1.69,1.9,1.52,88.0,2.81,-265.0,81.25,5.24,4.26
2020,1,3,2.25,1.18,0.02,78.94,2.81,-263.6,82.13,3.75,2.4
2020,1,4,2.0,1.94,0.0,57.31,2.56,-262.71,82.18,7.73,5.51
2020,1,5,2.24,2.23,0.0,77.19,2.87,-264.19,82.17,6.62,5.25
2020,1,6,2.79,1.15,0.0,59.19,2.08,-264.94,82.55,3.43,2.14
2020,1,7,2.85,2.34,0.02,49.88,2.26,-260.38,82.02,6.41,3.86
2020,1,8,1.44,2.25,0.31,56.75,2.5,-267.58,80.94,9.33,5.28
2020,1,9,2.05,1.21,0.29,72.19,2.69,-266.42,80.93,3.13,1.49
2020,1,10,2.76,1.57,0.11,69.69,1.77,-264.28,81.68,4.12,2.46
2020,1,11,2.15,1.9,0.9,65.88,2.26,-261.9,81.16,4.25,3.92
2020,1,12,1.39,1.95,0.52,80.44,2.5,-267.61,81.14,4.86,4.57
2020,1,13,2.47,3.02,0.49,68.94,2.56,-264.82,81.08,7.51,3.74
2020,1,14,2.85,3.02,0.01,69.25,2.69,-263.53,81.08,8.12,7.32
2020,1,15,3.05,2.19,0.0,54.44,2.2,-262.84,81.52,8.49,5.81
2020,1,16,2.79,4.28,0.03,46.25,2.32,-259.92,81.21,3.16,3.27
2020,1,17,1.66,4.56,1.87,59.56,2.38,-267.01,81.46,14.0,11.28
2020,1,18,2.05,1.2,0.0,48.5,1.83,-263.92,82.34,2.8,2.31
2020,1,19,3.11,2.1,0.0,55.38,2.32,-259.88,82.45,6.19,4.2
2020,1,20,1.15,4.88,0.0,55.88,2.75,-266.3,81.96,2.91,2.91
2020,1,21,1.07,1.89,2.72,82.38,3.97,-267.92,81.43,6.53,3.65
2020,1,22,1.92,1.43,0.37,83.12,3.91,-267.67,81.66,4.25,3.8
2020,1,23,2.41,1.2,0.16,79.06,3.85,-264.1,81.99,2.8,2.66
2020,1,24,1.83,1.24,0.21,65.44,3.48,-264.56,81.63,3.45,2.87
2020,1,25,3.42,0.84,0.01,65.0,3.6,-265.89,81.76,2.48,1.92
2020,1,26,2.89,1.84,0.82,66.44,3.6,-261.67,81.57,3.62,2.17
2020,1,27,2.7,2.23,2.52,75.88,3.3,-267.22,81.86,6.47,5.7
2020,1,28,2.34,1.34,0.27,71.94,3.23,-265.08,81.78,3.12,2.86
2020,1,29,2.37,1.8,1.17,78.69,3.36,-267.36,81.69,4.91,4.58
2020,1,30,2.26,1.8,0.23,82.0,3.17,-265.99,81.97,6.27,5.49
2020,1,31,3.22,1.23,0.0,74.88,2.99,-262.99,82.43,3.32,3.09
2020,2,1,3.62,1.48,0.0,54.56,2.69,-260.87,82.43,3.37,2.28
2020,2,2,3.04,3.61,0.42,36.5,2.44,-258.54,80.8,9.13,6.04
2020,2,3,1.96,5.44,4.05,72.25,1.77,-268.7,80.35,3.27,3.08
2020,2,4,3.09,2.47,1.09,64.88,1.34,-265.97,81.33,5.44,5.09
2020,2,5,2.69,1.6,0.58,78.06,1.77,-264.08,81.42,4.09,3.77
2020,2,6,2.09,2.93,2.08,92.56,3.85,-261.74,81.22,6.36,6.17
2020,2,7,2.38,2.33,0.55,82.0,3.97,-261.77,81.46,7.73,6.44
2020,2,8,4.21,3.34,0.0,63.94,3.23,-260.35,81.07,8.44,7.73
2020,2,9,3.19,1.66,0.01,56.06,2.2,-265.24,81.32,2.46,2.77
2020,2,10,3.97,1.92,0.0,62.19,2.2,-265.63,81.58,5.86,5.41
2020,2,11,4.36,1.73,0.0,54.81,1.65,-260.13,81.59,3.03,3.16
2020,2,12,3.17,1.81,0.01,60.88,2.38,-264.45,81.42,3.4,3.46
2020,2,13,4.46,1.36,0.0,62.75,2.44,-261.88,81.58,3.53,2.23
2020,2,14,4.51,2.43,0.0,42.88,2.32,-261.13,81.4,5.3,5.05
2020,2,15,3.48,1.3,0.01,59.81,2.93,-266.82,81.61,3.59,3.34
2020,2,16,2.24,2.2,0.67,69.69,3.54,-267.2,81.44,5.91,5.39
2020,2,17,4.03,2.18,0.13,59.69,2.38,-265.04,81.52,4.95,4.91
2020,2,18,4.42,1.12,0.04,48.25,1.65,-265.31,81.71,2.27,2.03
2020,2,19,4.9,1.55,0.0,44.5,1.53,-264.15,81.93,4.16,4.02
2020,2,20,5.06,3.05,0.0,41.25,1.28,-256.15,82.31,4.39,4.64
2020,2,21,4.73,2.47,0.0,39.38,1.83,-256.39,82.04,7.05,5.53
2020,2,22,3.32,2.0,1.91,52.88,3.05,-259.81,81.39,4.7,3.52
2020,2,23,4.68,1.95,2.98,62.38,3.23,-261.28,81.4,4.68,4.46
2020,2,24,5.0,3.39,0.4,53.69,1.89,-264.11,81.88,4.83,5.16
2020,2,25,5.04,2.05,0.0,54.25,1.77,-265.01,82.38,4.67,4.14
2020,2,26,5.17,1.22,0.0,46.44,1.89,-262.31,82.48,3.18,2.6
2020,2,27,5.32,1.41,0.0,40.75,2.32,-262.94,82.4,3.98,3.81
2020,2,28,5.17,1.51,0.0,34.69,2.14,-260.51,82.18,5.45,3.41
2020,2,29,4.35,2.48,0.22,46.0,2.81,-261.82,81.26,4.16,3.73
2020,3,1,2.88,2.02,0.83,73.81,3.3,-264.39,80.86,6.87,4.3
2020,3,2,4.6,1.73,0.13,63.62,2.5,-263.7,81.42,5.79,5.38
2020,3,3,4.89,1.93,0.0,56.44,2.99,-262.15,81.62,5.95,5.45
2020,3,4,5.58,1.67,0.0,54.38,3.23,-259.6,81.88,3.89,3.73
2020,3,5,5.49,1.9,0.0,41.38,2.81,-256.57,82.16,7.2,3.26
2020,3,6,5.03,3.22,0.0,38.81,2.99,-255.38,81.77,3.08,3.75
2020,3,7,3.58,3.42,0.08,53.5,4.15,-258.27,81.13,3.73,4.87
2020,3,8,3.03,2.04,2.83,73.88,4.58,-262.75,81.16,5.04,3.4
2020,3,9,4.3,2.22,0.02,55.69,3.23,-260.87,81.66,3.88,3.71
2020,3,10,4.87,1.41,0.02,47.19,3.17,-261.81,81.92,3.84,2.58
2020,3,11,4.47,2.16,2.17,64.12,4.76,-260.69,81.61,6.12,5.62
2020,3,12,5.88,2.16,0.04,53.44,3.54,-260.05,81.33,3.05,3.14
2020,3,13,1.46,2.9,6.24,72.12,3.6,-268.67,80.6,6.01,5.57
2020,3,14,2.98,3.88,0.31,70.88,4.21,-260.28,81.21,5.17,5.86
2020,3,15,5.02,3.42,0.01,59.75,3.85,-256.68,81.42,4.53,5.18
2020,3,16,5.15,1.98,0.0,57.88,3.91,-258.11,81.36,2.84,1.61
2020,3,17,5.63,2.8,0.05,48.88,3.48,-258.75,80.86,5.16,5.35
2020,3,18,4.16,1.81,4.76,74.5,4.21,-264.9,80.67,2.48,2.56
2020,3,19,4.06,2.31,2.91,67.44,3.48,-262.99,80.97,3.76,3.84
2020,3,20,4.56,1.39,5.35,71.25,3.54,-265.78,81.76,1.95,2.01
2020,3,21,3.76,1.43,0.37,56.12,3.05,-263.38,81.67,3.65,3.26
2020,3,22,4.91,1.71,0.01,44.38,2.69,-259.99,81.55,2.76,2.39
2020,3,23,3.41,1.97,0.35,60.56,3.66,-264.55,81.24,3.23,2.21
2020,3,24,4.87,4.13,0.33,57.56,3.97,-258.29,81.21,6.77,6.84
2020,3,25,4.91,3.48,1.14,60.94,3.6,-259.56,80.81,7.48,6.67
2020,3,26,3.89,2.2,1.22,66.56,2.99,-263.71,80.74,5.62,5.49
2020,3,27,5.17,2.75,0.21,53.44,2.2,-266.29,80.9,5.92,5.98
2020,3,28,4.59,1.91,0.08,54.75,2.75,-264.41,81.48,4.09,4.04
2020,3,29,4.6,1.77,0.36,57.94,3.23,-264.8,81.37,2.16,2.26
2020,3,30,5.04,1.98,1.67,61.56,3.42,-259.73,81.67,3.66,2.37
2020,3,31,6.62,3.37,0.0,45.38,3.6,-254.95,81.41,4.44,4.59
2020,4,1,6.19,3.28,0.92,55.44,4.21,-256.63,80.68,10.2,8.28
2020,4,2,5.16,3.3,4.45,50.25,2.08,-263.45,81.22,4.88,5.03
2020,4,3,6.73,2.16,0.0,39.06,1.77,-257.95,81.24,4.2,4.08
2020,4,4,6.44,2.28,0.01,39.81,2.75,-257.13,80.79,5.92,2.63
2020,4,5,4.86,3.55,0.06,50.25,4.09,-260.02,80.64,3.09,4.7
2020,4,6,4.36,3.02,0.0,49.75,3.91,-260.64,81.02,6.22,5.62
2020,4,7,6.83,2.22,0.0,44.88,3.72,-258.23,81.59,3.3,3.73
2020,4,8,6.94,2.09,0.0,40.12,3.6,-255.31,81.51,3.41,3.06
2020,4,9,4.58,2.23,1.09,44.38,3.72,-260.5,81.38,6.58,4.47
2020,4,10,7.11,1.61,0.01,39.25,3.11,-254.42,81.32,6.53,5.09
2020,4,11,6.03,2.95,0.19,44.0,4.03,-258.81,80.9,8.66,7.54
2020,4,12,6.5,3.34,0.14,45.56,2.56,-261.51,81.11,7.68,7.1
2020,4,13,5.53,3.2,0.04,37.5,1.65,-264.24,81.51,8.53,7.91
2020,4,14,7.55,2.21,0.0,31.81,1.53,-259.73,81.91,5.85,5.15
2020,4,15,4.94,3.03,0.73,47.62,3.23,-257.65,81.29,5.86,5.63
2020,4,16,4.94,2.63,4.32,63.62,3.36,-263.35,81.35,3.84,4.0
2020,4,17,6.22,1.72,0.02,51.44,2.93,-254.65,81.51,3.17,3.17
2020,4,18,4.58,2.01,2.48,64.25,4.39,-260.01,81.18,4.11,4.19
2020,4,19,5.03,2.18,1.85,63.06,4.7,-259.36,81.29,4.62,4.33
2020,4,20,6.03,0.51,0.04,48.81,4.27,-259.83,81.4,1.78,1.37
2020,4,21,4.99,1.59,0.03,46.62,4.27,-260.65,81.46,4.74,4.02
2020,4,22,6.66,2.65,0.07,46.19,4.27,-261.03,81.79,6.07,5.59
2020,4,23,4.95,3.32,0.15,55.5,5.07,-261.66,81.62,4.98,5.27
2020,4,24,7.76,2.11,0.0,43.75,3.42,-258.92,81.9,5.45,5.15
2020,4,25,7.4,1.33,0.01,35.56,3.91,-259.29,81.95,5.59,3.95
2020,4,26,5.78,2.51,0.01,39.0,5.0,-259.51,81.59,3.46,3.57
2020,4,27,6.87,3.2,0.0,40.19,5.0,-254.92,81.61,5.91,5.72
2020,4,28,7.71,2.14,0.0,45.38,5.31,-258.98,82.09,5.61,5.25
2020,4,29,7.91,1.64,0.0,32.44,4.46,-251.77,81.96,5.28,3.88
2020,4,30,6.34,3.07,0.39,38.81,6.53,-259.92,81.39,8.09,7.13
2020,5,1,6.88,2.23,0.47,50.75,6.53,-260.59,81.4,3.36,2.95
2020,5,2,6.14,2.69,0.58,49.5,5.92,-257.02,81.4,5.58,5.55
2020,5,3,6.51,2.67,0.24,45.19,5.43,-259.95,81.4,5.95,5.73
2020,5,4,8.28,2.02,0.01,42.5,3.6,-260.63,81.99,4.41,4.23
2020,5,5,8.26,1.77,0.0,24.0,2.38,-253.13,82.07,5.78,3.47
2020,5,6,6.05,3.43,0.0,25.88,3.05,-255.85,81.8,2.4,3.56
2020,5,7,8.64,2.59,0.0,30.94,2.38,-258.24,82.06,4.86,4.87
2020,5,8,8.72,2.26,0.0,29.44,2.5,-251.53,81.86,5.16,4.07
2020,5,9,8.47,2.28,0.0,27.44,3.05,-253.49,81.81,7.27,5.72
2020,5,10,5.56,2.96,0.04,29.0,4.15,-254.06,81.51,6.46,5.8
2020,5,11,6.79,4.59,1.14,38.44,5.43,-257.31,81.11,5.35,6.23
2020,5,12,7.13,4.83,0.03,27.44,3.54,-257.02,80.84,5.34,6.83
2020,5,13,6.02,2.18,0.0,53.69,5.74,-261.34,81.1,5.17,4.8
2020,5,14,6.99,1.97,0.0,45.44,5.37,-261.35,81.28,5.95,5.7
2020,5,15,5.98,1.95,0.0,50.0,5.19,-263.63,81.5,3.15,3.24
2020,5,16,6.36,1.51,0.0,40.88,4.76,-259.06,81.54,5.59,4.68
2020,5,17,6.5,3.7,0.0,33.81,5.13,-255.93,81.23,5.2,6.13
2020,5,18,8.38,4.12,0.0,30.06,4.52,-255.6,81.12,4.27,5.84
2020,5,19,7.63,4.44,0.0,30.5,3.97,-254.6,80.84,8.91,8.71
2020,5,20,5.88,2.87,0.14,41.81,3.54,-261.06,81.28,4.53,4.6
2020,5,21,8.41,1.6,0.0,33.38,3.42,-258.78,81.44,4.92,3.16
2020,5,22,6.25,3.78,0.17,36.0,3.72,-253.7,80.99,6.15,5.59
2020,5,23,7.44,2.89,1.62,49.69,3.3,-260.01,81.42,4.11,4.26
2020,5,24,7.67,2.45,0.0,43.81,3.6,-259.2,81.63,5.65,5.37
2020,5,25,9.12,2.11,0.0,35.31,3.42,-254.28,81.77,4.01,3.91
2020,5,26,7.23,1.66,0.0,30.62,4.82,-255.13,81.76,3.52,3.55
