YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,0.67,2.36,0.3,97.06,4.82,-270.74,100.53,4.41,3.9
2020,1,2,0.32,5.47,1.08,96.25,5.92,-269.77,99.25,4.69,3.66
2020,1,3,0.85,3.98,1.15,94.44,5.19,-267.34,99.82,3.92,3.09
2020,1,4,0.64,4.26,0.29,95.81,5.31,-270.59,100.88,4.55,3.91
2020,1,5,0.55,3.98,0.29,96.5,5.74,-270.67,100.67,1.34,1.23
2020,1,6,0.26,5.46,1.73,95.5,5.43,-268.96,99.46,5.23,5.16
2020,1,7,0.3,5.38,2.04,96.88,6.23,-265.99,99.3,7.21,5.3
2020,1,8,0.61,3.23,4.49,94.69,5.49,-266.23,99.66,8.25,7.13
2020,1,9,0.43,4.23,10.07,96.06,5.31,-265.57,98.22,9.21,6.55
2020,1,10,0.85,3.24,0.14,96.06,4.52,-268.77,99.88,5.93,4.98
2020,1,11,0.39,6.45,9.71,95.88,6.1,-267.18,99.33,9.94,8.45
2020,1,12,0.71,3.3,4.28,97.0,5.31,-270.29,99.19,5.1,5.23
2020,1,13,0.36,6.38,4.97,95.75,5.31,-268.91,97.91,12.85,9.54
2020,1,14,0.23,5.27,10.71,96.12,5.8,-266.74,96.76,5.72,4.2
2020,1,15,1.08,4.81,0.1,94.5,5.0,-269.76,98.06,2.8,2.25
2020,1,16,0.33,6.2,5.87,96.06,5.86,-266.26,98.64,9.92,7.79
2020,1,17,0.57,3.51,3.58,96.31,5.07,-269.77,98.77,5.82,4.2
2020,1,18,1.13,3.26,0.02,95.31,4.33,-268.45,100.51,2.27,2.72
2020,1,19,0.98,1.9,0.11,98.12,4.03,-269.75,102.16,3.9,1.83
2020,1,20,1.16,2.85,0.11,97.75,4.52,-269.87,102.36,3.62,1.12
2020,1,21,0.63,2.0,0.43,98.0,5.13,-270.4,101.86,2.66,2.07
2020,1,22,0.65,1.48,0.55,98.12,5.92,-268.95,101.52,4.16,2.41
2020,1,23,0.88,1.57,0.43,97.94,5.13,-271.97,100.89,3.27,1.17
2020,1,24,0.45,1.97,0.4,98.56,5.49,-270.99,100.02,2.45,2.37
2020,1,25,0.54,3.06,0.61,97.44,5.13,-271.64,99.36,4.21,3.98
2020,1,26,0.48,3.91,5.4,97.31,5.37,-268.45,98.32,7.91,7.22
2020,1,27,0.99,3.88,2.02,96.94,4.88,-270.38,97.38,4.45,4.05
2020,1,28,0.85,5.53,3.57,94.5,4.46,-270.32,96.95,4.93,3.71
2020,1,29,0.7,5.86,1.04,93.62,5.0,-268.67,98.16,3.04,1.8
2020,1,30,0.78,5.57,0.55,95.12,6.1,-268.81,97.8,8.85,6.84
