YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS2M,PRECTOTCORR,RH2M,QV2M,T2M_RANGE,PS,WS50M_RANGE,WS10M_RANGE
2020,1,1,2.97,3.27,9.2,89.81,15.81,-269.42,100.23,3.18,3.44
2020,1,2,2.66,2.83,7.84,89.75,15.56,-269.68,100.22,1.55,1.84
2020,1,3,3.27,2.48,1.75,86.75,14.89,-269.32,100.1,1.74,1.98
2020,1,4,3.66,2.2,1.29,85.31,14.16,-269.27,99.93,1.15,1.59
2020,1,5,4.89,2.05,1.12,83.62,13.98,-268.45,99.85,2.11,2.02
2020,1,6,4.99,1.66,0.39,85.06,14.71,-267.56,99.79,2.88,2.11
2020,1,7,4.81,1.74,0.81,86.88,15.5,-267.55,99.72,2.99,2.38
2020,1,8,3.01,2.15,5.05,88.38,15.32,-268.77,99.77,0.95,1.24
2020,1,9,4.32,1.85,0.26,83.5,14.4,-268.56,99.69,2.33,2.27
2020,1,10,4.1,1.42,0.26,82.12,13.98,-268.28,99.56,2.19,1.7
2020,1,11,3.96,1.53,0.18,84.31,14.53,-267.76,99.52,2.78,2.45
2020,1,12,4.3,1.8,0.93,85.94,14.77,-268.67,99.6,3.39,2.69
2020,1,13,3.75,2.54,2.0,86.19,14.16,-268.45,99.64,1.45,2.18
2020,1,14,5.46,2.46,0.02,82.19,13.0,-267.94,99.75,1.86,1.86
2020,1,15,5.52,2.32,0.0,78.25,12.33,-266.44,99.68,1.82,0.61
2020,1,16,5.11,1.87,0.1,85.88,14.1,-265.4,99.68,1.31,1.03
2020,1,17,4.83,1.75,0.14,81.25,13.67,-268.07,99.87,0.87,1.0
2020,1,18,5.42,1.95,0.03,82.5,13.43,-267.9,99.82,1.54,1.41
2020,1,19,4.64,2.28,0.13,85.0,13.79,-267.68,99.91,1.19,1.71
2020,1,20,4.99,2.33,0.01,84.12,13.37,-268.55,100.0,1.27,1.38
2020,1,21,5.05,2.2,0.0,80.81,13.0,-267.41,100.01,1.34,1.12
2020,1,22,5.15,2.12,0.0,81.06,13.12,-266.05,99.82,1.4,1.34
2020,1,23,5.39,2.45,0.0,86.56,14.47,-264.91,99.64,2.27,2.05
2020,1,24,4.73,2.95,0.0,87.19,14.95,-266.55,99.63,2.52,2.54
2020,1,25,4.15,2.93,0.0,86.81,14.89,-264.08,99.37,2.48,2.43
2020,1,26,1.69,3.3,1.95,88.31,13.49,-270.12,99.53,7.67,6.11
2020,1,27,1.09,2.17,1.46,89.31,13.43,-270.06,99.5,2.04,1.45
2020,1,28,1.21,2.48,3.62,89.06,13.24,-269.81,99.68,3.6,3.1
2020,1,29,0.94,2.74,4.09,88.06,12.33,-269.9,99.97,1.65,2.37
2020,1,30,1.61,2.66,0.7,83.0,11.23,-269.51,100.04,3.21,2.52
2020,1,31,3.81,2.12,0.03,80.81,11.35,-267.98,100.03,2.09,1.45
2020,2,1,4.37,2.46,0.01,81.44,12.02,-267.45,99.96,0.7,1.44
2020,2,2,5.86,2.02,0.0,81.31,12.39,-266.23,100.01,2.21,2.01
2020,2,3,5.83,2.06,0.0,83.44,13.12,-266.02,99.87,2.84,2.32
2020,2,4,5.61,2.09,0.0,82.31,13.31,-267.32,99.82,1.12,1.18
2020,2,5,5.27,2.09,0.0,79.38,12.57,-267.17,99.83,1.52,1.45
2020,2,6,5.42,2.28,0.0,81.81,12.76,-265.88,99.79,2.13,1.89
2020,2,7,5.01,1.66,0.01,83.44,13.06,-265.49,99.93,1.88,1.47
2020,2,8,4.75,2.3,0.05,83.12,13.79,-267.88,100.11,2.08,2.04
2020,2,9,3.73,2.94,0.2,83.5,13.43,-268.93,100.23,1.55,2.32
2020,2,10,2.23,2.61,0.51,84.56,13.55,-268.66,100.06,2.06,1.94
2020,2,11,3.18,2.04,0.14,86.19,14.77,-267.13,99.91,1.29,1.59
2020,2,12,4.96,2.06,0.0,88.06,16.05,-266.39,99.72,2.68,2.34
2020,2,13,5.46,2.34,0.0,85.88,16.97,-264.06,99.41,1.93,1.26
2020,2,14,5.19,2.3,0.11,85.0,17.64,-265.0,99.15,3.23,2.38
2020,2,15,5.72,1.96,0.01,82.38,16.91,-262.87,99.26,3.73,2.79
2020,2,16,1.36,3.19,1.81,86.69,14.4,-266.61,99.84,8.88,7.73
2020,2,17,1.17,2.64,3.97,86.19,12.39,-269.42,100.32,2.2,2.95
2020,2,18,1.58,2.56,4.17,85.69,12.33,-269.52,100.32,2.72,2.06
2020,2,19,4.09,2.28,0.98,84.31,13.12,-267.88,100.2,1.08,1.55
2020,2,20,4.92,2.61,0.23,83.38,13.12,-267.63,100.18,2.46,2.59
2020,2,21,4.66,2.62,0.43,84.38,13.24,-268.17,100.4,2.05,2.65
2020,2,22,4.09,2.77,0.77,85.31,13.43,-268.37,100.42,2.72,3.08
2020,2,23,5.27,2.1,0.07,79.94,12.27,-267.75,100.26,2.23,1.98
2020,2,24,6.14,1.65,0.01,80.88,12.63,-266.95,99.97,1.62,1.6
2020,2,25,6.0,1.41,0.02,84.0,13.73,-266.77,99.8,3.76,3.33
2020,2,26,5.07,1.59,0.0,86.56,15.01,-267.38,99.82,3.09,2.68
2020,2,27,4.49,1.86,0.0,84.75,14.71,-267.38,99.79,3.59,2.34
2020,2,28,5.66,1.83,0.0,84.81,14.77,-266.93,99.65,2.97,2.1
2020,2,29,5.65,1.77,0.0,87.88,15.81,-266.68,99.48,2.62,2.31
2020,3,1,5.75,1.84,0.0,87.62,16.17,-266.17,99.48,1.8,1.39
2020,3,2,5.79,2.35,0.1,87.19,16.05,-266.48,99.53,2.48,2.36
2020,3,3,4.6,2.7,1.02,87.06,15.93,-267.42,99.54,1.81,2.37
2020,3,4,3.8,2.46,8.79,86.88,15.75,-267.51,99.52,1.62,2.23
2020,3,5,2.14,1.94,14.76,88.06,15.87,-267.95,99.65,1.27,1.66
2020,3,6,2.64,1.48,2.69,89.88,15.99,-269.3,99.63,1.01,1.07
2020,3,7,6.03,1.44,0.05,84.12,16.78,-264.11,99.4,3.52,2.3
2020,3,8,5.67,1.19,0.0,79.0,17.21,-263.68,99.07,4.56,3.05
2020,3,9,6.18,1.23,0.0,77.25,17.27,-263.44,98.91,3.89,2.38
2020,3,10,4.43,1.8,0.09,82.31,17.64,-264.41,99.2,4.56,3.25
2020,3,11,2.69,2.05,0.12,86.5,16.6,-266.2,99.51,4.88,3.76
2020,3,12,5.73,2.27,0.01,85.5,17.27,-265.6,99.48,2.31,1.9
2020,3,13,5.91,1.87,0.01,85.56,18.19,-266.3,99.47,2.86,2.0
2020,3,14,3.36,1.57,0.34,88.62,17.64,-267.81,99.59,1.73,1.54
2020,3,15,3.71,1.5,0.8,86.56,16.6,-267.92,99.68,1.85,1.62
2020,3,16,4.24,2.52,0.85,89.31,17.15,-267.46,99.68,3.32,3.13
2020,3,17,4.05,2.41,0.37,88.12,16.78,-267.95,99.66,1.45,1.89
2020,3,18,3.95,2.29,0.15,88.62,16.78,-268.34,99.45,1.99,1.84
2020,3,19,4.89,2.12,0.03,86.75,17.33,-265.46,99.35,2.38,1.93
2020,3,20,3.1,2.34,0.07,86.94,17.4,-267.55,99.44,3.28,2.68
2020,3,21,5.88,2.5,0.09,84.44,16.42,-265.06,99.46,3.73,2.87
2020,3,22,5.95,2.55,0.01,86.69,16.91,-265.36,99.41,0.89,1.23
2020,3,23,5.26,2.42,0.01,85.88,16.48,-266.35,99.41,1.26,1.59
2020,3,24,5.32,2.57,0.26,87.38,16.78,-268.52,99.36,2.09,2.34
2020,3,25,5.14,2.87,0.03,86.62,17.21,-266.45,99.24,1.93,2.16
2020,3,26,5.19,2.58,0.04,85.19,17.7,-265.91,99.29,2.65,2.39
2020,3,27,5.9,2.12,0.07,83.44,18.19,-265.08,99.26,3.27,1.77
2020,3,28,5.53,2.32,0.17,83.81,18.43,-265.13,99.17,2.09,1.23
2020,3,29,5.27,2.88,0.01,85.19,17.94,-266.6,99.12,1.9,1.64
2020,3,30,5.63,2.08,0.03,80.88,18.25,-263.35,99.05,2.59,1.44
2020,3,31,5.48,1.51,0.16,82.06,18.43,-264.9,99.15,2.52,1.63
2020,4,1,2.48,1.92,0.16,86.94,18.55,-266.64,99.31,5.07,3.62
2020,4,2,4.38,2.78,0.09,86.19,17.21,-266.1,99.41,2.16,2.3
2020,4,3,5.28,2.54,0.09,87.75,17.94,-267.08,99.44,3.16,2.59
2020,4,4,4.43,2.32,0.32,87.56,17.64,-267.25,99.55,2.38,2.4
2020,4,5,4.25,1.53,0.08,86.12,17.15,-267.21,99.62,2.45,2.2
2020,4,6,1.3,1.59,0.14,85.69,17.03,-267.17,99.49,4.04,2.75
2020,4,7,1.83,2.25,0.15,85.12,16.24,-266.73,99.44,3.39,2.82
2020,4,8,2.21,1.87,0.1,85.94,16.54,-267.36,99.51,2.58,1.98
2020,4,9,1.99,1.83,0.12,87.5,17.03,-267.37,99.6,2.05,1.94
2020,4,10,4.28,1.48,0.24,87.94,17.76,-267.31,99.61,4.35,3.1
2020,4,11,5.66,1.48,0.36,85.12,17.94,-266.11,99.51,2.34,1.78
2020,4,12,3.97,2.2,22.55,88.62,18.13,-267.8,99.55,5.15,3.98
2020,4,13,1.61,2.43,14.75,84.88,14.47,-270.7,99.76,3.95,3.3
2020,4,14,2.03,1.92,3.84,84.44,15.14,-268.29,99.73,2.2,2.27
2020,4,15,4.01,1.82,0.49,84.62,15.81,-268.42,99.6,2.95,2.62
2020,4,16,5.61,2.17,0.17,87.44,17.15,-267.45,99.4,1.41,1.23
2020,4,17,5.02,1.93,1.07,87.12,17.15,-268.02,99.4,3.7,2.97
2020,4,18,4.48,1.53,1.61,80.44,17.03,-264.71,99.41,2.22,1.45
2020,4,19,6.67,1.7,0.03,82.56,18.19,-264.04,99.25,3.6,2.27
2020,4,20,6.04,1.99,0.17,85.81,19.17,-265.54,99.25,2.13,1.11
2020,4,21,5.36,2.04,0.51,83.62,19.04,-266.04,99.18,1.7,1.3
2020,4,22,4.51,2.16,6.31,86.31,19.23,-267.44,99.2,2.92,2.68
2020,4,23,4.29,1.91,7.31,85.19,18.55,-266.6,99.46,2.02,2.14
2020,4,24,1.2,1.72,49.45,90.94,18.25,-270.2,99.57,3.09,2.48
2020,4,25,1.57,2.38,16.47,88.75,17.76,-268.88,99.62,2.76,2.86
2020,4,26,1.59,2.55,6.31,86.06,16.85,-268.6,99.73,1.93,2.51
2020,4,27,1.67,2.08,2.98,85.88,16.36,-268.1,99.78,1.8,2.27
2020,4,28,4.89,1.63,0.43,83.75,15.75,-267.79,99.7,1.83,1.8
2020,4,29,6.12,1.48,0.69,82.25,16.36,-267.29,99.6,1.98,1.77
2020,4,30,5.61,1.52,0.76,84.38,17.46,-266.64,99.52,2.4,1.88
2020,5,1,6.26,1.76,0.12,84.88,17.94,-265.95,99.32,2.46,2.13
2020,5,2,6.33,2.05,0.04,83.88,18.19,-265.35,99.11,2.19,1.46
2020,5,3,6.32,1.66,0.0,84.25,18.49,-264.7,99.07,2.6,1.94
2020,5,4,5.69,1.74,0.0,81.88,18.68,-263.57,99.11,1.45,0.99
2020,5,5,6.83,1.74,0.0,81.69,18.98,-265.04,99.02,2.56,1.62
2020,5,6,6.2,1.78,0.0,79.94,19.47,-262.54,98.9,3.33,1.84
2020,5,7,6.65,1.6,0.0,81.5,20.2,-264.04,98.84,2.63,1.88
2020,5,8,6.41,0.99,0.03,85.38,21.24,-267.45,98.84,2.41,1.66
2020,5,9,6.08,0.77,0.07,85.12,21.24,-267.14,98.98,2.62,1.8
2020,5,10,6.57,1.27,0.01,83.0,20.63,-265.54,99.05,2.27,1.45
2020,5,11,6.09,1.61,0.0,78.88,18.62,-264.99,99.11,0.73,0.7
2020,5,12,6.15,1.34,0.08,82.56,18.92,-266.66,99.19,1.7,1.05
2020,5,13,6.63,1.73,0.4,85.12,19.41,-265.99,99.19,2.71,2.03
2020,5,14,6.31,1.66,0.26,80.44,18.49,-264.95,99.14,2.02,1.23
2020,5,15,5.73,1.62,0.04,80.38,18.8,-264.06,98.88,2.53,1.31
2020,5,16,6.65,1.65,0.68,80.75,19.29,-263.88,98.82,2.74,1.57
2020,5,17,5.84,1.51,0.39,79.69,19.59,-264.3,98.68,3.16,1.5
2020,5,18,6.08,1.13,3.6,84.44,20.02,-267.85,98.66,3.19,1.98
2020,5,19,5.99,1.48,1.1,77.44,19.78,-263.49,98.7,3.84,2.37
