date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,BGD,Asia,Bangladesh,0.0,,0.0,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-04,BGD,Asia,Bangladesh,0.0,,0.0,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-05,BGD,Asia,Bangladesh,0.0,,0.0,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-06,BGD,Asia,Bangladesh,0.0,,0.0,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-07,BGD,Asia,Bangladesh,0.0,,0.0,,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-08,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-09,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-10,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-11,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-12,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-13,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-14,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-15,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-16,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-17,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-18,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-19,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-20,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-21,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-22,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,8.33,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
2020-01-23,BGD,Asia,Bangladesh,0.0,0.0,0.0,0.0,,,,,,,,8.33,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,171186368.0
