date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,EST,Europe,Estonia,0.0,,0.0,,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-04,EST,Europe,Estonia,0.0,,0.0,,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-05,EST,Europe,Estonia,0.0,,0.0,,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-06,EST,Europe,Estonia,0.0,,0.0,,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-07,EST,Europe,Estonia,0.0,,0.0,,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-08,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-09,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-10,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-11,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-12,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-13,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-14,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-15,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-16,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-17,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-18,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-19,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-20,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
2020-01-21,EST,Europe,Estonia,0.0,0.0,0.0,0.0,,,,,,,,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1326064.0
