date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,GMB,Africa,Gambia,0.0,,0.0,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-04,GMB,Africa,Gambia,0.0,,0.0,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-05,GMB,Africa,Gambia,0.0,,0.0,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-06,GMB,Africa,Gambia,0.0,,0.0,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-07,GMB,Africa,Gambia,0.0,,0.0,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-08,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-09,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-10,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-11,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-12,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-13,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-14,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-15,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-16,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
2020-01-17,GMB,Africa,Gambia,0.0,0.0,0.0,0.0,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,2705995.0
