date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,JPN,Asia,Japan,0.0,,0.0,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-04,JPN,Asia,Japan,0.0,,0.0,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-05,JPN,Asia,Japan,0.0,,0.0,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-06,JPN,Asia,Japan,0.0,,0.0,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-07,JPN,Asia,Japan,0.0,,0.0,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-08,JPN,Asia,Japan,0.0,0.0,0.0,0.0,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-09,JPN,Asia,Japan,0.0,0.0,0.0,0.0,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-10,JPN,Asia,Japan,0.0,0.0,0.0,0.0,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-11,JPN,Asia,Japan,0.0,0.0,0.0,0.0,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
2020-01-12,JPN,Asia,Japan,0.0,0.0,0.0,0.0,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,13.05,84.63,0.919,123951696.0
