date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-01,MEX,North America,Mexico,,,,,0.0,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-02,MEX,North America,Mexico,,,,,0.001,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-03,MEX,North America,Mexico,0.0,,0.0,,0.001,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-04,MEX,North America,Mexico,0.0,,0.0,,0.0,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-05,MEX,North America,Mexico,0.0,,0.0,,0.001,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-06,MEX,North America,Mexico,0.0,,0.0,,0.001,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-07,MEX,North America,Mexico,0.0,,0.0,,0.001,,0.0,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-08,MEX,North America,Mexico,0.0,0.0,0.0,0.0,0.001,0.001,0.0,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-09,MEX,North America,Mexico,0.0,0.0,0.0,0.0,0.002,0.001,0.0,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
2020-01-10,MEX,North America,Mexico,0.0,0.0,0.0,0.0,0.001,0.001,0.0,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,127504120.0
