date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,NGA,Africa,Nigeria,0.0,,0.0,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-04,NGA,Africa,Nigeria,0.0,,0.0,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-05,NGA,Africa,Nigeria,0.0,,0.0,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-06,NGA,Africa,Nigeria,0.0,,0.0,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-07,NGA,Africa,Nigeria,0.0,,0.0,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-08,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-09,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-10,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-11,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-12,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-13,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-14,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-15,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-16,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-17,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-18,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-19,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-20,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-21,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-22,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-23,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-24,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-25,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-26,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-27,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-28,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-29,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-30,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,5.56,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-01-31,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-01,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-02,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-03,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-04,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-05,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-06,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
2020-02-07,NGA,Africa,Nigeria,0.0,0.0,0.0,0.0,,,,,,,,11.11,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,218541216.0
