date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,SVK,Europe,Slovakia,0.0,,0.0,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-04,SVK,Europe,Slovakia,0.0,,0.0,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-05,SVK,Europe,Slovakia,0.0,,0.0,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-06,SVK,Europe,Slovakia,0.0,,0.0,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-07,SVK,Europe,Slovakia,0.0,,0.0,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-08,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-09,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-10,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-11,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-12,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-13,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-14,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-15,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-16,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-17,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-18,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-19,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-20,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-21,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-22,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,0.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-23,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,0.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-24,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,0.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-25,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,0.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-26,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,0.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-27,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-28,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-29,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-30,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-01-31,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-01,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-02,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-03,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-04,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-05,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-06,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-07,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-08,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-09,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-10,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-11,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-12,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-13,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-14,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-15,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-16,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-17,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-18,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-19,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-20,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-21,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-22,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-23,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-24,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-25,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-26,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-27,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-28,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-02-29,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-03-01,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-03-02,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-03-03,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,2.78,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
2020-03-04,SVK,Europe,Slovakia,0.0,0.0,0.0,0.0,,,,,,,,11.11,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,5643455.0
