date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-01-03,TUN,Africa,Tunisia,0.0,,0.0,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-04,TUN,Africa,Tunisia,0.0,,0.0,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-05,TUN,Africa,Tunisia,0.0,,0.0,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-06,TUN,Africa,Tunisia,0.0,,0.0,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-07,TUN,Africa,Tunisia,0.0,,0.0,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-08,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-09,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-10,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-11,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-12,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-13,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-14,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-15,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-16,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-17,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-18,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-19,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-20,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-21,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-22,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-23,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-24,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-25,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-26,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-27,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-28,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-29,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-30,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-01-31,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-01,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-02,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-03,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-04,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-05,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-06,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-07,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-08,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-09,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-10,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-11,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-12,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-13,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-14,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-15,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-16,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-17,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-18,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-19,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-20,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-21,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-22,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-23,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-24,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-25,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-26,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-27,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
2020-02-28,TUN,Africa,Tunisia,0.0,0.0,0.0,0.0,,,,,,,,0.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,12356116.0
