date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,BHR,Asia,Bahrain,169.81,155.74,0.0,0.194,7.491,6.399,0.0245,59351.0,,4.03,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-02,BHR,Asia,Bahrain,161.659,156.128,0.0,0.097,5.386,6.293,0.0258,60097.0,,4.08,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-03,BHR,Asia,Bahrain,184.074,161.659,0.0,0.097,5.999,6.361,0.0268,60689.0,,4.12,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-04,BHR,Asia,Bahrain,199.696,169.324,0.0,0.097,7.186,6.503,0.0275,61612.0,,4.18,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-05,BHR,Asia,Bahrain,195.621,177.669,0.0,0.097,8.387,6.859,0.026,63893.0,,4.34,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-06,BHR,Asia,Bahrain,155.546,177.184,0.0,0.097,7.576,6.979,0.026,68472.0,,4.65,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-07,BHR,Asia,Bahrain,196.3,180.386,0.679,0.097,7.797,7.118,0.0269,72239.0,,4.91,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-08,BHR,Asia,Bahrain,237.054,189.993,0.0,0.097,7.838,7.167,0.0288,78291.0,,5.32,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-09,BHR,Asia,Bahrain,269.658,205.421,0.679,0.194,8.647,7.633,0.0273,84157.0,,5.72,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
2021-01-10,BHR,Asia,Bahrain,194.941,206.974,0.679,0.291,7.396,7.832,0.0259,89250.0,,6.06,,50.93,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1472237.0
