date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,BRA,South America,Brazil,258.456,168.315,5.545,3.089,0.022,1.238,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-02,BRA,South America,Brazil,263.676,166.123,4.988,3.28,0.23,1.223,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-03,BRA,South America,Brazil,114.275,167.21,2.146,3.266,0.124,1.23,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-04,BRA,South America,Brazil,73.507,166.269,1.458,3.271,0.166,0.229,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-05,BRA,South America,Brazil,80.538,165.513,1.361,3.237,0.337,0.244,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-06,BRA,South America,Brazil,92.916,165.154,2.522,3.311,0.304,0.218,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-07,BRA,South America,Brazil,263.095,163.78,5.439,3.351,0.295,0.211,,,,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-08,BRA,South America,Brazil,294.594,168.943,5.768,3.383,0.36,0.26,,,,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-09,BRA,South America,Brazil,407.977,189.557,7.078,3.682,0.245,0.262,,,,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-10,BRA,South America,Brazil,241.671,207.757,4.468,4.013,0.151,0.266,,,,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-11,BRA,South America,Brazil,289.299,238.584,5.439,4.582,0.444,0.305,,,,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-12,BRA,South America,Brazil,138.366,246.845,2.178,4.699,0.034,0.262,,,,,,61.57,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-13,BRA,South America,Brazil,119.927,250.704,2.229,4.657,0.602,0.305,,,,,,64.35,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-14,BRA,South America,Brazil,297.357,255.599,5.155,4.617,0.323,0.309,,,,,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-15,BRA,South America,Brazil,282.839,253.919,5.917,4.638,0.468,0.324,,,,,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-16,BRA,South America,Brazil,314.695,240.593,5.253,4.377,0.326,0.335,,,,,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-17,BRA,South America,Brazil,321.383,251.981,5.346,4.502,0.236,0.348,,112.0,,0.0,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-18,BRA,South America,Brazil,285.941,251.501,4.877,4.422,0.416,0.343,,1109.0,,0.0,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-19,BRA,South America,Brazil,153.451,253.656,2.559,4.477,0.387,0.394,,13527.0,,0.01,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-20,BRA,South America,Brazil,109.937,252.229,2.099,4.458,,0.332,,105824.0,,0.05,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-21,BRA,South America,Brazil,288.389,250.948,5.536,4.512,,0.309,,193699.0,,0.09,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-22,BRA,South America,Brazil,299.029,253.261,6.223,4.556,0.818,0.359,,462269.0,,0.21,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-23,BRA,South America,Brazil,274.572,247.529,6.112,4.679,0.119,0.33,,573268.0,,0.27,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-24,BRA,South America,Brazil,262.65,239.138,5.09,4.642,0.289,0.338,,613954.0,,0.29,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-25,BRA,South America,Brazil,289.503,239.647,5.583,4.743,0.107,0.293,,801759.0,,0.37,,72.69,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-26,BRA,South America,Brazil,131.543,236.518,2.749,4.77,0.587,0.322,,1045746.0,,0.49,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-27,BRA,South America,Brazil,124.544,238.604,2.912,4.887,0.181,0.324,,1327546.0,,0.62,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-28,BRA,South America,Brazil,287.78,238.517,5.638,4.901,8.633,1.533,,1563098.0,,0.73,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-29,BRA,South America,Brazil,295.012,237.943,5.959,4.863,0.427,1.478,,1923813.0,,0.89,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-30,BRA,South America,Brazil,287.074,239.73,6.437,4.91,0.69,1.559,,2046523.0,,0.95,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-01-31,BRA,South America,Brazil,277.855,241.902,5.197,4.925,0.084,1.53,,2084119.0,,0.97,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-01,BRA,South America,Brazil,271.52,239.333,5.94,4.976,0.147,1.536,,2292551.0,,1.06,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-02,BRA,South America,Brazil,128.91,238.957,2.596,4.954,0.173,1.476,,2521704.0,,1.17,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-03,BRA,South America,Brazil,114.21,237.48,2.763,4.933,0.053,1.458,,2802134.0,,1.3,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-04,BRA,South America,Brazil,251.243,232.261,5.62,4.93,,0.226,,3074906.0,,1.43,,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-05,BRA,South America,Brazil,260.095,227.273,5.824,4.911,,0.166,,3399421.0,1962.0,1.58,0.0,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-06,BRA,South America,Brazil,264.14,223.996,5.722,4.809,,0.068,,3534004.0,19677.0,1.64,0.01,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-07,BRA,South America,Brazil,236.269,218.055,5.754,4.889,,0.057,,3579850.0,25688.0,1.66,0.01,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-08,BRA,South America,Brazil,235.145,212.859,4.542,4.689,,0.037,,3786591.0,33616.0,1.76,0.02,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-09,BRA,South America,Brazil,124.679,212.255,2.424,4.664,1.037,0.16,,4069677.0,50655.0,1.89,0.02,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-10,BRA,South America,Brazil,108.86,211.49,2.954,4.691,0.256,0.189,,4326075.0,80760.0,2.01,0.04,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-11,BRA,South America,Brazil,239.121,209.759,6.27,4.784,0.148,0.209,,4586270.0,109866.0,2.13,0.05,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-12,BRA,South America,Brazil,276.815,212.147,6.177,4.835,0.743,0.315,,4946738.0,178468.0,2.3,0.08,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-13,BRA,South America,Brazil,254.243,210.733,6.275,4.914,0.289,0.355,,5042713.0,194230.0,2.34,0.09,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-14,BRA,South America,Brazil,239.4,211.18,5.982,4.946,0.214,0.385,,5076110.0,217869.0,2.36,0.1,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-15,BRA,South America,Brazil,205.742,206.98,4.844,4.989,0.151,0.406,,5324317.0,285620.0,2.47,0.13,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-16,BRA,South America,Brazil,114.99,205.596,3.311,5.116,0.124,0.275,,5326007.0,557532.0,2.47,0.26,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-17,BRA,South America,Brazil,149.535,211.407,2.452,5.044,0.504,0.311,,5482925.0,723755.0,2.55,0.34,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-18,BRA,South America,Brazil,256.7,213.918,5.42,4.923,0.158,0.312,,5640483.0,894673.0,2.62,0.42,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-19,BRA,South America,Brazil,263.643,212.036,5.341,4.804,0.508,0.278,,5756361.0,1056807.0,2.67,0.49,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-20,BRA,South America,Brazil,240.946,210.137,6.349,4.814,0.598,0.322,,5817908.0,1132894.0,2.7,0.53,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-21,BRA,South America,Brazil,237.096,209.808,6.075,4.828,0.133,0.311,,5857080.0,1171276.0,2.72,0.54,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-22,BRA,South America,Brazil,266.922,218.548,5.629,4.94,0.042,0.295,,6002873.0,1294188.0,2.79,0.6,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-23,BRA,South America,Brazil,134.808,221.379,2.448,4.816,0.581,0.361,,6116082.0,1435594.0,2.84,0.67,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-24,BRA,South America,Brazil,125.334,217.921,2.968,4.89,0.083,0.3,,6202055.0,1596945.0,2.88,0.74,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-25,BRA,South America,Brazil,291.273,222.86,6.437,5.035,0.624,0.367,,6346769.0,1755018.0,2.95,0.82,73.61,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
2021-02-26,BRA,South America,Brazil,309.261,229.377,6.632,5.22,0.37,0.347,,6437836.0,1884206.0,2.99,0.88,76.39,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,215313504.0
