date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,DNK,Europe,Denmark,382.336,416.215,7.14,4.323,5.47,13.129,0.0308,31317.0,1.0,0.53,0.0,51.85,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-02,DNK,Europe,Denmark,416.677,403.076,4.08,4.42,12.547,13.388,0.0298,38319.0,1.0,0.65,0.0,51.85,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-03,DNK,Europe,Denmark,273.874,397.661,3.91,4.517,11.209,13.35,0.0281,42791.0,1.0,0.73,0.0,51.85,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-04,DNK,Europe,Denmark,198.903,373.132,4.93,4.712,18.339,13.231,0.0276,45010.0,1.0,0.77,0.0,67.59,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-05,DNK,Europe,Denmark,352.926,363.344,2.55,4.347,18.034,12.93,0.027,56138.0,1.0,0.95,0.0,67.59,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-06,DNK,Europe,Denmark,338.645,348.068,5.27,4.566,16.575,12.58,0.0267,71981.0,1.0,1.22,0.0,67.59,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-07,DNK,Europe,Denmark,376.726,334.298,5.1,4.712,14.762,13.848,0.0235,85978.0,2.0,1.46,0.0,67.59,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-08,DNK,Europe,Denmark,313.145,324.414,6.29,4.59,13.079,14.935,0.0205,92782.0,3.0,1.58,0.0,67.59,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-09,DNK,Europe,Denmark,282.205,305.203,5.1,4.736,9.142,14.449,0.0214,94544.0,5.0,1.61,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-10,DNK,Europe,Denmark,296.315,308.409,4.25,4.784,8.328,14.037,0.0222,95364.0,5.0,1.62,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-11,DNK,Europe,Denmark,211.823,310.255,4.76,4.76,14.128,13.436,0.0217,96028.0,5.0,1.63,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-12,DNK,Europe,Denmark,210.633,289.927,4.59,5.052,14.723,12.963,0.0207,96498.0,7.0,1.64,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-13,DNK,Europe,Denmark,182.923,267.681,4.42,4.93,13.471,12.519,0.0198,107697.0,13.0,1.83,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-14,DNK,Europe,Denmark,230.864,246.844,6.29,5.1,18.232,13.015,0.0156,122975.0,14.0,2.09,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-15,DNK,Europe,Denmark,255.344,238.587,7.31,5.246,17.237,13.609,0.0158,135746.0,20.0,2.31,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-16,DNK,Europe,Denmark,112.032,214.276,2.89,4.93,13.214,14.19,0.0137,139559.0,30.0,2.37,0.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-17,DNK,Europe,Denmark,149.432,193.293,4.59,4.979,12.858,14.838,0.0125,141450.0,567.0,2.4,0.01,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-18,DNK,Europe,Denmark,151.132,184.623,4.76,4.979,19.028,15.537,0.0113,144626.0,2278.0,2.46,0.04,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-19,DNK,Europe,Denmark,137.192,174.131,5.1,5.052,21.384,16.489,0.0101,146748.0,3931.0,2.49,0.07,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-20,DNK,Europe,Denmark,123.082,165.583,5.44,5.197,19.931,17.412,0.0089,148037.0,5429.0,2.52,0.09,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-21,DNK,Europe,Denmark,150.622,154.12,5.95,5.149,21.647,17.9,0.0097,149369.0,7324.0,2.54,0.12,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-22,DNK,Europe,Denmark,129.202,136.099,6.29,5.003,19.328,18.199,0.0077,149962.0,11979.0,2.55,0.2,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-23,DNK,Europe,Denmark,131.412,138.868,5.44,5.367,13.97,18.307,0.0076,150557.0,17376.0,2.56,0.3,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-24,DNK,Europe,Denmark,149.432,138.868,4.76,5.392,13.675,18.423,0.0074,151048.0,22283.0,2.57,0.38,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-25,DNK,Europe,Denmark,128.182,135.589,2.38,5.052,21.691,18.804,0.007,151314.0,24300.0,2.57,0.41,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-26,DNK,Europe,Denmark,106.252,131.169,4.59,4.979,21.164,18.772,0.0069,151520.0,25738.0,2.58,0.44,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-27,DNK,Europe,Denmark,110.842,129.421,3.4,4.687,20.096,18.796,0.0065,151732.0,29382.0,2.58,0.5,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-28,DNK,Europe,Denmark,100.642,122.281,3.4,4.323,23.699,19.089,0.0063,151968.0,36657.0,2.58,0.62,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-29,DNK,Europe,Denmark,71.911,114.096,3.57,3.934,20.186,19.211,0.0059,152929.0,52060.0,2.6,0.89,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-30,DNK,Europe,Denmark,119.172,112.348,2.21,3.473,14.207,19.245,0.0053,153939.0,62401.0,2.62,1.06,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-01-31,DNK,Europe,Denmark,73.271,101.467,3.74,3.327,13.246,19.184,0.0048,154982.0,72120.0,2.63,1.23,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-01,DNK,Europe,Denmark,64.091,92.311,3.23,3.449,21.881,19.211,0.0047,155673.0,79042.0,2.65,1.34,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-02,DNK,Europe,Denmark,82.961,88.984,3.4,3.279,20.417,19.104,0.0044,157292.0,81650.0,2.67,1.39,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-03,DNK,Europe,Denmark,67.491,82.791,2.55,3.157,19.673,19.044,0.0042,158414.0,87118.0,2.69,1.48,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-04,DNK,Europe,Denmark,72.251,78.736,1.7,2.914,25.355,19.281,0.004,159535.0,96586.0,2.71,1.64,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-05,DNK,Europe,Denmark,94.012,81.893,2.38,2.744,22.685,19.638,0.0039,160907.0,108066.0,2.74,1.84,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-06,DNK,Europe,Denmark,74.461,75.505,2.89,2.841,15.591,19.836,0.0038,161769.0,113740.0,2.75,1.93,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-07,DNK,Europe,Denmark,70.211,75.068,2.38,2.647,13.488,19.87,0.0039,163279.0,116781.0,2.78,1.99,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-08,DNK,Europe,Denmark,73.951,76.477,0.17,2.21,22.003,19.887,0.0038,165325.0,122888.0,2.81,2.09,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-09,DNK,Europe,Denmark,73.101,75.068,0.0,1.724,20.281,19.868,0.0038,168321.0,127062.0,2.86,2.16,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-10,DNK,Europe,Denmark,62.221,74.315,4.76,2.04,21.004,20.058,0.0038,171339.0,130441.0,2.91,2.22,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-11,DNK,Europe,Denmark,79.901,75.408,1.87,2.064,26.125,20.168,0.0037,176725.0,132644.0,3.0,2.25,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-12,DNK,Europe,Denmark,81.261,73.587,2.38,2.064,22.473,20.138,0.0037,187928.0,139943.0,3.19,2.38,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-13,DNK,Europe,Denmark,72.761,73.344,1.87,1.919,15.391,20.109,0.0035,193781.0,140748.0,3.29,2.39,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-14,DNK,Europe,Denmark,46.581,69.968,0.68,1.676,14.51,20.255,0.0033,199383.0,141278.0,3.39,2.4,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-15,DNK,Europe,Denmark,50.151,66.568,1.36,1.846,22.324,20.301,0.0033,211473.0,144251.0,3.6,2.45,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-16,DNK,Europe,Denmark,74.291,66.738,1.53,2.064,21.284,20.444,0.0033,223163.0,145477.0,3.79,2.47,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-17,DNK,Europe,Denmark,65.281,67.175,1.19,1.554,21.204,20.473,0.0032,232488.0,145837.0,3.95,2.48,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-18,DNK,Europe,Denmark,70.381,65.815,1.36,1.481,26.273,20.494,0.0032,243059.0,146137.0,4.13,2.48,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-19,DNK,Europe,Denmark,79.561,65.572,0.51,1.214,22.0,20.427,0.0034,255829.0,147004.0,4.35,2.5,66.67,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-20,DNK,Europe,Denmark,93.841,68.584,1.36,1.141,16.676,20.61,0.0036,265116.0,147493.0,4.51,2.51,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-21,DNK,Europe,Denmark,78.881,73.198,1.02,1.19,16.555,20.902,0.0038,274760.0,147815.0,4.67,2.51,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-22,DNK,Europe,Denmark,84.321,78.08,0.85,1.117,25.422,21.345,0.0037,287175.0,148847.0,4.88,2.53,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-23,DNK,Europe,Denmark,76.501,78.396,0.85,1.02,23.85,21.711,0.0038,300515.0,150564.0,5.11,2.56,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-24,DNK,Europe,Denmark,89.931,81.917,0.0,0.85,23.214,21.999,0.0039,313224.0,152100.0,5.32,2.59,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-25,DNK,Europe,Denmark,88.911,84.564,0.34,0.704,28.805,22.36,0.0039,327218.0,152638.0,5.56,2.59,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-26,DNK,Europe,Denmark,102.512,87.843,1.02,0.777,26.197,22.96,0.0038,361402.0,153609.0,6.14,2.61,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-27,DNK,Europe,Denmark,90.101,87.309,0.34,0.631,20.547,23.513,0.0038,367541.0,154734.0,6.25,2.63,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
2021-02-28,DNK,Europe,Denmark,88.401,88.669,0.85,0.607,20.181,24.031,0.0037,377587.0,155864.0,6.42,2.65,62.96,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,5882259.0
