date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,HKG,Asia,Hong Kong,,,,,,5.924,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-02,HKG,Asia,Hong Kong,,,,,,5.871,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-03,HKG,Asia,Hong Kong,,,,,,5.817,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-04,HKG,Asia,Hong Kong,,,,,,5.764,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-05,HKG,Asia,Hong Kong,,,,,,5.711,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-06,HKG,Asia,Hong Kong,,,,,,5.658,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-07,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-08,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-09,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-10,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-11,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-12,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-13,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-14,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-15,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-16,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-17,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-18,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-19,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-20,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-21,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-22,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-23,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-24,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-25,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-26,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-27,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-28,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-29,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-30,HKG,Asia,Hong Kong,,,,,,5.605,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-01-31,HKG,Asia,Hong Kong,,,,,,5.605,0.0012,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-01,HKG,Asia,Hong Kong,,,,,,6.19,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-02,HKG,Asia,Hong Kong,,,,,,6.776,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-03,HKG,Asia,Hong Kong,,,,,,7.362,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-04,HKG,Asia,Hong Kong,,,,,,7.947,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-05,HKG,Asia,Hong Kong,,,,,,8.533,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-06,HKG,Asia,Hong Kong,,,,,,9.119,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-07,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-08,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-09,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-10,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-11,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-12,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-13,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-14,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-15,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-16,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-17,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-18,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-19,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-20,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-21,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-22,HKG,Asia,Hong Kong,,,,,,9.705,,47.0,,0.0,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-23,HKG,Asia,Hong Kong,,,,,,9.705,,579.0,,0.01,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-24,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-25,HKG,Asia,Hong Kong,,,,,,9.705,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-26,HKG,Asia,Hong Kong,,,,,,9.705,,6645.0,,0.09,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-27,HKG,Asia,Hong Kong,,,,,,9.705,,13684.0,1.0,0.18,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-02-28,HKG,Asia,Hong Kong,,,,,,9.705,0.0003,20699.0,1.0,0.28,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-01,HKG,Asia,Hong Kong,,,,,,10.026,,27107.0,1.0,0.36,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-02,HKG,Asia,Hong Kong,,,,,,10.346,,40178.0,1.0,0.54,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-03,HKG,Asia,Hong Kong,,,,,,10.667,,51844.0,3.0,0.69,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-04,HKG,Asia,Hong Kong,,,,,,10.988,,62234.0,3.0,0.83,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-05,HKG,Asia,Hong Kong,,,,,,11.309,,72372.0,3.0,0.97,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-06,HKG,Asia,Hong Kong,,,,,,11.63,,84027.0,4.0,1.12,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-07,HKG,Asia,Hong Kong,,,,,,11.951,,93019.0,5.0,1.24,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-08,HKG,Asia,Hong Kong,,,,,,11.951,,103844.0,5.0,1.39,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-09,HKG,Asia,Hong Kong,,,,,,11.951,,113519.0,6.0,1.52,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-10,HKG,Asia,Hong Kong,,,,,,11.951,,130540.0,7.0,1.74,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-11,HKG,Asia,Hong Kong,,,,,,11.951,,145900.0,7.0,1.95,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-12,HKG,Asia,Hong Kong,,,,,,11.951,,162223.0,7.0,2.17,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-13,HKG,Asia,Hong Kong,,,,,,11.951,,177103.0,8.0,2.36,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
2021-03-14,HKG,Asia,Hong Kong,,,,,,11.951,,190723.0,8.0,2.55,0.0,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,84.86,0.949,7488863.0
