date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,IRN,Asia,Iran,72.162,67.695,1.446,1.476,0.564,0.594,0.1154,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-02,IRN,Asia,Iran,70.988,68.122,1.287,1.447,,0.598,0.1155,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-03,IRN,Asia,Iran,68.266,68.582,1.141,1.394,,0.601,0.1161,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-04,IRN,Asia,Iran,67.306,69.321,1.152,1.366,,0.603,0.1163,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-05,IRN,Asia,Iran,68.582,69.587,1.242,1.349,,0.604,0.116,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-06,IRN,Asia,Iran,69.034,69.595,1.107,1.294,0.617,0.606,0.1158,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-07,IRN,Asia,Iran,70.954,69.613,0.926,1.186,0.613,0.606,0.1157,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-08,IRN,Asia,Iran,71.823,69.565,1.163,1.145,,0.612,0.1143,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-09,IRN,Asia,Iran,70.592,69.508,0.96,1.099,,0.612,0.114,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
2021-01-10,IRN,Asia,Iran,66.9,69.313,0.926,1.068,,0.612,0.114,,,,,72.69,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,88550568.0
