date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,POL,Europe,Poland,276.186,205.057,10.036,7.022,,0.919,0.23,,,,,80.56,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-02,POL,Europe,Poland,174.247,211.857,2.559,7.143,,0.941,0.2331,50391.0,,0.13,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-03,POL,Europe,Poland,143.989,219.244,1.53,7.161,,0.963,0.2352,50833.0,,0.13,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-04,POL,Europe,Poland,111.197,223.62,1.054,7.215,,0.985,0.2344,92220.0,,0.23,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-05,POL,Europe,Poland,191.283,222.581,8.556,7.323,,1.007,0.2292,140226.0,,0.35,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-06,POL,Europe,Poland,355.043,226.867,13.875,7.28,,1.03,0.2295,160359.0,,0.4,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-07,POL,Europe,Poland,302.43,222.054,4.667,6.039,,1.052,0.2199,188956.0,,0.47,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-08,POL,Europe,Poland,220.538,214.104,8.33,5.796,,1.307,0.1708,198787.0,,0.5,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-09,POL,Europe,Poland,264.645,227.018,10.989,7.0,,1.563,0.1518,200022.0,,0.5,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-10,POL,Europe,Poland,236.093,240.176,4.441,7.416,,1.818,0.1373,203053.0,,0.51,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-11,POL,Europe,Poland,115.964,240.857,1.882,7.534,,2.074,0.1213,257834.0,,0.65,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-12,POL,Europe,Poland,139.724,233.491,8.179,7.48,,2.33,0.1044,309620.0,,0.78,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-13,POL,Europe,Poland,227.136,215.219,12.068,7.222,,2.585,0.0868,369212.0,,0.93,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-14,POL,Europe,Poland,236.746,205.835,9.559,7.921,,2.841,0.0755,410480.0,,1.03,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-15,POL,Europe,Poland,195.573,202.269,9.685,8.115,,2.586,0.0817,436963.0,,1.1,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-16,POL,Europe,Poland,185.964,191.029,9.258,7.867,,2.332,0.0851,457303.0,,1.15,,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-17,POL,Europe,Poland,151.918,179.004,3.563,7.742,,2.078,0.0898,468795.0,671.0,1.18,0.0,75.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-18,POL,Europe,Poland,82.068,174.161,1.305,7.659,,1.823,0.0992,491696.0,3468.0,1.23,0.01,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-19,POL,Europe,Poland,121.308,171.53,7.301,7.534,,1.569,0.1141,530055.0,11174.0,1.33,0.03,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-20,POL,Europe,Poland,173.595,163.882,11.115,7.398,,1.315,0.13,566793.0,24992.0,1.42,0.06,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-21,POL,Europe,Poland,179.441,155.695,10.513,7.534,,1.06,0.1526,605313.0,39686.0,1.52,0.1,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-22,POL,Europe,Poland,166.595,151.556,8.681,7.391,,1.034,0.1519,638798.0,45479.0,1.6,0.11,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-23,POL,Europe,Poland,158.616,147.649,8.681,7.308,,1.007,0.1528,654184.0,46980.0,1.64,0.12,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-24,POL,Europe,Poland,117.495,142.731,2.76,7.194,,0.981,0.1515,659753.0,47721.0,1.66,0.12,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
2021-01-25,POL,Europe,Poland,60.692,139.677,0.953,7.143,,0.954,0.1532,701222.0,75765.0,1.76,0.19,71.3,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,39857144.0
