date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,SYC,Africa,Seychelles,382.695,74.672,0.0,0.0,,,,,,,,31.48,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-02,SYC,Africa,Seychelles,65.338,84.006,0.0,0.0,,,,,,,,31.48,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-03,SYC,Africa,Seychelles,93.34,97.34,0.0,0.0,,,,,,,,34.26,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-04,SYC,Africa,Seychelles,112.008,113.342,0.0,0.0,,,,,,,,34.26,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-05,SYC,Africa,Seychelles,242.684,148.011,9.334,1.333,,,,,,,,34.26,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-06,SYC,Africa,Seychelles,224.016,160.012,0.0,1.333,,,,,,,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-07,SYC,Africa,Seychelles,252.018,196.014,0.0,1.333,,,,,,,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-08,SYC,Africa,Seychelles,420.031,201.348,0.0,1.333,,,,,,,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-09,SYC,Africa,Seychelles,280.021,232.017,0.0,1.333,,,,0.0,,0.0,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-10,SYC,Africa,Seychelles,504.037,290.688,0.0,1.333,,,,,,,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-11,SYC,Africa,Seychelles,214.682,305.356,0.0,1.333,,,,,,,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-12,SYC,Africa,Seychelles,476.035,338.692,0.0,0.0,,,,,,,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-13,SYC,Africa,Seychelles,9.334,308.023,0.0,0.0,,,,2000.0,,1.87,,54.63,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
2021-01-14,SYC,Africa,Seychelles,308.023,316.023,0.0,0.0,,,,,,,,49.07,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,107135.0
