date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,CHE,Europe,Switzerland,349.523,375.2,9.382,9.61,1.155,2.438,0.164,6289.0,13.0,0.07,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-02,CHE,Europe,Switzerland,192.667,374.596,8.695,9.823,1.835,2.45,0.166,6293.0,13.0,0.07,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-03,CHE,Europe,Switzerland,311.997,380.643,8.009,9.382,1.422,2.443,0.167,6296.0,13.0,0.07,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-04,CHE,Europe,Switzerland,254.563,382.425,7.665,8.973,3.384,2.451,0.167,9930.0,14.0,0.11,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-05,CHE,Europe,Switzerland,604.887,386.543,5.835,8.434,3.605,2.482,0.165,17028.0,25.0,0.19,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-06,CHE,Europe,Switzerland,478.006,381.885,7.322,8.205,3.107,2.46,0.16,22692.0,32.0,0.26,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-07,CHE,Europe,Switzerland,383.732,367.911,7.208,7.731,3.168,2.525,0.156,29751.0,47.0,0.34,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-08,CHE,Europe,Switzerland,363.482,369.905,7.437,7.453,3.054,2.796,0.15,37629.0,67.0,0.43,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-09,CHE,Europe,Switzerland,349.523,392.313,5.606,7.012,1.818,2.794,0.147,39772.0,72.0,0.46,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
2021-01-10,CHE,Europe,Switzerland,192.896,375.299,7.894,6.995,1.023,2.737,0.144,39805.0,73.0,0.46,0.0,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,8740471.0
