date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2021-01-01,THA,Asia,Thailand,3.891,2.497,0.028,0.006,0.137,0.241,0.0104,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-02,THA,Asia,Thailand,3.013,2.708,0.014,0.008,0.157,0.226,0.012,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-03,THA,Asia,Thailand,4.393,3.094,0.0,0.008,0.198,0.227,0.0136,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-04,THA,Asia,Thailand,10.391,4.292,0.014,0.01,0.326,0.232,0.0186,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-05,THA,Asia,Thailand,7.35,5.033,0.0,0.008,0.439,0.254,0.0199,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-06,THA,Asia,Thailand,5.091,5.262,0.014,0.01,0.472,0.274,0.0192,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-07,THA,Asia,Thailand,4.254,5.483,0.014,0.012,0.456,0.312,0.0176,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-08,THA,Asia,Thailand,2.859,5.336,0.0,0.008,0.493,0.363,0.0147,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-09,THA,Asia,Thailand,2.957,5.328,0.0,0.006,0.39,0.396,0.0135,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-10,THA,Asia,Thailand,3.417,5.188,0.0,0.006,0.249,0.404,0.0129,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-11,THA,Asia,Thailand,3.473,4.2,0.0,0.004,0.504,0.429,0.0098,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-12,THA,Asia,Thailand,4.003,3.722,0.0,0.004,0.408,0.425,0.0088,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-13,THA,Asia,Thailand,2.19,3.308,0.0,0.002,0.388,0.413,0.008,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-14,THA,Asia,Thailand,3.78,3.24,0.028,0.004,0.442,0.41,0.0079,,,,,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-15,THA,Asia,Thailand,2.622,3.206,0.0,0.004,0.409,0.399,0.0081,,,,,58.33,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
2021-01-16,THA,Asia,Thailand,3.208,3.242,0.014,0.006,0.296,0.385,0.0084,,,,,53.7,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,71697024.0
