date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,CAN,North America,Canada,1040.247,730.804,0.702,0.542,2.518,3.416,0.2659,31754134.0,29442935.0,82.58,76.57,68.15,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-02,CAN,North America,Canada,1191.985,841.763,1.014,0.643,0.41,2.813,0.3387,31755471.0,29444099.0,82.58,76.57,68.15,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-03,CAN,North America,Canada,1199.293,948.442,0.494,0.702,0.38,2.358,0.4262,31763212.0,29450620.0,82.6,76.59,71.86,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-04,CAN,North America,Canada,1178.775,1061.025,0.728,0.78,15.759,4.165,0.2603,31797596.0,29472992.0,82.69,76.64,71.86,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-05,CAN,North America,Canada,990.188,1019.896,0.728,0.754,3.611,4.191,0.2451,31818961.0,29489571.0,82.74,76.69,71.85,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-06,CAN,North America,Canada,972.79,1058.365,1.43,0.851,3.822,4.166,0.2457,31837073.0,29512418.0,82.79,76.75,71.85,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-07,CAN,North America,Canada,1025.45,1085.533,1.742,0.977,4.001,4.357,0.2371,31866038.0,29525577.0,82.87,76.78,71.84,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-08,CAN,North America,Canada,1121.772,1097.179,1.508,1.092,2.637,4.374,0.2327,31882770.0,29538581.0,82.91,76.81,71.84,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-09,CAN,North America,Canada,1152.822,1091.584,2.184,1.259,0.469,4.383,0.2291,31899426.0,29549899.0,82.95,76.84,71.84,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
2022-01-10,CAN,North America,Canada,1067.656,1072.779,1.898,1.46,9.05,5.621,0.1934,31927118.0,29572643.0,83.03,76.9,71.83,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,38454328.0
