date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,DJI,Africa,Djibouti,21.412,12.873,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-02,DJI,Africa,Djibouti,10.706,12.745,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-03,DJI,Africa,Djibouti,15.167,14.402,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-04,DJI,Africa,Djibouti,33.903,16.569,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-05,DJI,Africa,Djibouti,41.04,21.157,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-06,DJI,Africa,Djibouti,62.453,28.04,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-07,DJI,Africa,Djibouti,97.248,40.276,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-08,DJI,Africa,Djibouti,77.62,48.305,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-09,DJI,Africa,Djibouti,43.717,53.021,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
2022-01-10,DJI,Africa,Djibouti,82.973,62.707,0.0,0.0,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,1120851.0
