date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,DEU,Europe,Germany,347.428,343.944,1.343,1.833,,1.715,,62758122.0,59161019.0,75.28,70.96,47.46,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-02,DEU,Europe,Germany,170.625,350.462,0.684,1.794,,1.645,0.215,62774540.0,59175351.0,75.3,70.98,47.46,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-03,DEU,Europe,Germany,174.847,357.61,0.768,1.763,,1.777,,62814133.0,59237697.0,75.34,71.05,47.44,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-04,DEU,Europe,Germany,431.199,377.274,1.859,1.731,,1.909,,62871663.0,59334185.0,75.41,71.17,47.41,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-05,DEU,Europe,Germany,773.517,413.521,2.339,1.672,,2.041,,62932089.0,59447790.0,75.49,71.31,47.38,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-06,DEU,Europe,Germany,773.481,452.637,1.859,1.6,,2.173,,62983659.0,59540713.0,75.55,71.42,47.36,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-07,DEU,Europe,Germany,675.196,478.042,1.475,1.475,,2.306,,63040468.0,59659125.0,75.62,71.56,47.32,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-08,DEU,Europe,Germany,670.458,524.189,1.451,1.491,,2.438,,63086189.0,59742162.0,75.67,71.66,47.3,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-09,DEU,Europe,Germany,444.369,563.296,0.864,1.516,,2.57,0.228,63104901.0,59777021.0,75.69,71.7,47.29,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
2022-01-10,DEU,Europe,Germany,284.731,578.993,0.552,1.486,,2.705,,63142282.0,59862065.0,75.74,71.8,47.27,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,8.0,81.33,0.947,83369840.0
