date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,ISL,Europe,Iceland,2544.898,2316.956,0.0,0.0,6.462,13.59,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-02,ISL,Europe,Iceland,1466.869,2349.136,0.0,0.0,13.283,14.23,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-03,ISL,Europe,Iceland,2131.922,2399.322,0.0,0.0,17.384,14.93,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-04,ISL,Europe,Iceland,3456.663,2572.864,2.682,0.383,15.645,15.481,,288415.0,284101.0,77.34,76.19,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-05,ISL,Europe,Iceland,2880.106,2699.285,0.0,0.383,17.776,16.077,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-06,ISL,Europe,Iceland,2853.289,2785.481,2.682,0.766,18.232,15.0,,289118.0,284335.0,77.53,76.25,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-07,ISL,Europe,Iceland,3252.857,2655.229,0.0,0.766,18.016,15.256,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-08,ISL,Europe,Iceland,2823.791,2695.071,0.0,0.766,12.78,16.158,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-09,ISL,Europe,Iceland,2453.721,2836.05,2.682,1.149,16.526,16.623,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
2022-01-10,ISL,Europe,Iceland,2504.673,2889.3,2.682,1.532,18.337,16.758,,,,,,37.96,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,372903.0
