date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,IND,Asia,India,16.071,8.242,0.286,0.198,0.789,0.806,0.0129,846975771.0,607094031.0,59.77,42.84,68.58,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-02,IND,Asia,India,19.442,10.315,0.2,0.21,0.769,0.819,0.016,847665306.0,608920928.0,59.81,42.97,68.56,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-03,IND,Asia,India,23.815,13.059,0.087,0.191,0.624,0.813,0.02,852570971.0,611955199.0,60.16,43.18,68.69,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-04,IND,Asia,India,26.376,16.186,0.087,0.174,1.05,0.847,0.0251,857788520.0,614541749.0,60.53,43.36,68.67,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-05,IND,Asia,India,40.995,21.116,0.377,0.197,0.987,0.87,0.0335,864466425.0,617737538.0,61.0,43.59,68.65,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-06,IND,Asia,India,64.162,28.956,0.229,0.203,1.058,0.899,0.0437,871088714.0,620902308.0,61.47,43.81,68.63,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-07,IND,Asia,India,82.629,39.07,0.213,0.211,1.075,0.907,0.0567,879625063.0,625966848.0,62.07,44.17,68.6,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-08,IND,Asia,India,100.19,51.087,0.201,0.199,1.174,0.962,0.0674,880930714.0,627076701.0,62.16,44.25,68.59,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-09,IND,Asia,India,112.641,64.401,0.231,0.204,1.111,1.011,0.0788,886204082.0,631501200.0,62.53,44.56,68.56,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-10,IND,Asia,India,126.818,79.116,0.103,0.206,1.095,1.078,0.0862,889459819.0,634265259.0,62.76,44.76,68.55,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-11,IND,Asia,India,118.59,92.289,0.195,0.221,1.122,1.089,0.0981,895852039.0,640117846.0,63.21,45.17,68.51,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-12,IND,Asia,India,137.4,106.061,0.312,0.212,1.506,1.163,0.1055,898710263.0,643070555.0,63.42,45.38,68.49,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-13,IND,Asia,India,174.585,121.836,0.268,0.218,,1.206,0.1141,903038624.0,647586748.0,63.72,45.7,68.46,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-14,IND,Asia,India,186.429,136.665,0.222,0.219,,1.246,0.1207,904086765.0,648878102.0,63.8,45.79,68.45,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-15,IND,Asia,India,189.697,149.451,0.284,0.231,1.146,1.242,0.1302,908005349.0,653514044.0,64.07,46.11,68.42,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-16,IND,Asia,India,191.368,160.698,0.222,0.229,1.233,1.26,0.1347,910386043.0,656011893.0,64.24,46.29,68.4,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-17,IND,Asia,India,182.115,168.598,0.272,0.254,0.933,1.237,0.143,912552134.0,658614500.0,64.39,46.47,68.39,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-18,IND,Asia,India,167.953,175.65,0.219,0.257,1.172,1.244,0.1494,912567911.0,658765881.0,64.39,46.48,68.39,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-19,IND,Asia,India,199.672,184.546,0.311,0.257,1.428,1.233,0.1565,919059606.0,667552043.0,64.85,47.1,76.39,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-20,IND,Asia,India,224.06,191.613,0.346,0.268,1.375,1.235,0.163,922087216.0,671853985.0,65.07,47.41,76.34,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-21,IND,Asia,India,245.033,199.985,0.496,0.307,1.55,1.263,0.165,925500152.0,677041072.0,65.31,47.77,78.05,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-22,IND,Asia,India,238.294,206.928,0.344,0.316,1.393,1.298,0.1654,928133309.0,681368115.0,65.49,48.08,78.01,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-23,IND,Asia,India,235.351,213.211,0.37,0.337,1.436,1.327,0.1655,929971622.0,684436700.0,65.62,48.3,77.98,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
2022-01-24,IND,Asia,India,215.968,218.047,0.31,0.342,1.048,1.343,0.1648,930359898.0,685102189.0,65.65,48.34,77.98,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,1417173120.0
