date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,ITA,Europe,Italy,2443.448,1350.326,2.625,2.458,19.091,14.783,0.1051,48447151.0,44741778.0,82.06,75.79,53.5,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-02,ITA,Europe,Italy,2394.276,1559.794,1.88,2.379,4.704,14.932,0.1099,48491028.0,44760601.0,82.14,75.82,53.5,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-03,ITA,Europe,Italy,1033.937,1647.29,2.253,2.504,7.517,15.176,0.1141,48557049.0,44802062.0,82.25,75.89,53.48,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-04,ITA,Europe,Italy,1152.387,1737.39,2.371,2.5,20.736,15.644,0.1249,48634215.0,44841439.0,82.38,75.95,53.46,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-05,ITA,Europe,Italy,2893.705,1961.309,4.387,2.667,18.471,15.8,0.1376,48706597.0,44875449.0,82.5,76.01,53.44,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-06,ITA,Europe,Italy,3202.847,2181.682,3.913,2.867,19.215,15.771,0.152,48753218.0,44895074.0,82.58,76.05,53.44,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-07,ITA,Europe,Italy,3716.792,2405.342,3.354,2.969,8.308,14.006,0.165,48829917.0,44951848.0,82.71,76.14,53.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-08,ITA,Europe,Italy,1834.377,2318.331,3.777,3.134,20.599,14.221,0.172,48913999.0,45005648.0,82.85,76.23,53.39,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-09,ITA,Europe,Italy,3345.926,2454.281,3.117,3.31,16.766,15.945,0.1677,48978174.0,45043179.0,82.96,76.3,53.37,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-10,ITA,Europe,Italy,2636.326,2683.194,2.659,3.368,10.345,16.349,0.1708,49049043.0,45098316.0,83.08,76.39,53.35,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-11,ITA,Europe,Italy,1988.652,2802.661,3.845,3.579,23.219,16.703,0.1744,49131690.0,45153485.0,83.22,76.48,53.32,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-12,ITA,Europe,Italy,3735.238,2922.88,4.98,3.664,20.097,16.935,0.173,49211489.0,45205601.0,83.36,76.57,53.3,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-13,ITA,Europe,Italy,3323.398,2940.101,5.302,3.862,19.939,17.039,0.167,49286029.0,45258300.0,83.48,76.66,53.28,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-14,ITA,Europe,Italy,3126.438,2855.765,5.353,4.147,19.114,18.583,0.1652,49364291.0,45299098.0,83.62,76.73,53.26,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-15,ITA,Europe,Italy,3402.398,3079.768,6.098,4.479,20.557,18.577,0.1646,49462644.0,45331340.0,83.78,76.78,53.24,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-16,ITA,Europe,Italy,3268.026,3068.639,5.217,4.779,15.662,18.419,0.1663,49528556.0,45357868.0,83.89,76.83,53.23,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-17,ITA,Europe,Italy,2667.204,3073.051,4.201,4.999,9.137,18.247,0.1633,49587402.0,45408184.0,83.99,76.91,53.21,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-18,ITA,Europe,Italy,1412.442,2990.735,4.861,5.144,25.006,18.502,0.1621,49646865.0,45462173.0,84.09,77.01,53.19,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-19,ITA,Europe,Italy,3864.037,3009.135,7.351,5.483,19.951,18.481,0.1629,49701772.0,45515088.0,84.19,77.1,53.16,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-20,ITA,Europe,Italy,3404.041,3020.655,6.437,5.645,18.742,18.31,0.1663,49756036.0,45565381.0,84.28,77.18,53.14,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-21,ITA,Europe,Italy,3368.454,3055.229,6.521,5.812,18.865,18.274,0.1646,49810516.0,45603352.0,84.37,77.24,53.12,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-22,ITA,Europe,Italy,3143.766,3018.282,6.318,5.844,17.617,17.854,0.1664,49880703.0,45629657.0,84.49,77.29,52.53,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-23,ITA,Europe,Italy,3003.77,2980.531,5.64,5.904,15.756,17.868,0.1642,49921447.0,45661871.0,84.56,77.34,52.51,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-24,ITA,Europe,Italy,2413.501,2944.287,3.845,5.853,8.766,17.815,0.1639,49961985.0,45714843.0,84.63,77.43,52.48,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-25,ITA,Europe,Italy,1315.537,2930.444,5.962,6.011,23.996,17.67,0.163,50003036.0,45773223.0,84.7,77.53,52.45,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
2022-01-26,ITA,Europe,Italy,3642.619,2898.813,7.944,6.095,18.523,17.466,0.1607,50042749.0,45828725.0,84.76,77.63,52.42,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,59037472.0
