date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,LBN,Asia,Lebanon,781.457,486.309,3.097,2.784,,,,2253125.0,1831440.0,41.04,33.36,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-02,LBN,Asia,Lebanon,611.686,521.206,3.097,2.836,,,,2256124.0,1833116.0,41.1,33.39,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-03,LBN,Asia,Lebanon,263.218,524.693,3.279,2.915,,,,2268589.0,1837572.0,41.32,33.47,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-04,LBN,Asia,Lebanon,545.381,573.979,3.643,3.045,,,,2280955.0,1843313.0,41.55,33.58,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-05,LBN,Asia,Lebanon,926.637,647.025,3.461,3.149,,,,2291730.0,1847931.0,41.75,33.66,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-06,LBN,Asia,Lebanon,1059.794,716.375,3.643,3.279,,,,2291801.0,1847953.0,41.75,33.66,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-07,LBN,Asia,Lebanon,1320.098,786.896,3.279,3.357,,,,2313882.0,1856507.0,42.15,33.82,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-08,LBN,Asia,Lebanon,1452.527,882.763,3.461,3.409,,,,2341721.0,1868466.0,42.66,34.04,42.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-09,LBN,Asia,Lebanon,1374.745,991.771,3.097,3.409,,,,2349307.0,1873787.0,42.79,34.13,48.74,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-10,LBN,Asia,Lebanon,870.715,1078.557,2.915,3.357,,,,2365990.0,1886551.0,43.1,34.37,45.02,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-11,LBN,Asia,Lebanon,1211.896,1173.773,2.732,3.227,,,,2371596.0,1891357.0,43.2,34.45,45.02,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
2022-01-12,LBN,Asia,Lebanon,1214.082,1214.837,2.368,3.071,,,,2382882.0,1901614.0,43.41,34.64,45.01,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,5489744.0
