date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,NZL,Oceania,New Zealand,0.0,9.119,0.0,0.028,,2.107,,3971333.0,3856522.0,76.59,74.37,52.63,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-02,NZL,Oceania,New Zealand,26.421,10.965,0.0,0.028,,2.011,,3971467.0,3857147.0,76.59,74.39,52.63,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-03,NZL,Oceania,New Zealand,9.45,11.103,0.0,0.028,,2.142,,3971830.0,3858463.0,76.6,74.41,52.62,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-04,NZL,Oceania,New Zealand,11.185,11.792,0.0,0.028,,2.246,,3972234.0,3859877.0,76.61,74.44,52.62,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-05,NZL,Oceania,New Zealand,7.714,11.406,0.0,0.028,,2.35,,3973527.0,3864504.0,76.63,74.53,52.61,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-06,NZL,Oceania,New Zealand,11.764,11.158,0.0,0.0,,2.296,,3974887.0,3868609.0,76.66,74.61,52.6,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-07,NZL,Oceania,New Zealand,11.378,11.13,0.0,0.0,,2.197,,3976172.0,3872559.0,76.68,74.68,52.59,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-08,NZL,Oceania,New Zealand,13.693,13.086,0.0,0.0,,2.267,,3976925.0,3874919.0,76.7,74.73,52.58,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-09,NZL,Oceania,New Zealand,14.85,11.433,0.0,0.0,,2.337,,3977383.0,3876305.0,76.71,74.76,52.58,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-10,NZL,Oceania,New Zealand,11.571,11.736,0.0,0.0,,2.407,,3978782.0,3880306.0,76.73,74.83,52.57,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-11,NZL,Oceania,New Zealand,4.243,10.745,0.0,0.0,,2.554,,3980287.0,3884141.0,76.76,74.91,52.56,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
2022-01-12,NZL,Oceania,New Zealand,17.55,12.15,0.193,0.028,,2.702,,3981734.0,3887993.0,76.79,74.98,52.55,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,5185289.0
