date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,PRY,South America,Paraguay,150.573,44.117,0.147,0.611,0.624,0.543,0.0421,,,,,40.74,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-02,PRY,South America,Paraguay,133.171,60.992,0.59,0.653,0.637,0.575,0.0398,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-03,PRY,South America,Paraguay,47.34,65.585,0.295,0.674,0.667,0.609,0.1385,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-04,PRY,South America,Paraguay,86.569,75.74,0.885,0.758,0.683,0.642,0.1624,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-05,PRY,South America,Paraguay,87.011,83.408,0.737,0.737,0.726,0.678,0.1764,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-06,PRY,South America,Paraguay,138.185,97.672,0.442,0.611,0.758,0.691,0.2027,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-07,PRY,South America,Paraguay,143.642,112.356,1.18,0.611,0.787,0.697,0.2008,3489018.0,3002843.0,51.45,44.28,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-08,PRY,South America,Paraguay,182.723,116.949,0.737,0.695,0.827,0.726,0.1928,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-09,PRY,South America,Paraguay,245.401,132.982,0.59,0.695,1.255,0.815,0.1719,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
2022-01-10,PRY,South America,Paraguay,198.946,154.64,1.18,0.822,1.48,0.931,0.1411,,,,,35.19,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,6780745.0
