date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,GBR,Europe,United Kingdom,3504.351,2625.61,2.844,2.072,16.506,22.099,0.1048,51789045.0,47437009.0,76.71,70.27,42.1,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-02,GBR,Europe,United Kingdom,2793.201,2734.163,2.503,2.163,20.78,22.207,0.1059,51801494.0,47453494.0,76.73,70.29,42.1,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-03,GBR,Europe,United Kingdom,1752.005,2835.553,2.696,2.319,26.65,23.067,0.1093,51820652.0,47482789.0,76.76,70.34,42.1,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-04,GBR,Europe,United Kingdom,2682.134,2972.641,2.622,2.446,32.013,24.346,0.1107,51845518.0,47523676.0,76.8,70.4,40.24,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-05,GBR,Europe,United Kingdom,3405.475,3046.473,2.637,2.518,33.059,25.709,0.1057,51874548.0,47565340.0,76.84,70.46,40.24,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-06,GBR,Europe,United Kingdom,4083.104,3180.167,3.288,2.635,30.601,26.611,0.1015,51897289.0,47600028.0,76.87,70.51,40.23,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-07,GBR,Europe,United Kingdom,3291.105,3073.053,3.17,2.823,26.128,26.534,0.1008,51920711.0,47635655.0,76.91,70.56,40.23,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-08,GBR,Europe,United Kingdom,2562.342,2938.481,3.822,2.963,20.406,27.091,0.0971,51952400.0,47687370.0,76.96,70.64,40.22,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-09,GBR,Europe,United Kingdom,1781.794,2793.994,3.718,3.136,24.899,27.68,0.0955,51974605.0,47718730.0,76.99,70.69,40.21,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-10,GBR,Europe,United Kingdom,1386.661,2741.802,3.644,3.272,25.954,27.58,0.0923,51992559.0,47745458.0,77.02,70.72,40.21,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-11,GBR,Europe,United Kingdom,1418.894,2561.339,4.029,3.473,22.372,26.203,0.0888,52011835.0,47774248.0,77.04,70.77,40.21,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-12,GBR,Europe,United Kingdom,1969.473,2356.196,4.118,3.684,24.349,24.959,0.0878,52031355.0,47804588.0,77.07,70.81,40.2,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-13,GBR,Europe,United Kingdom,1707.122,2016.77,3.999,3.786,22.534,23.806,0.0854,52051876.0,47836785.0,77.1,70.86,40.2,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-14,GBR,Europe,United Kingdom,1528.998,1765.04,3.896,3.889,19.398,22.845,0.0815,52072754.0,47867967.0,77.13,70.91,40.19,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-15,GBR,Europe,United Kingdom,1428.152,1603.013,4.236,3.949,16.384,22.27,0.0779,52100163.0,47926017.0,77.18,70.99,40.19,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-16,GBR,Europe,United Kingdom,1278.72,1531.145,4.162,4.012,19.768,21.537,0.0735,52117863.0,47963133.0,77.2,71.05,40.18,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-17,GBR,Europe,United Kingdom,1154.647,1498.001,4.414,4.122,22.078,20.983,0.0699,52133611.0,47989635.0,77.22,71.09,40.18,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-18,GBR,Europe,United Kingdom,1453.082,1502.885,4.385,4.173,20.645,20.737,0.0685,52151643.0,48019069.0,77.25,71.13,40.17,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-19,GBR,Europe,United Kingdom,1948.098,1499.831,4.385,4.211,23.612,20.631,0.0666,52168592.0,48048962.0,77.28,71.17,40.17,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-20,GBR,Europe,United Kingdom,1760.611,1507.472,4.296,4.253,21.771,20.522,0.067,52186398.0,48082636.0,77.3,71.22,38.19,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-21,GBR,Europe,United Kingdom,1655.47,1525.54,4.162,4.291,19.028,20.47,0.0669,52203930.0,48116670.0,77.33,71.27,38.18,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-22,GBR,Europe,United Kingdom,1486.114,1533.82,3.762,4.224,15.927,20.404,0.0666,52224308.0,48164435.0,77.36,71.35,38.17,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-23,GBR,Europe,United Kingdom,1358.798,1545.26,4.503,4.272,18.994,20.294,0.0674,52236574.0,48195145.0,77.38,71.39,38.16,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
2022-01-24,GBR,Europe,United Kingdom,1210.699,1553.267,4.251,4.249,21.632,20.23,0.0683,52252579.0,48224978.0,77.4,71.43,38.16,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,67508936.0
