date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,USA,North America,United States,1728.243,1047.928,3.943,3.872,3.739,5.505,0.267,244201847.0,210300381.0,73.55,63.34,47.66,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-02,USA,North America,United States,1395.15,1145.272,3.973,3.862,3.996,5.666,0.273,244336745.0,210391970.0,73.59,63.37,47.65,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-03,USA,North America,United States,895.554,1224.297,1.271,3.933,6.707,5.896,0.28,244673954.0,210592068.0,73.7,63.43,47.64,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-04,USA,North America,United States,1155.394,1300.13,1.106,3.979,8.749,6.164,0.286,245042538.0,210809264.0,73.81,63.5,47.63,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-05,USA,North America,United States,2667.508,1485.05,4.943,3.931,9.501,6.528,0.29,245418536.0,211025682.0,73.92,63.56,47.62,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-06,USA,North America,United States,2165.344,1629.896,8.395,4.146,9.439,6.874,0.292,245786775.0,211241544.0,74.03,63.63,47.6,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-07,USA,North America,United States,2077.479,1726.382,5.457,4.155,8.653,7.255,0.292,246183225.0,211491435.0,74.15,63.7,47.59,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-08,USA,North America,United States,2360.213,1816.663,6.172,4.474,6.529,7.653,0.291,246455408.0,211669087.0,74.23,63.75,47.58,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-09,USA,North America,United States,2521.361,1977.551,7.29,4.948,4.919,7.785,0.29,246595658.0,211745528.0,74.27,63.78,47.58,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
2022-01-10,USA,North America,United States,1326.504,2039.115,2.569,5.133,6.348,7.734,0.289,246922961.0,211938970.0,74.37,63.84,47.57,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,338289856.0
