date,iso_code,continent,location,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2022-01-01,VNM,Asia,Vietnam,168.2,160.609,2.302,2.369,,1.676,0.0959,,,,,69.44,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-02,VNM,Asia,Vietnam,151.089,159.517,2.2,2.332,1.199,1.721,0.0949,77796499.0,,79.23,,69.44,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-03,VNM,Asia,Vietnam,172.61,162.034,2.251,2.353,0.883,1.721,0.0958,77850611.0,,79.29,,69.44,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-04,VNM,Asia,Vietnam,162.303,163.582,1.935,2.332,,1.441,0.1218,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-05,VNM,Asia,Vietnam,221.292,174.185,2.281,2.347,,1.16,0.1552,78110585.0,,79.55,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-06,VNM,Asia,Vietnam,173.312,178.736,2.342,2.325,1.18,1.094,0.1726,78146683.0,,79.59,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-07,VNM,Asia,Vietnam,263.192,187.428,1.721,2.148,1.201,1.023,0.1842,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-08,VNM,Asia,Vietnam,165.786,187.084,2.373,2.158,0.955,0.917,0.2082,78247751.0,,79.69,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-09,VNM,Asia,Vietnam,168.587,189.583,2.444,2.193,0.948,0.881,0.227,78291624.0,,79.74,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-10,VNM,Asia,Vietnam,236.091,198.652,2.057,2.165,0.723,0.859,0.2312,78389408.0,,79.84,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-11,VNM,Asia,Vietnam,150.916,197.025,2.159,2.197,1.036,0.935,0.2034,78413199.0,,79.86,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-12,VNM,Asia,Vietnam,163.311,188.742,2.607,2.244,,0.953,0.2169,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-13,VNM,Asia,Vietnam,288.134,205.145,1.803,2.166,,0.874,0.2212,78527765.0,71946807.0,79.98,73.28,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-14,VNM,Asia,Vietnam,170.338,191.88,2.098,2.22,0.796,0.816,0.2365,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-15,VNM,Asia,Vietnam,163.362,191.534,1.742,2.13,1.23,0.855,0.2253,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-16,VNM,Asia,Vietnam,166.804,191.28,1.416,1.983,,0.816,0.2227,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-17,VNM,Asia,Vietnam,159.736,180.372,1.314,1.877,,0.809,0.1977,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-18,VNM,Asia,Vietnam,221.455,190.449,1.823,1.829,1.01,0.805,0.2396,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-19,VNM,Asia,Vietnam,171.489,191.617,1.874,1.724,0.613,0.804,0.2177,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-20,VNM,Asia,Vietnam,162.537,173.675,1.446,1.673,0.697,0.814,0.215,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-21,VNM,Asia,Vietnam,170.237,173.66,1.548,1.595,0.973,0.839,0.2084,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-22,VNM,Asia,Vietnam,162.293,173.507,1.803,1.603,0.815,0.78,0.2229,,,,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-23,VNM,Asia,Vietnam,159.97,172.531,1.558,1.624,0.504,0.755,0.2288,78894694.0,,80.35,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-24,VNM,Asia,Vietnam,152.546,171.504,1.253,1.615,0.392,0.715,0.2711,78919564.0,,80.38,,68.52,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-25,VNM,Asia,Vietnam,146.272,160.763,1.68,1.595,0.321,0.616,0.2601,,,,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-26,VNM,Asia,Vietnam,160.337,159.17,1.283,1.51,1.057,0.68,0.2358,78987718.0,,80.45,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-27,VNM,Asia,Vietnam,162.486,159.163,1.579,1.529,0.466,0.647,0.2457,,,,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-28,VNM,Asia,Vietnam,160.174,157.726,1.283,1.491,0.86,0.631,0.2496,79041734.0,,80.5,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-29,VNM,Asia,Vietnam,152.047,156.262,1.436,1.439,0.862,0.637,0.2457,79055543.0,,80.52,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-30,VNM,Asia,Vietnam,154.298,155.451,1.171,1.384,0.245,0.6,0.2969,79059864.0,,80.52,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-01-31,VNM,Asia,Vietnam,303.157,176.967,1.232,1.381,0.453,0.609,0.2886,,,,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-01,VNM,Asia,Vietnam,129.08,174.511,1.11,1.299,,0.593,0.2849,79078859.0,,80.54,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-02,VNM,Asia,Vietnam,112.266,167.644,0.0,1.116,,0.471,0.336,79080702.0,,80.54,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-03,VNM,Asia,Vietnam,89.055,157.154,0.0,0.89,0.12,0.422,0.3505,79080967.0,,80.54,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-04,VNM,Asia,Vietnam,87.598,146.786,2.913,1.123,0.101,0.313,0.4562,79080967.0,74187748.0,80.54,75.56,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-05,VNM,Asia,Vietnam,118.081,141.933,0.856,1.04,0.148,0.211,0.6558,,,,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-06,VNM,Asia,Vietnam,123.947,137.598,1.161,1.039,0.184,0.203,0.571,,,,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-07,VNM,Asia,Vietnam,143.726,114.822,0.642,0.954,0.366,0.19,0.6401,,,,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-08,VNM,Asia,Vietnam,171.255,120.847,1.018,0.941,,0.247,0.5577,79154392.0,,80.62,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-09,VNM,Asia,Vietnam,223.136,136.685,0.988,1.082,,0.304,0.5269,79162150.0,,80.62,,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-10,VNM,Asia,Vietnam,243.984,158.818,0.947,1.218,,0.373,0.4979,79166489.0,76057017.0,80.63,77.46,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-11,VNM,Asia,Vietnam,265.127,184.179,0.754,0.909,,0.472,0.4397,79203047.0,76112928.0,80.67,77.52,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
2022-02-12,VNM,Asia,Vietnam,269.761,205.848,0.978,0.927,,0.564,0.4071,79212013.0,76162865.0,80.67,77.57,63.89,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,2.6,75.4,0.704,98186856.0
