Gene,Arbre phylogeographique,Position ASM,Bootstrap moyen,RF normalise
output/reference_gene.fasta,QV2M_newick,0_250,61.25,75.0
output/reference_gene.fasta,WD10M_newick,0_250,61.25,75.0
output/reference_gene.fasta,WS10M_newick,0_250,61.25,75.0
output/reference_gene.fasta,RH2M_newick,0_250,61.25,62.5
output/reference_gene.fasta,PRECTOTCORR_SUM_newick,0_250,61.25,75.0
output/reference_gene.fasta,QV2M_newick,100_350,41.25,68.75
output/reference_gene.fasta,WD10M_newick,100_350,41.25,68.75
output/reference_gene.fasta,WS10M_newick,100_350,41.25,68.75
output/reference_gene.fasta,RH2M_newick,100_350,41.25,56.25
output/reference_gene.fasta,PRECTOTCORR_SUM_newick,100_350,41.25,68.75
output/reference_gene.fasta,QV2M_newick,200_450,47.5,68.75
output/reference_gene.fasta,WD10M_newick,200_450,47.5,68.75
output/reference_gene.fasta,WS10M_newick,200_450,47.5,68.75
output/reference_gene.fasta,RH2M_newick,200_450,47.5,56.25
output/reference_gene.fasta,PRECTOTCORR_SUM_newick,200_450,47.5,68.75
output/reference_gene.fasta,QV2M_newick,300_550,46.25,68.75
output/reference_gene.fasta,WD10M_newick,300_550,46.25,68.75
output/reference_gene.fasta,WS10M_newick,300_550,46.25,68.75
output/reference_gene.fasta,RH2M_newick,300_550,46.25,56.25
output/reference_gene.fasta,PRECTOTCORR_SUM_newick,300_550,46.25,68.75
output/reference_gene.fasta,QV2M_newick,400_650,40.0,68.75
output/reference_gene.fasta,WD10M_newick,400_650,40.0,68.75
output/reference_gene.fasta,WS10M_newick,400_650,40.0,68.75
output/reference_gene.fasta,RH2M_newick,400_650,40.0,56.25
output/reference_gene.fasta,PRECTOTCORR_SUM_newick,400_650,40.0,68.75
