Accession,Pangolin,Length,Country,Collection_Date,Year,Month,Day
OX459158,XBB.1.5,29837,United Kingdom,2022-11-24,2022,11,24
OX458244,BF.14,29849,United Kingdom,2022-11-25,2022,11,25
OX458246,CM.2,29853,United Kingdom,2022-11-24,2022,11,24
OX456703,CH.1.1.1,29854,United Kingdom,2022-12-30,2022,12,30
OX449230,BQ.1.1.15,29851,United Kingdom,2022-12-30,2022,12,30
OX449370,CH.1.1.1,29855,United Kingdom,2022-11-24,2022,11,24
OX447298,BA.5.2.1,29848,United Kingdom,2022-07-11,2022,7,11
OX432114,BA.5.2,29845,United Kingdom,2022-07-20,2022,7,20
OX432115,BQ.1.1,29850,United Kingdom,2022-12-27,2022,12,27
OX432117,BQ.1,29852,United Kingdom,2022-12-22,2022,12,22
OX432120,BA.5.2,29844,United Kingdom,2022-09-05,2022,9,5
OX432121,BA.5.1.24,29847,United Kingdom,2022-10-10,2022,10,10
OX432124,BA.5.2.9,29849,United Kingdom,2022-09-21,2022,9,21
OX432125,BF.1,29847,United Kingdom,2022-06-28,2022,6,28
OX432129,BA.5.1,29846,United Kingdom,2022-08-14,2022,8,14
OX432130,BQ.1.1,29844,United Kingdom,2022-11-28,2022,11,28
OX432131,BQ.1.23,29851,United Kingdom,2022-11-06,2022,11,6
OX432132,XBB.1,29847,United Kingdom,2022-12-26,2022,12,26
OX432134,BN.1,29856,United Kingdom,2022-12-20,2022,12,20
OX432136,BA.5.2,29851,United Kingdom,2022-08-08,2022,8,8
OX432141,BA.4.6.5,29840,United Kingdom,2022-08-20,2022,8,20
OX432142,BA.5.1,29851,United Kingdom,2022-07-20,2022,7,20
OX432145,BA.5.2.20,29844,United Kingdom,2022-10-25,2022,10,25
OX432146,BN.1.2,29850,United Kingdom,2022-12-07,2022,12,7
OX432147,EF.2,29849,United Kingdom,2022-11-01,2022,11,1
OX432151,BA.5.2.6,29842,United Kingdom,2022-12-16,2022,12,16
OX432152,BF.11.5,29851,United Kingdom,2022-12-16,2022,12,16
OX432153,BQ.1.5,29852,United Kingdom,2022-12-05,2022,12,5
