Accession,Pangolin,Protein,Length,State,Collection_Date,Year,Month,Day,Country
WCS94842,BA.5.2,ORF1ab polyprotein,7093,ID,2022-11-18,2022,11,18,USA
WCS94843,BA.5.2,ORF1a polyprotein,4402,ID,2022-11-18,2022,11,18,USA
WCS94844,BA.5.2,surface glycoprotein,1268,ID,2022-11-18,2022,11,18,USA
WCS94845,BA.5.2,ORF3a protein,275,ID,2022-11-18,2022,11,18,USA
WCS94846,BA.5.2,envelope protein,75,ID,2022-11-18,2022,11,18,USA
WCS94847,BA.5.2,membrane glycoprotein,222,ID,2022-11-18,2022,11,18,USA
WCS94848,BA.5.2,ORF6 protein,61,ID,2022-11-18,2022,11,18,USA
WCS94849,BA.5.2,ORF7a protein,121,ID,2022-11-18,2022,11,18,USA
WCS94850,BA.5.2,ORF7b protein,43,ID,2022-11-18,2022,11,18,USA
WCS94851,BA.5.2,ORF8 protein,121,ID,2022-11-18,2022,11,18,USA
WCS94852,BA.5.2,nucleocapsid phosphoprotein,416,ID,2022-11-18,2022,11,18,USA
WCS94853,BA.5.2,ORF10 protein,38,ID,2022-11-18,2022,11,18,USA
WCS94875,XAZ,ORF1ab polyprotein,7093,ID,2022-11-21,2022,11,21,USA
WCS94876,XAZ,ORF1a polyprotein,4402,ID,2022-11-21,2022,11,21,USA
WCS94877,XAZ,surface glycoprotein,1268,ID,2022-11-21,2022,11,21,USA
WCS94878,XAZ,ORF3a protein,275,ID,2022-11-21,2022,11,21,USA
WCS94879,XAZ,envelope protein,75,ID,2022-11-21,2022,11,21,USA
WCS94880,XAZ,membrane glycoprotein,222,ID,2022-11-21,2022,11,21,USA
WCS94881,XAZ,ORF6 protein,61,ID,2022-11-21,2022,11,21,USA
WCS94882,XAZ,ORF7a protein,121,ID,2022-11-21,2022,11,21,USA
WCS94883,XAZ,ORF7b protein,43,ID,2022-11-21,2022,11,21,USA
WCS94884,XAZ,ORF8 protein,121,ID,2022-11-21,2022,11,21,USA
WCS94885,XAZ,nucleocapsid phosphoprotein,416,ID,2022-11-21,2022,11,21,USA
WCS94886,XAZ,ORF10 protein,38,ID,2022-11-21,2022,11,21,USA
WCS95159,BA.5.1.5,ORF1ab polyprotein,7093,ID,2022-11-26,2022,11,26,USA
WCS95160,BA.5.1.5,ORF1a polyprotein,4402,ID,2022-11-26,2022,11,26,USA
WCS95161,BA.5.1.5,surface glycoprotein,1268,ID,2022-11-26,2022,11,26,USA
WCS95162,BA.5.1.5,ORF3a protein,275,ID,2022-11-26,2022,11,26,USA
WCS95163,BA.5.1.5,envelope protein,75,ID,2022-11-26,2022,11,26,USA
WCS95164,BA.5.1.5,membrane glycoprotein,222,ID,2022-11-26,2022,11,26,USA
WCS95165,BA.5.1.5,ORF6 protein,61,ID,2022-11-26,2022,11,26,USA
WCS95166,BA.5.1.5,ORF7a protein,121,ID,2022-11-26,2022,11,26,USA
WCS95167,BA.5.1.5,ORF7b protein,43,ID,2022-11-26,2022,11,26,USA
WCS95168,BA.5.1.5,ORF8 protein,121,ID,2022-11-26,2022,11,26,USA
WCS95169,BA.5.1.5,nucleocapsid phosphoprotein,416,ID,2022-11-26,2022,11,26,USA
WCS95170,BA.5.1.5,ORF10 protein,38,ID,2022-11-26,2022,11,26,USA
WCS95207,BQ.1.14,ORF1ab polyprotein,7093,ID,2022-11-27,2022,11,27,USA
WCS95208,BQ.1.14,ORF1a polyprotein,4402,ID,2022-11-27,2022,11,27,USA
WCS95209,BQ.1.14,surface glycoprotein,1268,ID,2022-11-27,2022,11,27,USA
WCS95210,BQ.1.14,ORF3a protein,275,ID,2022-11-27,2022,11,27,USA
WCS95211,BQ.1.14,envelope protein,75,ID,2022-11-27,2022,11,27,USA
