Accession,Pangolin,Protein,Length,State,Collection_Date,Year,Month,Day,Country
WBX03639,BQ.1.3,ORF1ab polyprotein,7093,AL,2022-12-30,2022,12,30,USA
WBX03640,BQ.1.3,ORF1a polyprotein,4402,AL,2022-12-30,2022,12,30,USA
WBX03641,BQ.1.3,surface glycoprotein,1268,AL,2022-12-30,2022,12,30,USA
WBX03642,BQ.1.3,ORF3a protein,275,AL,2022-12-30,2022,12,30,USA
WBX03643,BQ.1.3,envelope protein,75,AL,2022-12-30,2022,12,30,USA
WBX03644,BQ.1.3,membrane glycoprotein,222,AL,2022-12-30,2022,12,30,USA
WBX03645,BQ.1.3,ORF6 protein,61,AL,2022-12-30,2022,12,30,USA
WBX03646,BQ.1.3,ORF7a protein,121,AL,2022-12-30,2022,12,30,USA
WBX03647,BQ.1.3,ORF7b protein,43,AL,2022-12-30,2022,12,30,USA
WBX03648,BQ.1.3,ORF8 protein,121,AL,2022-12-30,2022,12,30,USA
WBX03649,BQ.1.3,nucleocapsid phosphoprotein,416,AL,2022-12-30,2022,12,30,USA
WBX03650,BQ.1.3,ORF10 protein,38,AL,2022-12-30,2022,12,30,USA
WBR86334,XBF,ORF1ab polyprotein,7093,AL,2022-12-29,2022,12,29,USA
WBR86335,XBF,ORF1a polyprotein,4402,AL,2022-12-29,2022,12,29,USA
WBR86336,XBF,surface glycoprotein,1270,AL,2022-12-29,2022,12,29,USA
WBR86337,XBF,ORF3a protein,275,AL,2022-12-29,2022,12,29,USA
WBR86338,XBF,envelope protein,75,AL,2022-12-29,2022,12,29,USA
WBR86339,XBF,membrane glycoprotein,222,AL,2022-12-29,2022,12,29,USA
WBR86340,XBF,ORF6 protein,61,AL,2022-12-29,2022,12,29,USA
WBR86341,XBF,ORF7a protein,121,AL,2022-12-29,2022,12,29,USA
WBR86342,XBF,ORF7b protein,43,AL,2022-12-29,2022,12,29,USA
WBR86343,XBF,ORF8 protein,121,AL,2022-12-29,2022,12,29,USA
WBR86344,XBF,nucleocapsid phosphoprotein,416,AL,2022-12-29,2022,12,29,USA
WBR86345,XBF,ORF10 protein,38,AL,2022-12-29,2022,12,29,USA
WBR86417,BQ.1.10,ORF1ab polyprotein,7093,AL,2022-12-29,2022,12,29,USA
WBR86418,BQ.1.10,ORF1a polyprotein,4402,AL,2022-12-29,2022,12,29,USA
WBR86419,BQ.1.10,surface glycoprotein,1268,AL,2022-12-29,2022,12,29,USA
WBR86420,BQ.1.10,ORF3a protein,275,AL,2022-12-29,2022,12,29,USA
WBR86421,BQ.1.10,envelope protein,75,AL,2022-12-29,2022,12,29,USA
WBR86422,BQ.1.10,membrane glycoprotein,222,AL,2022-12-29,2022,12,29,USA
WBR86423,BQ.1.10,ORF6 protein,61,AL,2022-12-29,2022,12,29,USA
WBR86424,BQ.1.10,ORF7a protein,121,AL,2022-12-29,2022,12,29,USA
WBR86425,BQ.1.10,ORF7b protein,43,AL,2022-12-29,2022,12,29,USA
WBR86426,BQ.1.10,ORF8 protein,121,AL,2022-12-29,2022,12,29,USA
WBR86427,BQ.1.10,nucleocapsid phosphoprotein,416,AL,2022-12-29,2022,12,29,USA
WBR86428,BQ.1.10,ORF10 protein,38,AL,2022-12-29,2022,12,29,USA
WBR86441,BQ.1.1.60,ORF1ab polyprotein,7093,AL,2022-12-29,2022,12,29,USA
WBR86442,BQ.1.1.60,ORF1a polyprotein,4402,AL,2022-12-29,2022,12,29,USA
WBR86443,BQ.1.1.60,surface glycoprotein,1268,AL,2022-12-29,2022,12,29,USA
WBR86444,BQ.1.1.60,ORF3a protein,275,AL,2022-12-29,2022,12,29,USA
WBR86445,BQ.1.1.60,envelope protein,75,AL,2022-12-29,2022,12,29,USA
WBR86446,BQ.1.1.60,membrane glycoprotein,222,AL,2022-12-29,2022,12,29,USA
WBR86447,BQ.1.1.60,ORF6 protein,61,AL,2022-12-29,2022,12,29,USA
WBR86448,BQ.1.1.60,ORF7a protein,121,AL,2022-12-29,2022,12,29,USA
WBR86449,BQ.1.1.60,ORF7b protein,43,AL,2022-12-29,2022,12,29,USA
WBR86450,BQ.1.1.60,ORF8 protein,121,AL,2022-12-29,2022,12,29,USA
WBR86451,BQ.1.1.60,nucleocapsid phosphoprotein,416,AL,2022-12-29,2022,12,29,USA
WBR86452,BQ.1.1.60,ORF10 protein,38,AL,2022-12-29,2022,12,29,USA
WBR40462,BQ.1.12,ORF1ab polyprotein,7093,AL,2022-12-26,2022,12,26,USA
WBR40463,BQ.1.12,ORF1a polyprotein,4402,AL,2022-12-26,2022,12,26,USA
WBR40464,BQ.1.12,surface glycoprotein,1268,AL,2022-12-26,2022,12,26,USA
WBR40465,BQ.1.12,ORF3a protein,275,AL,2022-12-26,2022,12,26,USA
WBR40466,BQ.1.12,envelope protein,75,AL,2022-12-26,2022,12,26,USA
WBR40467,BQ.1.12,membrane glycoprotein,222,AL,2022-12-26,2022,12,26,USA
