Accession,Pangolin,Protein,Length,State,Collection_Date,Year,Month,Day,Country
WDB00784,BQ.1.14,ORF1ab polyprotein,7093,SD,2022-12-15,2022,12,15,USA
WDB00785,BQ.1.14,ORF1a polyprotein,4402,SD,2022-12-15,2022,12,15,USA
WDB00786,BQ.1.14,surface glycoprotein,1268,SD,2022-12-15,2022,12,15,USA
WDB00787,BQ.1.14,ORF3a protein,275,SD,2022-12-15,2022,12,15,USA
WDB00788,BQ.1.14,envelope protein,75,SD,2022-12-15,2022,12,15,USA
WDB00789,BQ.1.14,membrane glycoprotein,222,SD,2022-12-15,2022,12,15,USA
WDB00790,BQ.1.14,ORF6 protein,61,SD,2022-12-15,2022,12,15,USA
WDB00791,BQ.1.14,ORF7a protein,121,SD,2022-12-15,2022,12,15,USA
WDB00792,BQ.1.14,ORF7b protein,43,SD,2022-12-15,2022,12,15,USA
WDB00793,BQ.1.14,ORF8 protein,121,SD,2022-12-15,2022,12,15,USA
WDB00794,BQ.1.14,nucleocapsid phosphoprotein,416,SD,2022-12-15,2022,12,15,USA
WDB00795,BQ.1.14,ORF10 protein,38,SD,2022-12-15,2022,12,15,USA
WDB00832,BQ.1.3,ORF1ab polyprotein,7093,SD,2022-12-09,2022,12,9,USA
WDB00833,BQ.1.3,ORF1a polyprotein,4402,SD,2022-12-09,2022,12,9,USA
WDB00834,BQ.1.3,surface glycoprotein,1268,SD,2022-12-09,2022,12,9,USA
WDB00835,BQ.1.3,ORF3a protein,275,SD,2022-12-09,2022,12,9,USA
WDB00836,BQ.1.3,envelope protein,75,SD,2022-12-09,2022,12,9,USA
WDB00837,BQ.1.3,membrane glycoprotein,222,SD,2022-12-09,2022,12,9,USA
WDB00838,BQ.1.3,ORF6 protein,61,SD,2022-12-09,2022,12,9,USA
WDB00839,BQ.1.3,ORF7a protein,121,SD,2022-12-09,2022,12,9,USA
WDB00840,BQ.1.3,ORF7b protein,43,SD,2022-12-09,2022,12,9,USA
WDB00841,BQ.1.3,ORF8 protein,121,SD,2022-12-09,2022,12,9,USA
WDB00842,BQ.1.3,nucleocapsid phosphoprotein,416,SD,2022-12-09,2022,12,9,USA
WDB00843,BQ.1.3,ORF10 protein,38,SD,2022-12-09,2022,12,9,USA
WDB00926,BQ.1.1.28,ORF1ab polyprotein,7088,SD,2022-12-12,2022,12,12,USA
WDB00927,BQ.1.1.28,ORF1a polyprotein,4397,SD,2022-12-12,2022,12,12,USA
WDB00928,BQ.1.1.28,surface glycoprotein,1268,SD,2022-12-12,2022,12,12,USA
WDB00929,BQ.1.1.28,ORF3a protein,275,SD,2022-12-12,2022,12,12,USA
WDB00930,BQ.1.1.28,envelope protein,75,SD,2022-12-12,2022,12,12,USA
WDB00931,BQ.1.1.28,membrane glycoprotein,222,SD,2022-12-12,2022,12,12,USA
WDB00932,BQ.1.1.28,ORF6 protein,61,SD,2022-12-12,2022,12,12,USA
WDB00933,BQ.1.1.28,ORF7a protein,121,SD,2022-12-12,2022,12,12,USA
WDB00934,BQ.1.1.28,ORF7b protein,43,SD,2022-12-12,2022,12,12,USA
WDB00935,BQ.1.1.28,ORF8 protein,121,SD,2022-12-12,2022,12,12,USA
WDB00936,BQ.1.1.28,nucleocapsid phosphoprotein,416,SD,2022-12-12,2022,12,12,USA
WDB00937,BQ.1.1.28,ORF10 protein,38,SD,2022-12-12,2022,12,12,USA
WDB01132,BQ.1.1.43,ORF1ab polyprotein,7093,SD,2022-12-03,2022,12,3,USA
WDB01133,BQ.1.1.43,ORF1a polyprotein,4402,SD,2022-12-03,2022,12,3,USA
WDB01134,BQ.1.1.43,surface glycoprotein,1268,SD,2022-12-03,2022,12,3,USA
WDB01135,BQ.1.1.43,ORF3a protein,275,SD,2022-12-03,2022,12,3,USA
WDB01136,BQ.1.1.43,envelope protein,75,SD,2022-12-03,2022,12,3,USA
WDB01137,BQ.1.1.43,membrane glycoprotein,222,SD,2022-12-03,2022,12,3,USA
WDB01138,BQ.1.1.43,ORF6 protein,61,SD,2022-12-03,2022,12,3,USA
WDB01139,BQ.1.1.43,ORF7a protein,121,SD,2022-12-03,2022,12,3,USA
WDB01140,BQ.1.1.43,ORF7b protein,43,SD,2022-12-03,2022,12,3,USA
WDB01141,BQ.1.1.43,ORF8 protein,121,SD,2022-12-03,2022,12,3,USA
WDB01142,BQ.1.1.43,nucleocapsid phosphoprotein,416,SD,2022-12-03,2022,12,3,USA
WDB01143,BQ.1.1.43,ORF10 protein,38,SD,2022-12-03,2022,12,3,USA
WDB01179,BA.5.2.3,ORF1ab polyprotein,7093,SD,2022-11-17,2022,11,17,USA
WDB01180,BA.5.2.3,ORF1a polyprotein,4402,SD,2022-11-17,2022,11,17,USA
WDB01181,BA.5.2.3,surface glycoprotein,1268,SD,2022-11-17,2022,11,17,USA
WDB01182,BA.5.2.3,ORF3a protein,275,SD,2022-11-17,2022,11,17,USA
WDB01183,BA.5.2.3,envelope protein,75,SD,2022-11-17,2022,11,17,USA
WDB01184,BA.5.2.3,membrane glycoprotein,222,SD,2022-11-17,2022,11,17,USA
WDB01185,BA.5.2.3,ORF6 protein,61,SD,2022-11-17,2022,11,17,USA
WDB01186,BA.5.2.3,ORF7a protein,121,SD,2022-11-17,2022,11,17,USA
WDB01187,BA.5.2.3,ORF7b protein,43,SD,2022-11-17,2022,11,17,USA
WDB01188,BA.5.2.3,ORF8 protein,121,SD,2022-11-17,2022,11,17,USA
WDB01189,BA.5.2.3,nucleocapsid phosphoprotein,416,SD,2022-11-17,2022,11,17,USA
WDB01190,BA.5.2.3,ORF10 protein,38,SD,2022-11-17,2022,11,17,USA
WDB01262,BQ.1.10.1,ORF1ab polyprotein,7093,SD,2022-12-10,2022,12,10,USA
WDB01263,BQ.1.10.1,ORF1a polyprotein,4402,SD,2022-12-10,2022,12,10,USA
WDB01264,BQ.1.10.1,surface glycoprotein,1268,SD,2022-12-10,2022,12,10,USA
WDB01265,BQ.1.10.1,ORF3a protein,275,SD,2022-12-10,2022,12,10,USA
WDB01266,BQ.1.10.1,envelope protein,75,SD,2022-12-10,2022,12,10,USA
WDB01267,BQ.1.10.1,membrane glycoprotein,222,SD,2022-12-10,2022,12,10,USA
WDB01268,BQ.1.10.1,ORF6 protein,61,SD,2022-12-10,2022,12,10,USA
WDB01269,BQ.1.10.1,ORF7a protein,121,SD,2022-12-10,2022,12,10,USA
WDB01270,BQ.1.10.1,ORF7b protein,43,SD,2022-12-10,2022,12,10,USA
WDB01271,BQ.1.10.1,ORF8 protein,121,SD,2022-12-10,2022,12,10,USA
WDB01272,BQ.1.10.1,nucleocapsid phosphoprotein,416,SD,2022-12-10,2022,12,10,USA
WDB01273,BQ.1.10.1,ORF10 protein,38,SD,2022-12-10,2022,12,10,USA
WDB01436,BA.5.2,ORF1ab polyprotein,7093,SD,2022-11-16,2022,11,16,USA
WDB01437,BA.5.2,ORF1a polyprotein,4402,SD,2022-11-16,2022,11,16,USA
WDB01438,BA.5.2,surface glycoprotein,1268,SD,2022-11-16,2022,11,16,USA
WDB01439,BA.5.2,ORF3a protein,275,SD,2022-11-16,2022,11,16,USA
WDB01440,BA.5.2,envelope protein,75,SD,2022-11-16,2022,11,16,USA
WDB01441,BA.5.2,membrane glycoprotein,222,SD,2022-11-16,2022,11,16,USA
WDB01442,BA.5.2,ORF6 protein,61,SD,2022-11-16,2022,11,16,USA
WDB01443,BA.5.2,ORF7a protein,121,SD,2022-11-16,2022,11,16,USA
WDB01444,BA.5.2,ORF7b protein,43,SD,2022-11-16,2022,11,16,USA
WDB01445,BA.5.2,ORF8 protein,121,SD,2022-11-16,2022,11,16,USA
WDB01446,BA.5.2,nucleocapsid phosphoprotein,416,SD,2022-11-16,2022,11,16,USA
WDB01447,BA.5.2,ORF10 protein,38,SD,2022-11-16,2022,11,16,USA
WDB01624,BQ.1.13,ORF1ab polyprotein,7093,SD,2022-12-09,2022,12,9,USA
WDB01625,BQ.1.13,ORF1a polyprotein,4402,SD,2022-12-09,2022,12,9,USA
WDB01626,BQ.1.13,surface glycoprotein,1268,SD,2022-12-09,2022,12,9,USA
WDB01627,BQ.1.13,ORF3a protein,275,SD,2022-12-09,2022,12,9,USA
WDB01628,BQ.1.13,envelope protein,75,SD,2022-12-09,2022,12,9,USA
WDB01629,BQ.1.13,membrane glycoprotein,222,SD,2022-12-09,2022,12,9,USA
WDB01630,BQ.1.13,ORF6 protein,61,SD,2022-12-09,2022,12,9,USA
WDB01631,BQ.1.13,ORF7a protein,121,SD,2022-12-09,2022,12,9,USA
WDB01632,BQ.1.13,ORF7b protein,43,SD,2022-12-09,2022,12,9,USA
WDB01633,BQ.1.13,ORF8 protein,121,SD,2022-12-09,2022,12,9,USA
WDB01634,BQ.1.13,nucleocapsid phosphoprotein,416,SD,2022-12-09,2022,12,9,USA
WDB01635,BQ.1.13,ORF10 protein,38,SD,2022-12-09,2022,12,9,USA
WCS95350,BE.1.1,ORF1ab polyprotein,7093,SD,2022-11-28,2022,11,28,USA
WCS95351,BE.1.1,ORF1a polyprotein,4402,SD,2022-11-28,2022,11,28,USA
WCS95352,BE.1.1,surface glycoprotein,1268,SD,2022-11-28,2022,11,28,USA
WCS95353,BE.1.1,ORF3a protein,275,SD,2022-11-28,2022,11,28,USA
WCS95354,BE.1.1,envelope protein,75,SD,2022-11-28,2022,11,28,USA
WCS95355,BE.1.1,membrane glycoprotein,222,SD,2022-11-28,2022,11,28,USA
WCS95356,BE.1.1,ORF6 protein,61,SD,2022-11-28,2022,11,28,USA
WCS95357,BE.1.1,ORF7a protein,121,SD,2022-11-28,2022,11,28,USA
WCS95358,BE.1.1,ORF7b protein,43,SD,2022-11-28,2022,11,28,USA
WCS95359,BE.1.1,ORF8 protein,121,SD,2022-11-28,2022,11,28,USA
WCS95360,BE.1.1,nucleocapsid phosphoprotein,416,SD,2022-11-28,2022,11,28,USA
WCS95361,BE.1.1,ORF10 protein,38,SD,2022-11-28,2022,11,28,USA
WCS95398,BA.5.2.1,ORF1ab polyprotein,7093,SD,2022-11-28,2022,11,28,USA
WCS95399,BA.5.2.1,ORF1a polyprotein,4402,SD,2022-11-28,2022,11,28,USA
WCS95400,BA.5.2.1,surface glycoprotein,1268,SD,2022-11-28,2022,11,28,USA
WCS95401,BA.5.2.1,ORF3a protein,275,SD,2022-11-28,2022,11,28,USA
WCS95402,BA.5.2.1,envelope protein,75,SD,2022-11-28,2022,11,28,USA
WCS95403,BA.5.2.1,membrane glycoprotein,222,SD,2022-11-28,2022,11,28,USA
WCS95404,BA.5.2.1,ORF6 protein,61,SD,2022-11-28,2022,11,28,USA
WCS95405,BA.5.2.1,ORF7a protein,121,SD,2022-11-28,2022,11,28,USA
WCS95406,BA.5.2.1,ORF7b protein,43,SD,2022-11-28,2022,11,28,USA
WCS95407,BA.5.2.1,ORF8 protein,121,SD,2022-11-28,2022,11,28,USA
WCS95408,BA.5.2.1,nucleocapsid phosphoprotein,416,SD,2022-11-28,2022,11,28,USA
WCS95409,BA.5.2.1,ORF10 protein,38,SD,2022-11-28,2022,11,28,USA
WCS95420,BA.4.6,ORF1ab polyprotein,7090,SD,2022-11-29,2022,11,29,USA
WCS95421,BA.4.6,ORF1a polyprotein,4399,SD,2022-11-29,2022,11,29,USA
WCS95422,BA.4.6,surface glycoprotein,1268,SD,2022-11-29,2022,11,29,USA
WCS95423,BA.4.6,ORF3a protein,275,SD,2022-11-29,2022,11,29,USA
WCS95424,BA.4.6,envelope protein,75,SD,2022-11-29,2022,11,29,USA
WCS95425,BA.4.6,membrane glycoprotein,222,SD,2022-11-29,2022,11,29,USA
WCS95426,BA.4.6,ORF6 protein,61,SD,2022-11-29,2022,11,29,USA
WCS95427,BA.4.6,ORF7a protein,121,SD,2022-11-29,2022,11,29,USA
WCS95428,BA.4.6,ORF7b protein,43,SD,2022-11-29,2022,11,29,USA
WCS95429,BA.4.6,ORF8 protein,121,SD,2022-11-29,2022,11,29,USA
WCS95430,BA.4.6,nucleocapsid phosphoprotein,416,SD,2022-11-29,2022,11,29,USA
WCS95431,BA.4.6,ORF10 protein,38,SD,2022-11-29,2022,11,29,USA
WBT95186,BF.5,ORF1ab polyprotein,7093,SD,2022-10-24,2022,10,24,USA
WBT95187,BF.5,ORF1a polyprotein,4402,SD,2022-10-24,2022,10,24,USA
WBT95188,BF.5,surface glycoprotein,1268,SD,2022-10-24,2022,10,24,USA
WBT95189,BF.5,ORF3a protein,275,SD,2022-10-24,2022,10,24,USA
WBT95190,BF.5,envelope protein,75,SD,2022-10-24,2022,10,24,USA
WBT95191,BF.5,membrane glycoprotein,222,SD,2022-10-24,2022,10,24,USA
WBT95192,BF.5,ORF6 protein,61,SD,2022-10-24,2022,10,24,USA
WBT95193,BF.5,ORF7a protein,121,SD,2022-10-24,2022,10,24,USA
WBT95194,BF.5,ORF7b protein,43,SD,2022-10-24,2022,10,24,USA
WBT95195,BF.5,ORF8 protein,121,SD,2022-10-24,2022,10,24,USA
WBT95196,BF.5,nucleocapsid phosphoprotein,416,SD,2022-10-24,2022,10,24,USA
WBT95197,BF.5,ORF10 protein,38,SD,2022-10-24,2022,10,24,USA
WBT95210,BA.5.1.33,ORF1ab polyprotein,7093,SD,2022-11-03,2022,11,3,USA
WBT95211,BA.5.1.33,ORF1a polyprotein,4402,SD,2022-11-03,2022,11,3,USA
WBT95212,BA.5.1.33,surface glycoprotein,1268,SD,2022-11-03,2022,11,3,USA
WBT95213,BA.5.1.33,ORF3a protein,275,SD,2022-11-03,2022,11,3,USA
WBT95214,BA.5.1.33,envelope protein,75,SD,2022-11-03,2022,11,3,USA
WBT95215,BA.5.1.33,membrane glycoprotein,222,SD,2022-11-03,2022,11,3,USA
WBT95216,BA.5.1.33,ORF6 protein,61,SD,2022-11-03,2022,11,3,USA
WBT95217,BA.5.1.33,ORF7a protein,121,SD,2022-11-03,2022,11,3,USA
WBT95218,BA.5.1.33,ORF7b protein,43,SD,2022-11-03,2022,11,3,USA
WBT95219,BA.5.1.33,ORF8 protein,121,SD,2022-11-03,2022,11,3,USA
WBT95220,BA.5.1.33,nucleocapsid phosphoprotein,416,SD,2022-11-03,2022,11,3,USA
WBT95221,BA.5.1.33,ORF10 protein,38,SD,2022-11-03,2022,11,3,USA
WBT95401,BA.5.2.33,ORF1ab polyprotein,7093,SD,2022-10-31,2022,10,31,USA
WBT95402,BA.5.2.33,ORF1a polyprotein,4402,SD,2022-10-31,2022,10,31,USA
WBT95403,BA.5.2.33,surface glycoprotein,1268,SD,2022-10-31,2022,10,31,USA
WBT95404,BA.5.2.33,ORF3a protein,275,SD,2022-10-31,2022,10,31,USA
WBT95405,BA.5.2.33,envelope protein,75,SD,2022-10-31,2022,10,31,USA
WBT95406,BA.5.2.33,membrane glycoprotein,222,SD,2022-10-31,2022,10,31,USA
