Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WCT80268,BQ.1.1,ORF1ab polyprotein,7093,France,2022-10-28,2022,10,28
WCT80269,BQ.1.1,ORF1a polyprotein,4402,France,2022-10-28,2022,10,28
WCT80270,BQ.1.1,surface glycoprotein,1268,France,2022-10-28,2022,10,28
WCT80271,BQ.1.1,ORF3a protein,275,France,2022-10-28,2022,10,28
WCT80272,BQ.1.1,envelope protein,75,France,2022-10-28,2022,10,28
WCT80273,BQ.1.1,membrane glycoprotein,222,France,2022-10-28,2022,10,28
WCT80274,BQ.1.1,ORF6 protein,61,France,2022-10-28,2022,10,28
WCT80275,BQ.1.1,ORF7a protein,121,France,2022-10-28,2022,10,28
WCT80276,BQ.1.1,ORF7b protein,43,France,2022-10-28,2022,10,28
WCT80277,BQ.1.1,ORF8 protein,121,France,2022-10-28,2022,10,28
WCT80278,BQ.1.1,nucleocapsid phosphoprotein,416,France,2022-10-28,2022,10,28
WCT80279,BQ.1.1,ORF10 protein,38,France,2022-10-28,2022,10,28
WCT80292,BQ.1,ORF1ab polyprotein,7093,France,2022-11-30,2022,11,30
WCT80293,BQ.1,ORF1a polyprotein,4402,France,2022-11-30,2022,11,30
WCT80294,BQ.1,surface glycoprotein,1268,France,2022-11-30,2022,11,30
WCT80295,BQ.1,ORF3a protein,275,France,2022-11-30,2022,11,30
WCT80296,BQ.1,envelope protein,75,France,2022-11-30,2022,11,30
WCT80297,BQ.1,membrane glycoprotein,222,France,2022-11-30,2022,11,30
WCT80298,BQ.1,ORF6 protein,61,France,2022-11-30,2022,11,30
WCT80299,BQ.1,ORF7a protein,121,France,2022-11-30,2022,11,30
WCT80300,BQ.1,ORF7b protein,43,France,2022-11-30,2022,11,30
WCT80301,BQ.1,ORF8 protein,121,France,2022-11-30,2022,11,30
WCT80302,BQ.1,nucleocapsid phosphoprotein,416,France,2022-11-30,2022,11,30
WCT80303,BQ.1,ORF10 protein,38,France,2022-11-30,2022,11,30
WCT80304,BA.5.1.15,ORF1ab polyprotein,7093,France,2022-11-06,2022,11,6
WCT80305,BA.5.1.15,ORF1a polyprotein,4402,France,2022-11-06,2022,11,6
WCT80306,BA.5.1.15,surface glycoprotein,1268,France,2022-11-06,2022,11,6
WCT80307,BA.5.1.15,ORF3a protein,275,France,2022-11-06,2022,11,6
WCT80308,BA.5.1.15,envelope protein,75,France,2022-11-06,2022,11,6
WCT80309,BA.5.1.15,membrane glycoprotein,222,France,2022-11-06,2022,11,6
WCT80310,BA.5.1.15,ORF6 protein,61,France,2022-11-06,2022,11,6
WCT80311,BA.5.1.15,ORF7a protein,121,France,2022-11-06,2022,11,6
WCT80312,BA.5.1.15,ORF7b protein,43,France,2022-11-06,2022,11,6
WCT80313,BA.5.1.15,ORF8 protein,121,France,2022-11-06,2022,11,6
WCT80314,BA.5.1.15,nucleocapsid phosphoprotein,416,France,2022-11-06,2022,11,6
WCT80315,BA.5.1.15,ORF10 protein,38,France,2022-11-06,2022,11,6
WCT80316,BA.5.2,ORF1ab polyprotein,7093,France,2022-11-03,2022,11,3
WCT80317,BA.5.2,ORF1a polyprotein,4402,France,2022-11-03,2022,11,3
WCT80318,BA.5.2,surface glycoprotein,1268,France,2022-11-03,2022,11,3
WCT80319,BA.5.2,ORF3a protein,275,France,2022-11-03,2022,11,3
WCT80320,BA.5.2,envelope protein,75,France,2022-11-03,2022,11,3
WCT80321,BA.5.2,membrane glycoprotein,222,France,2022-11-03,2022,11,3
WCT80322,BA.5.2,ORF6 protein,61,France,2022-11-03,2022,11,3
WCT80323,BA.5.2,ORF7a protein,121,France,2022-11-03,2022,11,3
WCT80324,BA.5.2,ORF7b protein,43,France,2022-11-03,2022,11,3
WCT80325,BA.5.2,ORF8 protein,121,France,2022-11-03,2022,11,3
WCT80326,BA.5.2,nucleocapsid phosphoprotein,416,France,2022-11-03,2022,11,3
WCT80327,BA.5.2,ORF10 protein,38,France,2022-11-03,2022,11,3
WCT80340,BQ.1.1,ORF1ab polyprotein,7093,France,2022-11-28,2022,11,28
WCT80341,BQ.1.1,ORF1a polyprotein,4402,France,2022-11-28,2022,11,28
WCT80342,BQ.1.1,surface glycoprotein,1268,France,2022-11-28,2022,11,28
WCT80343,BQ.1.1,ORF3a protein,275,France,2022-11-28,2022,11,28
WCT80344,BQ.1.1,envelope protein,75,France,2022-11-28,2022,11,28
WCT80345,BQ.1.1,membrane glycoprotein,222,France,2022-11-28,2022,11,28
WCT80346,BQ.1.1,ORF6 protein,61,France,2022-11-28,2022,11,28
WCT80347,BQ.1.1,ORF7a protein,121,France,2022-11-28,2022,11,28
WCT80348,BQ.1.1,ORF7b protein,43,France,2022-11-28,2022,11,28
WCT80349,BQ.1.1,ORF8 protein,121,France,2022-11-28,2022,11,28
WCT80350,BQ.1.1,nucleocapsid phosphoprotein,416,France,2022-11-28,2022,11,28
WCT80351,BQ.1.1,ORF10 protein,38,France,2022-11-28,2022,11,28
WCT80352,BQ.1.1,ORF1ab polyprotein,7093,France,2022-12-09,2022,12,9
WCT80353,BQ.1.1,ORF1a polyprotein,4402,France,2022-12-09,2022,12,9
WCT80354,BQ.1.1,surface glycoprotein,1268,France,2022-12-09,2022,12,9
WCT80355,BQ.1.1,ORF3a protein,275,France,2022-12-09,2022,12,9
WCT80356,BQ.1.1,envelope protein,75,France,2022-12-09,2022,12,9
WCT80357,BQ.1.1,membrane glycoprotein,222,France,2022-12-09,2022,12,9
WCT80358,BQ.1.1,ORF6 protein,61,France,2022-12-09,2022,12,9
WCT80359,BQ.1.1,ORF7a protein,121,France,2022-12-09,2022,12,9
WCT80360,BQ.1.1,ORF7b protein,43,France,2022-12-09,2022,12,9
WCT80361,BQ.1.1,ORF8 protein,121,France,2022-12-09,2022,12,9
WCT80362,BQ.1.1,nucleocapsid phosphoprotein,416,France,2022-12-09,2022,12,9
WCT80363,BQ.1.1,ORF10 protein,38,France,2022-12-09,2022,12,9
WCT80388,BQ.1,ORF1ab polyprotein,7093,France,2022-12-05,2022,12,5
WCT80389,BQ.1,ORF1a polyprotein,4402,France,2022-12-05,2022,12,5
