Accession,Pangolin,Protein,Length,State,Collection_Date,Year,Month,Day,Country
WFD53973,CH.1.1,ORF1ab polyprotein,7093,CT,2022-02-17,2022,2,17,USA
WFD53974,CH.1.1,ORF1a polyprotein,4402,CT,2022-02-17,2022,2,17,USA
WFD53975,CH.1.1,surface glycoprotein,1270,CT,2022-02-17,2022,2,17,USA
WFD53976,CH.1.1,ORF3a protein,275,CT,2022-02-17,2022,2,17,USA
WFD53977,CH.1.1,envelope protein,75,CT,2022-02-17,2022,2,17,USA
WFD53978,CH.1.1,membrane glycoprotein,222,CT,2022-02-17,2022,2,17,USA
WFD53979,CH.1.1,ORF6 protein,61,CT,2022-02-17,2022,2,17,USA
WFD53980,CH.1.1,ORF7a protein,121,CT,2022-02-17,2022,2,17,USA
WFD53981,CH.1.1,ORF7b protein,43,CT,2022-02-17,2022,2,17,USA
WFD53982,CH.1.1,ORF8 protein,121,CT,2022-02-17,2022,2,17,USA
WFD53983,CH.1.1,nucleocapsid phosphoprotein,416,CT,2022-02-17,2022,2,17,USA
WFD53984,CH.1.1,ORF10 protein,38,CT,2022-02-17,2022,2,17,USA
WDV64522,XBE,ORF1ab polyprotein,7093,CT,2022-09-02,2022,9,2,USA
WDV64523,XBE,ORF1a polyprotein,4402,CT,2022-09-02,2022,9,2,USA
WDV64524,XBE,surface glycoprotein,1268,CT,2022-09-02,2022,9,2,USA
WDV64525,XBE,ORF3a protein,275,CT,2022-09-02,2022,9,2,USA
WDV64526,XBE,envelope protein,75,CT,2022-09-02,2022,9,2,USA
WDV64527,XBE,membrane glycoprotein,222,CT,2022-09-02,2022,9,2,USA
WDV64528,XBE,ORF6 protein,61,CT,2022-09-02,2022,9,2,USA
WDV64529,XBE,ORF7a protein,121,CT,2022-09-02,2022,9,2,USA
WDV64530,XBE,ORF7b protein,43,CT,2022-09-02,2022,9,2,USA
WDV64531,XBE,ORF8 protein,121,CT,2022-09-02,2022,9,2,USA
WDV64532,XBE,nucleocapsid phosphoprotein,416,CT,2022-09-02,2022,9,2,USA
WDV64533,XBE,ORF10 protein,38,CT,2022-09-02,2022,9,2,USA
WCS94749,BQ.1.12,ORF1ab polyprotein,7093,CT,2022-11-06,2022,11,6,USA
WCS94750,BQ.1.12,ORF1a polyprotein,4402,CT,2022-11-06,2022,11,6,USA
WCS94751,BQ.1.12,surface glycoprotein,1268,CT,2022-11-06,2022,11,6,USA
WCS94752,BQ.1.12,ORF3a protein,275,CT,2022-11-06,2022,11,6,USA
WCS94753,BQ.1.12,envelope protein,75,CT,2022-11-06,2022,11,6,USA
WCS94754,BQ.1.12,membrane glycoprotein,222,CT,2022-11-06,2022,11,6,USA
WCS94755,BQ.1.12,ORF6 protein,61,CT,2022-11-06,2022,11,6,USA
WCS94756,BQ.1.12,ORF7a protein,121,CT,2022-11-06,2022,11,6,USA
WCS94757,BQ.1.12,ORF7b protein,43,CT,2022-11-06,2022,11,6,USA
WCS94758,BQ.1.12,ORF8 protein,121,CT,2022-11-06,2022,11,6,USA
WCS94759,BQ.1.12,nucleocapsid phosphoprotein,416,CT,2022-11-06,2022,11,6,USA
WCS94760,BQ.1.12,ORF10 protein,38,CT,2022-11-06,2022,11,6,USA
