Accession,Pangolin,Length,State,Collection_Date,Year,Month,Day,Country
OQ436668,BQ.1.14,29763,SD,2022-12-15,2022,12,15,USA
OQ436672,BQ.1.3,29763,SD,2022-12-09,2022,12,9,USA
OQ436680,BQ.1.1.28,29747,SD,2022-12-12,2022,12,12,USA
OQ436698,BQ.1.1.43,29762,SD,2022-12-03,2022,12,3,USA
OQ436702,BA.5.2.3,29762,SD,2022-11-17,2022,11,17,USA
OQ436709,BQ.1.10.1,29763,SD,2022-12-10,2022,12,10,USA
OQ436724,BA.5.2,29763,SD,2022-11-16,2022,11,16,USA
OQ436740,BQ.1.13,29702,SD,2022-12-09,2022,12,9,USA
OQ421336,BE.1.1,29658,SD,2022-11-28,2022,11,28,USA
OQ421340,BA.5.2.1,29658,SD,2022-11-28,2022,11,28,USA
OQ421342,BA.4.6,29616,SD,2022-11-29,2022,11,29,USA
OQ266812,BF.5,29763,SD,2022-10-24,2022,10,24,USA
OQ266814,BA.5.1.33,29743,SD,2022-11-03,2022,11,3,USA
OQ266830,BA.5.2.33,29753,SD,2022-10-31,2022,10,31,USA
OQ266831,BF.26,29762,SD,2022-11-04,2022,11,4,USA
OQ266843,BA.5.1.22,29751,SD,2022-11-02,2022,11,2,USA
OQ266849,BF.29,29762,SD,2022-10-06,2022,10,6,USA
OQ266864,BF.7,29762,SD,2022-10-31,2022,10,31,USA
OQ266880,BA.5.2.1,29753,SD,2022-10-31,2022,10,31,USA
OQ256050,BQ.1.10,29625,SD,2022-12-07,2022,12,7,USA
OQ256055,BF.10,29622,SD,2022-12-07,2022,12,7,USA
OQ186526,BQ.1.1.4,29760,SD,2022,2022,1,1,USA
OQ186527,EE.5,29762,SD,2022,2022,1,1,USA
OQ186529,BQ.1.14,29762,SD,2022,2022,1,1,USA
OQ186530,BQ.1,29753,SD,2022,2022,1,1,USA
OQ186531,BQ.1.1.2,29763,SD,2022,2022,1,1,USA
OQ186534,BW.1,29751,SD,2022,2022,1,1,USA
OQ186535,BA.5.2.1,29762,SD,2022,2022,1,1,USA
OQ186539,BQ.1.1,29755,SD,2022,2022,1,1,USA
OQ186543,BQ.1.6,29752,SD,2022,2022,1,1,USA
OQ186544,BQ.1.2,29763,SD,2022,2022,1,1,USA
OQ186547,BQ.1.10.1,29762,SD,2022,2022,1,1,USA
OQ186549,BA.5.2,29761,SD,2022,2022,1,1,USA
OQ075516,BF.10,29651,SD,2022-11-04,2022,11,4,USA
OQ075526,BQ.1.13,29790,SD,2022-11-05,2022,11,5,USA
OQ075535,BA.5.2.27,29663,SD,2022-11-07,2022,11,7,USA
OQ063881,BQ.1,29844,SD,2022-12-02,2022,12,2,USA
