Accession,Pangolin,Protein,Length,State,Collection_Date,Year,Month,Day,Country
WCF78183,BA.5.2,ORF1ab polyprotein,7093,UT,2022-11-09,2022,11,9,USA
WCF78184,BA.5.2,ORF1a polyprotein,4402,UT,2022-11-09,2022,11,9,USA
WCF78185,BA.5.2,surface glycoprotein,1268,UT,2022-11-09,2022,11,9,USA
WCF78186,BA.5.2,ORF3a protein,275,UT,2022-11-09,2022,11,9,USA
WCF78187,BA.5.2,envelope protein,75,UT,2022-11-09,2022,11,9,USA
WCF78188,BA.5.2,membrane glycoprotein,222,UT,2022-11-09,2022,11,9,USA
WCF78189,BA.5.2,ORF6 protein,61,UT,2022-11-09,2022,11,9,USA
WCF78190,BA.5.2,ORF7a protein,121,UT,2022-11-09,2022,11,9,USA
WCF78191,BA.5.2,ORF7b protein,43,UT,2022-11-09,2022,11,9,USA
WCF78192,BA.5.2,ORF8 protein,121,UT,2022-11-09,2022,11,9,USA
WCF78193,BA.5.2,nucleocapsid phosphoprotein,416,UT,2022-11-09,2022,11,9,USA
WCF78194,BA.5.2,ORF10 protein,38,UT,2022-11-09,2022,11,9,USA
WCF78195,BE.1.1.1,ORF1ab polyprotein,7093,UT,2022-11-09,2022,11,9,USA
WCF78196,BE.1.1.1,ORF1a polyprotein,4402,UT,2022-11-09,2022,11,9,USA
WCF78197,BE.1.1.1,surface glycoprotein,1268,UT,2022-11-09,2022,11,9,USA
WCF78198,BE.1.1.1,ORF3a protein,275,UT,2022-11-09,2022,11,9,USA
WCF78199,BE.1.1.1,envelope protein,75,UT,2022-11-09,2022,11,9,USA
WCF78200,BE.1.1.1,membrane glycoprotein,222,UT,2022-11-09,2022,11,9,USA
WCF78201,BE.1.1.1,ORF6 protein,61,UT,2022-11-09,2022,11,9,USA
WCF78202,BE.1.1.1,ORF7a protein,121,UT,2022-11-09,2022,11,9,USA
WCF78203,BE.1.1.1,ORF7b protein,43,UT,2022-11-09,2022,11,9,USA
WCF78204,BE.1.1.1,ORF8 protein,121,UT,2022-11-09,2022,11,9,USA
WCF78205,BE.1.1.1,nucleocapsid phosphoprotein,416,UT,2022-11-09,2022,11,9,USA
WCF78206,BE.1.1.1,ORF10 protein,38,UT,2022-11-09,2022,11,9,USA
WCF78230,BA.5.2.1,ORF1ab polyprotein,7093,UT,2022-11-09,2022,11,9,USA
WCF78231,BA.5.2.1,ORF1a polyprotein,4402,UT,2022-11-09,2022,11,9,USA
WCF78232,BA.5.2.1,surface glycoprotein,1268,UT,2022-11-09,2022,11,9,USA
WCF78233,BA.5.2.1,ORF3a protein,275,UT,2022-11-09,2022,11,9,USA
WCF78234,BA.5.2.1,envelope protein,75,UT,2022-11-09,2022,11,9,USA
WCF78235,BA.5.2.1,membrane glycoprotein,222,UT,2022-11-09,2022,11,9,USA
WCF78236,BA.5.2.1,ORF6 protein,61,UT,2022-11-09,2022,11,9,USA
WCF78237,BA.5.2.1,ORF7a protein,121,UT,2022-11-09,2022,11,9,USA
WCF78238,BA.5.2.1,ORF7b protein,43,UT,2022-11-09,2022,11,9,USA
WCF78239,BA.5.2.1,ORF8 protein,121,UT,2022-11-09,2022,11,9,USA
WCF78240,BA.5.2.1,nucleocapsid phosphoprotein,416,UT,2022-11-09,2022,11,9,USA
WCF78241,BA.5.2.1,ORF10 protein,38,UT,2022-11-09,2022,11,9,USA
WCF78287,BF.25,ORF1ab polyprotein,7093,UT,2022-11-09,2022,11,9,USA
WCF78288,BF.25,ORF1a polyprotein,4402,UT,2022-11-09,2022,11,9,USA
WCF78289,BF.25,surface glycoprotein,1268,UT,2022-11-09,2022,11,9,USA
WCF78290,BF.25,ORF3a protein,275,UT,2022-11-09,2022,11,9,USA
WCF78291,BF.25,envelope protein,75,UT,2022-11-09,2022,11,9,USA
WCF78292,BF.25,membrane glycoprotein,222,UT,2022-11-09,2022,11,9,USA
WCF78293,BF.25,ORF6 protein,61,UT,2022-11-09,2022,11,9,USA
WCF78294,BF.25,ORF7a protein,121,UT,2022-11-09,2022,11,9,USA
WCF78295,BF.25,ORF7b protein,43,UT,2022-11-09,2022,11,9,USA
